Crop,clipped_PA_surf,total_surf
almond,0.21361759305000305,1.6911845
avocado,0.0,1.2699108
bambara,528.5074462890625,4109.853
banana,709.7073364257812,1789.3506
bean,113261.859375,390488.2
cabbagefor,0.0,0.0
cabbage,19.7017765045166,65.4969
cashew,769.4332885742188,2228.6794
cassava,96341.1875,279748.6
castor,273.01922607421875,900.90173
cerealnes,1208.078857421875,4100.4575
chickpea,619.3897705078125,1909.3141
chilleetc,43.57563018798828,157.50174
cocoa,3784.64697265625,10402.716
coconut,1306.2874755859375,3396.2
coffee,11438.5703125,37941.562
cotton,33506.71484375,151562.12
cowpea,313.6336669921875,2533.4297
date,1.9324017763137817,3.1015563
eggplant,4.09860897064209,11.038031
fonio,5.667819023132324,18.94074
fruitnes,1377.4932861328125,3632.7004
ginger,0.05725211277604103,0.09847108
greenbean,4.700605869293213,12.741539
greenonion,0.08637289702892303,0.743685
groundnut,13501.3515625,52914.754
karite,813.6760864257812,2672.4941
kolanut,107.95983123779297,358.44614
legumenes,0.0,0.0
lemonlime,0.0,5.1335063
maizefor,0.0,0.0
maize,207029.75,669832.4
mango,12.412988662719727,21.264866
millet,12716.6142578125,37941.74
nutmeg,9.54561996459961,32.299015
nutnes,22.83913230895996,63.48179
oats,0.0,0.0
oilpalm,26535.048828125,53532.168
oilseedfor,0.0,0.0
oilseednes,0.783967912197113,2.6489706
okra,156.7496337890625,273.33185
onion,16.262605667114258,36.36592
orange,1011.346923828125,2719.809
pepper,17.93194580078125,33.420223
pimento,1720.1478271484375,5976.0703
pineapple,43.887290954589844,122.64443
plantain,407.7822265625,419.97824
popcorn,0.0,0.0
potato,0.01947207935154438,0.17006639
pulsenes,2155.21240234375,6166.033
rice,17416.431640625,81975.01
rootnes,322.810791015625,1065.2498
rubber,41.452552795410156,111.04267
sesame,1526.6949462890625,5249.6016
sorghumfor,0.0,0.0
sorghum,54985.5703125,289221.12
soybean,941.7626953125,3258.6472
spicenes,73.6489486694336,244.61484
sugarcane,96.36671447753906,146.7007
sweetpotato,357.9703063964844,867.7273
taro,2068.039306640625,5312.3984
tobacco,1493.5162353515625,4268.18
tomato,337.51220703125,923.1678
tropicalnes,0.06111789867281914,0.60494834
vegetablenes,4308.0546875,16467.395
vegfor,7322.47216796875,24891.906
yam,12031.62890625,91455.8
