Crop,clipped_PA_surf,total_surf
alfalfa,0.5208051800727844,2.49044
aniseetc,0.0,0.062703505
apple,799.6361694335938,2363.2678
apricot,0.0,0.0137350755
artichoke,0.0,0.0925972
banana,2.3979530334472656,3.536882
barley,39909.1328125,136538.73
bean,1428.592529296875,5127.534
broadbean,115.36841583251953,339.62125
buckwheat,1.0133837461471558,3.593655
cabbagefor,0.0,0.0
cabbage,126.62167358398438,372.8754
canaryseed,1202.5517578125,3554.343
carrotfor,0.0,0.0
carrot,376.40625,1114.7517
cashewapple,13.388138771057129,47.33052
cassava,10.998296737670898,188.75952
cerealnes,0.09508202970027924,0.61230695
chilleetc,83.26917266845703,244.62917
clover,0.6600790023803711,4.1924243
cotton,95.82271575927734,135.24278
fibrenes,0.0,0.0
fig,0.0,0.0
flax,0.0,0.014723714
fruitnes,211.5243377685547,623.9373
garlic,62.22369384765625,182.62231
grapefruitetc,29.573877334594727,86.56112
grape,2124.93603515625,6285.603
grassnes,14.204791069030762,87.99054
greenbean,116.78668212890625,344.14764
greencorn,69.7757568359375,204.51169
greenpea,0.04414822533726692,0.3417036
groundnut,882.6337280273438,3389.093
legumenes,0.0,0.0
lemonlime,1028.2716064453125,3035.5398
lentil,0.0,0.07526015
linseed,1348.522705078125,3986.5303
maizefor,0.8014197945594788,4.559788
maize,25389.3046875,98196.01
melonetc,46.05914306640625,135.0549
millet,0.14509359002113342,0.9008632
nutnes,0.0,0.04664182
oats,6302.3447265625,21987.332
olive,45.94174575805664,609.6612
onion,501.3866271972656,1485.4133
orange,2177.3427734375,6424.7764
peachetc,444.77874755859375,1313.568
pear,234.48831176757812,691.8355
pea,426.99993896484375,1260.4049
pimento,0.0,0.01610055
plum,88.78382873535156,261.08173
popcorn,0.0,0.0
potato,1430.6484375,3836.8792
pumpkinetc,793.2103881835938,2343.3423
quince,75.18596649169922,220.60303
rapeseed,9174.748046875,55115.836
rice,34431.5703125,106789.555
ryefor,0.0,0.0
rye,0.3476065397262573,2.2480054
sesame,0.4633387625217438,1.7162218
sorghumfor,1.504766821861267,8.712826
sorghum,5755.2001953125,23748.936
soybean,266823.8125,917794.25
spicenes,0.0,0.0
strawberry,0.0,0.0
stringbean,0.0,0.10715939
sugarcane,1623.571533203125,6530.469
sunflower,3992.877197265625,15478.568
sweetpotato,2320.50830078125,8177.155
tangetc,1859.3563232421875,5455.962
tobacco,212.69761657714844,812.49976
tomato,236.55528259277344,466.25528
tropicalnes,0.0,0.0
tung,0.14328059554100037,0.88942635
turnipfor,0.0,0.0
vegetablenes,718.7275390625,2131.5015
vegfor,652.6840209960938,2242.408
walnut,0.0,0.06502671
watermelon,219.58712768554688,656.806
wheat,48842.16796875,194376.42
yam,1.6231352090835571,4.096448
