Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
AFG,1320878830.5951264,1768113.3692411666,vegetal,tonnes,Afghanistan,14502158192.0904,0.09108153511354916
AGO,3156236599.843773,6069263.077850956,vegetal,tonnes,Angola,104399746853.401,0.030232224645868028
ALB,855081734.445113,1285200.1763096072,vegetal,tonnes,Albania,18916378860.5488,0.045203246390271616
ARE,749509935.8383316,387793.08251471573,vegetal,tonnes,United Arab Emirates,507063968277.74,0.0014781368480668575
ARG,15712709316.911825,27428712.376412682,vegetal,tonnes,Argentina,631133384439.944,0.02489601992905983
ARM,865522466.6640269,1440099.1660243142,vegetal,tonnes,Armenia,19513474648.2429,0.0443551177976375
AUS,6850811468.018843,29080152.731169418,vegetal,tonnes,Australia,1692956646855.7,0.004046654993051795
AUT,1061912960.671994,2239177.8334238348,vegetal,tonnes,Austria,470941926750.741,0.0022548702936658273
AZE,630180420.4521147,1527294.5722438353,vegetal,tonnes,Azerbaijan,78807470588.2353,0.007996455358208015
BDI,788645549.0325341,1752793.4161715258,vegetal,tonnes,Burundi,3338722827.65691,0.23621174615024856
BEL,512086953.3039772,1107662.4922925483,vegetal,tonnes,Belgium,583613982019.263,0.0008774412010010327
BEN,1237739843.732883,2815434.093854273,vegetal,tonnes,Benin,17425418044.2906,0.07103071160685444
BFA,491555565.0968257,875063.4450094801,vegetal,tonnes,Burkina Faso,18820219331.2261,0.02611848227938807
BGD,5738491046.310685,9696351.266380886,vegetal,tonnes,Bangladesh,460131688909.301,0.012471410217177695
BGR,1937604231.9423256,4683634.262680248,vegetal,tonnes,Bulgaria,90346169914.9349,0.021446445751565003
BHR,747070.8343311172,600.877115035507,vegetal,tonnes,Bahrain,44383297872.3404,1.683225154831702e-05
BHS,46351195.44548637,79424.06950766355,vegetal,tonnes,Bahamas,13136400000.0,0.0035284549378434248
BIH,174668525.39645082,304764.7901499659,vegetal,tonnes,Bosnia and Herzegovina,24534663636.1778,0.0071192549442125564
BLR,503125426.5243326,2033002.0087938588,vegetal,tonnes,Belarus,73775179924.603,0.006819711277404113
BLZ,208357053.93648824,1541985.295000409,vegetal,tonnes,Belize,2830507575.6841,0.07361119812093447
BOL,1844736005.8518994,4513668.117498195,vegetal,tonnes,Bolivia,44008282879.8842,0.04191792737941866
BRA,28900689728.514553,176834191.01711902,vegetal,tonnes,Brazil,1951923942083.32,0.014806258125851143
BRB,19354438.373143863,105370.22300962576,vegetal,tonnes,Barbados,5840673700.0,0.003313733888805304
BTN,245467597.3150152,240387.52016297038,vegetal,tonnes,Bhutan,2898227713.22315,0.08469575947917084
BWA,152159676.5745963,116547.30765335013,vegetal,tonnes,Botswana,20321958850.0363,0.007487451268720805
CAF,180745496.7345663,379564.95691077184,vegetal,tonnes,Central African Republic,2382618615.01694,0.07586002039746559
CAN,2612697439.2240276,6443666.286716273,vegetal,tonnes,Canada,2161483369422.01,0.0012087520432427265
CHE,293495788.8243162,374071.35079370975,vegetal,tonnes,Switzerland,818426550206.45,0.00035860980896853996
CHL,4086004767.7984943,5956993.727356562,vegetal,tonnes,Chile,302116539409.03,0.01352459807659364
CHN,278035927519.83325,333920840.16472995,vegetal,tonnes,China,17881783387000.9,0.015548556958918902
CIV,3413648531.779362,7178700.990907904,vegetal,tonnes,Cote d'Ivoire,70173140101.4315,0.04864608491005414
CMR,4890226948.359371,11133932.75599389,vegetal,tonnes,Cameroon,43644068310.851,0.11204791710821192
COD,4829320640.142412,15409175.004302604,vegetal,tonnes,Congo,65801547619.5974,0.07339220451258985
COG,288446171.39840853,817913.5706224063,vegetal,tonnes,Congo,15817030156.9459,0.018236430514216355
COL,13187669403.598953,41481734.15741434,vegetal,tonnes,Colombia,345329875078.512,0.03818861429408819
CPV,31657508.539958797,36516.15771632928,vegetal,tonnes,Cabo Verde,2303738020.15148,0.013741800614063394
CRI,3202895650.000213,6088054.293921971,vegetal,tonnes,Costa Rica,69243626028.5936,0.046255458208927465
CUB,2096464597.6923118,5366637.502840652,vegetal,tonnes,Cuba,,
CYP,113931774.90666938,180311.28937089464,vegetal,tonnes,Cyprus,29250532020.0746,0.0038950325699538785
CZE,518086050.6666001,1361646.1422156428,vegetal,tonnes,Czechia,290565654835.809,0.0017830257707482904
DEU,11018892102.736647,28347013.21059834,vegetal,tonnes,Germany,4082469490797.68,0.0026990751866179034
DJI,457381.45898754837,453.2796004645279,vegetal,tonnes,Djibouti,3674298479.07676,0.00012448130210218373
DMA,62408288.26492371,63145.66810272155,vegetal,tonnes,Dominica,607159259.259259,0.10278734502223108
DNK,757492614.4216118,2598549.895337859,vegetal,tonnes,Denmark,400167196948.707,0.0018929403014478132
