Crop,clipped_PA_surf,total_surf
alfalfa,5609.2197265625,14270.279
almond,382.7042236328125,482.37817
aniseetc,12088.5908203125,27177.562
apple,8576.7919921875,15607.476
apricot,2034.6259765625,4301.989
artichoke,6867.7265625,12646.817
avocado,1.7593907117843628,1.7593907
banana,11467.4384765625,21580.863
barley,12031.3310546875,25869.219
bean,11973.6953125,26384.576
beetfor,0.0,0.0
berrynes,21.90121841430664,47.269886
broadbean,9928.0390625,19714.67
cabbagefor,0.0,0.0
cabbage,8474.8955078125,14532.476
carob,0.341779500246048,0.3417795
carrotfor,0.0,0.0
carrot,2327.67529296875,5247.4043
cauliflower,1713.6163330078125,3301.2417
cherry,2.5004115104675293,2.5004115
chickpea,726.4473266601562,2158.9255
chilleetc,884.7451782226562,1174.0491
citrusnes,111.84231567382812,253.2545
clover,24325.02734375,50972.062
cotton,24442.326171875,51692.83
cowpea,894.9536743164062,1926.0338
cucumberetc,9433.7822265625,20173.072
date,17566.08203125,41112.496
eggplant,18148.548828125,35397.97
fig,10706.3408203125,16598.877
flax,2883.46435546875,6877.549
fruitnes,10748.53125,23921.938
garlic,5814.7392578125,12122.022
grapefruitetc,46.98678207397461,103.99977
grape,23147.5078125,43401.688
greenbean,8344.9326171875,14623.142
greenbroadbean,1207.155029296875,2016.9376
greencorn,0.46619200706481934,0.466192
greenonion,1109.6724853515625,2038.2244
greenpea,7378.10498046875,15311.031
groundnut,19108.78125,41028.098
jute,383.54248046875,858.6277
legumenes,0.0,0.0
lemonlime,5863.4814453125,11297.167
lentil,245.52413940429688,575.0577
lettuce,1954.54638671875,4338.491
linseed,3418.86181640625,7484.1196
lupin,62.75740432739258,96.72403
maizefor,0.0,0.0
maize,520833.4375,1046568.94
mango,41924.765625,82208.56
melonetc,3593.845458984375,8110.7656
mixedgrass,9.195512771606445,9.195513
nutnes,679.7879028320312,1503.2046
oats,0.1993049681186676,0.19930497
oilseedfor,0.0,0.0
oilseednes,0.67636638879776,0.6763664
okra,2386.15087890625,4606.473
olive,20658.96484375,43130.973
onion,30060.798828125,60941.1
orange,43198.77734375,81764.89
peachetc,6090.6982421875,10728.304
pear,2231.000732421875,3620.6582
pea,36.7660026550293,75.92529
persimmon,296.260986328125,754.22406
pimento,5765.51123046875,12904.658
plum,998.3422241210938,1222.6647
popcorn,0.0,0.0
poppy,0.3218630850315094,0.32186309
potato,57738.77734375,119185.12
pulsenes,1369.7509765625,3068.5156
pumpkinetc,7447.29150390625,14585.574
rice,223920.125,507227.06
rootnes,361.9299011230469,816.669
ryefor,0.0,0.0
rye,11390.392578125,25911.438
sesame,11634.8525390625,24320.598
sorghumfor,0.0,0.0
sorghum,54341.0390625,126827.664
soybean,5682.8349609375,8347.467
spicenes,0.028103206306695938,0.028103206
spinach,908.3078002929688,1724.2046
stonefruitnes,50.83197784423828,114.46891
strawberry,6961.35595703125,12559.149
sugarbeet,42048.18359375,96847.83
sugarcane,39277.0703125,83107.75
sunflower,4390.16162109375,8351.75
sweetpotato,5965.630859375,11069.604
tangetc,15059.3671875,30097.361
taro,2225.521484375,3069.5027
tomato,53375.24609375,103765.13
tropicalnes,800.8419189453125,1822.2517
turnipfor,0.0,0.0
vegetablenes,10677.28125,23897.438
vegfor,40979.234375,82920.62
vetch,293.4111633300781,657.4907
walnut,1522.7236328125,3439.3652
watermelon,12273.2451171875,28688.418
wheat,248079.015625,484805.53
