Crop,clipped_PA_surf,total_surf
alfalfa,84080.59375,218536.44
almond,276029.625,690069.0
aniseetc,605.234375,1578.3773
apple,11502.5087890625,29744.846
apricot,7655.82080078125,19837.494
artichoke,5362.974609375,13899.899
asparagus,5487.322265625,14219.626
avocado,5891.32177734375,15180.705
banana,3804.894287109375,8976.213
barley,916739.3125,2750613.8
bean,2634.279296875,7300.746
beetfor,1428.0543212890625,3699.855
berrynes,86.63127899169922,240.91794
broadbean,8586.70703125,20895.455
buckwheat,1.8225362300872803,2.0296452
cabbagefor,2456.14453125,6361.5503
cabbage,4726.17724609375,12197.058
carob,25246.611328125,65391.734
carrotfor,60.733089447021484,172.69617
carrot,2642.209716796875,6826.6714
cauliflower,15479.6416015625,40082.637
cherry,10681.9912109375,27659.17
chestnut,13138.4287109375,33422.203
chickpea,11684.0810546875,30541.83
chicory,81.49823760986328,227.28616
chilleetc,8385.08203125,21729.668
citrusnes,501.18975830078125,1323.7784
clover,839.9103393554688,2177.1199
cotton,20994.107421875,62457.938
cucumberetc,2966.7890625,7687.5815
currant,4.874502182006836,5.5414443
date,252.4425506591797,670.4532
eggplant,1426.574462890625,3699.1367
fig,5926.62158203125,15078.11
flax,16949.9765625,44891.3
fornes,692.3748168945312,1108.8057
fruitnes,4302.9560546875,11143.287
garlic,10684.9365234375,27685.773
grapefruitetc,954.0731811523438,2483.3545
grape,355161.40625,883062.44
grassnes,97449.4609375,252553.1
greenbean,3021.72412109375,7834.0654
greenbroadbean,3100.524658203125,8021.6255
greencorn,16405.9375,50521.164
greenonion,762.7814331054688,1983.7206
greenpea,6003.13525390625,15533.345
groundnut,5.829595565795898,7.986682
hazelnut,5157.99755859375,13371.917
hempseed,0.53425133228302,0.6086993
hemp,235.53944396972656,630.3509
hop,234.26235961914062,622.6634
kiwi,579.1244506835938,1509.5891
legumenes,38457.36328125,99711.125
lemonlime,18572.314453125,48125.332
lentil,11556.7392578125,30220.607
lettuce,13229.6572265625,34266.484
linseed,17.72412872314453,49.955666
lupin,1345.155517578125,2367.3582
maizefor,33848.109375,87114.32
maize,77063.140625,334192.5
melonetc,7347.29248046875,19045.285
millet,178.7263641357422,495.2105
mixedgrain,16874.240234375,43714.715
mixedgrass,84371.7265625,218801.2
mushroom,192.40589904785156,525.5831
mustard,0.0,0.0
nutnes,16244.7548828125,41169.387
oats,292989.5,463530.66
oilseedfor,3.3949971199035645,3.7643979
oilseednes,0.0,0.0
olive,1037005.0,2351334.8
onion,9680.431640625,25059.08
orange,54066.73046875,140142.84
peachetc,27740.1796875,71859.234
pear,7953.4931640625,20588.172
pea,45666.00390625,115536.0
pimento,1258.26171875,3265.055
pineapple,0.48757311701774597,0.6198596
plum,5604.27880859375,14516.515
popcorn,0.0,0.0
poppy,1.0989255905151367,1.2302192
potato,21152.443359375,64784.723
pulsenes,84449.4609375,218894.45
pumpkinetc,5740.87939453125,14863.668
quince,262.2142333984375,694.5826
rapeseed,22991.21484375,68595.445
rasberry,962.0343017578125,2521.553
rice,42741.9453125,99021.68
rootnes,120.40834045410156,329.74158
ryefor,15826.693359375,40906.48
rye,20289.46875,116209.97
safflower,25.455421447753906,71.28358
sorghumfor,2579.28564453125,6606.1553
sorghum,1916.5611572265625,5316.7026
sourcherry,25.21627426147461,36.59782
soybean,784.7847900390625,1412.5575
spicenes,914.3287353515625,2376.4893
spinach,1828.4359130859375,4734.5186
stonefruitnes,65.78511047363281,95.68781
strawberry,2856.237060546875,7398.6665
stringbean,3.57535457611084,3.964439
sugarbeet,10254.0439453125,27686.014
sugarcane,417.2206726074219,1093.3586
sunflower,232900.078125,644953.6
sweetpotato,613.1893920898438,1278.5929
tangetc,40270.14453125,104408.21
tea,0.0,0.026499903
tobacco,4544.0478515625,7954.6665
tomato,21377.583984375,55335.33
triticale,67300.40625,158487.19
tropicalnes,11968.0849609375,31002.672
turnipfor,3527.59033203125,9142.272
vegetablenes,9515.3681640625,24481.285
vegfor,3078.037109375,8339.497
vetch,69579.5546875,180614.45
walnut,4482.2880859375,11567.727
watermelon,8263.2724609375,21410.635
wheat,669227.875,1914437.8
yam,0.0,6.1339464
