Crop,clipped_PA_surf,total_surf
almond,1.2143744230270386,4.901036
avocado,594.0636596679688,1900.4111
bambara,9.909675598144531,1177.8995
banana,3060.986328125,7944.5225
bean,22979.73828125,139900.52
cabbagefor,0.0,0.0
cabbage,0.28119760751724243,0.5446852
cashew,38645.3046875,137829.89
cassava,262737.21875,946261.9
castor,5.172024726867676,14.575955
cerealnes,28.089553833007812,80.67111
chickpea,11.177740097045898,43.017685
chilleetc,3884.8037109375,14758.269
citrusnes,2.468824625015259,5.5643377
cocoa,482336.1875,1434940.8
coconut,28698.845703125,76005.09
coffee,778.2366943359375,1197.5476
cotton,3003.67138671875,15767.947
cowpea,15638.884765625,146376.06
eggplant,1656.8173828125,5924.7295
fonio,0.0,14.186566
fruitnes,4905.84814453125,15706.201
ginger,23.92624282836914,97.8116
greenbean,687.6658935546875,2520.6301
greencorn,65.72600555419922,140.1572
greenonion,1.2087643146514893,3.5982378
groundnut,73301.921875,331742.94
karite,8448.8662109375,31487.285
kolanut,20519.970703125,83880.68
legumenes,0.0,0.0
lemonlime,2198.495849609375,7017.6523
maizefor,0.0,0.0
maize,368783.875,1534812.2
mango,2070.4951171875,6568.9204
millet,19167.212890625,165999.98
nutmeg,0.09966614842414856,0.1417349
nutnes,2798.5751953125,10002.828
oats,14.725528717041016,40.92487
oilpalm,101006.4609375,359634.44
oilseedfor,0.0,0.0
oilseednes,1.919209599494934,4.9183826
okra,1018.3156127929688,6082.8354
onion,2275.20361328125,8147.626
orange,5203.3994140625,18559.754
papaya,9.217123031616211,1210.7577
pepper,1510.64501953125,5405.943
pimento,4370.3291015625,15924.701
pineapple,3262.146484375,10425.835
plantain,128092.546875,412454.3
popcorn,0.0,0.0
potato,0.15019503235816956,0.45131856
pulsenes,47971.61328125,248588.25
rice,99027.5234375,329374.25
rootnes,11.349800109863281,29.157347
rubber,14954.279296875,54548.688
sesame,38.87732696533203,151.53159
sorghumfor,0.0,0.0
sorghum,29915.17578125,300190.53
soybean,18541.046875,102555.65
spicenes,3.978358268737793,12.703253
sugarcane,2443.3203125,6525.287
sweetpotato,13913.525390625,72998.8
tangetc,0.0,0.0
taro,47400.1484375,177526.05
tobacco,886.48583984375,6002.7266
tomato,11969.779296875,45929.03
tropicalnes,2.387014865875244,9.42281
vegetablenes,158.30703735351562,584.1756
vegfor,586.0806884765625,2740.6597
yam,121418.25,467722.97
