Crop,clipped_PA_surf,total_surf
abaca,1051.70556640625,1624.6765
bambara,0.0,0.0
banana,5545.8759765625,6291.3257
cabbagefor,0.0,0.0
cabbage,0.0,0.0
cassava,20476.6796875,23254.172
chilleetc,0.0,0.0
citrusnes,0.12096008658409119,0.44230157
cocoa,5153.0361328125,8673.493
coconut,2006.8800048828125,4226.8394
coffee,6472.86279296875,11116.932
cotton,0.0,0.0
cucumberetc,0.0,0.0
eggplant,0.0,0.022398503
fruitnes,4.019329071044922,16.277845
greenbean,0.0,0.0
groundnut,16.45610809326172,64.32483
jute,0.0,0.0
kolanut,0.0,0.0
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,21.515972137451172,68.01622
melonetc,0.0,0.0
melonseed,0.0,0.0
millet,0.0,0.0
oilpalm,1267.2933349609375,3061.0798
onion,0.0,0.0
pepper,0.0,0.0
pimento,0.0,0.0
pineapple,0.047097135335206985,0.17883998
plantain,6523.61376953125,7741.3623
popcorn,0.0,0.0
potato,0.0,0.0
pulsenes,0.1663132905960083,0.5990306
pumpkinetc,0.0,0.0
rice,0.2200443148612976,0.25849175
rootnes,3485.77783203125,5331.53
rubber,5.4630231857299805,27.31476
sesame,0.0,0.0
sorghumfor,0.0,0.0
sorghum,0.0,0.0
soybean,0.9464244842529297,5.5793133
sugarcane,1.1948282718658447,6.5566792
sweetpotato,16448.32421875,18729.762
taro,5.209609031677246,23.842272
tea,0.0,0.0
tobacco,0.0,0.0
tomato,0.014866800978779793,0.05416643
tropicalnes,0.0,0.0
vegetablenes,2.8289408683776855,9.87872
vegfor,5.697196006774902,23.781464
watermelon,0.0,0.0
wheat,0.0,0.0
yam,25.545677185058594,101.941795
