Crop,clipped_PA_surf,total_surf
alfalfa,14.568252563476562,21.364168
almond,716.8936767578125,1323.9806
aniseetc,44.399539947509766,81.503006
apple,1785.55322265625,2995.1895
apricot,387.9045715332031,668.37366
artichoke,252.20643615722656,450.4581
asparagus,7.495853424072266,13.875352
avocado,5725.11572265625,10084.484
banana,1330.6083984375,3098.7131
barley,5086.2724609375,8989.432
bean,6.588089466094971,7.081577
beetfor,0.0,0.0
berrynes,327.0770263671875,588.38715
broadbean,66.86652374267578,118.9823
cabbagefor,0.0,0.0
cabbage,1621.50341796875,2865.7896
carob,887.7316284179688,1593.7506
carrotfor,0.0,0.0
carrot,1245.5426025390625,2209.012
cauliflower,1525.3988037109375,2706.1228
cerealnes,11.275044441223145,20.538115
cherry,355.04217529296875,497.40335
chickpea,1412.1759033203125,2445.661
chilleetc,1241.453125,2228.1152
citrusnes,1516.812255859375,2708.1406
clover,1459.24365234375,2655.2717
cotton,3764.59423828125,7621.256
cowpea,3.9169540405273438,6.993271
cucumberetc,684.0252075195312,1246.0048
date,2491.23388671875,4490.79
eggplant,629.4923095703125,1114.8351
fig,114.09867858886719,205.99846
fruitnes,1507.9119873046875,2613.4863
garlic,275.73468017578125,491.05133
grapefruitetc,1301.166015625,2412.6997
grape,4599.04345703125,8153.2666
greenbean,504.13134765625,877.21173
greenbroadbean,80.63549041748047,136.95038
greencorn,1493.143310546875,2656.958
greenonion,160.21420288085938,287.80902
greenpea,145.24754333496094,246.20938
groundnut,1555.3221435546875,2588.9924
kiwi,131.94354248046875,236.20789
legumenes,0.0,0.0
lemonlime,1339.2479248046875,2325.1987
lentil,80.40597534179688,128.40501
lettuce,1475.0849609375,2583.2297
lupin,2.0378918647766113,2.0378919
maizefor,0.0,0.0
maize,1939.889892578125,3866.0454
mango,1069.2620849609375,1907.809
melonetc,936.5048828125,1671.0356
millet,0.6506588459014893,1.5396236
mixedgrass,3750.41943359375,7294.7676
nutnes,35.585262298583984,63.32292
oats,512.8511352539062,920.2631
oilseedfor,0.0,0.0
oilseednes,1988.646484375,3554.045
okra,321.7973937988281,588.08026
olive,16727.728515625,32604.172
onion,1875.62353515625,3344.7642
orange,2421.232177734375,4314.7334
papaya,125.13581848144531,221.99266
peachetc,1953.293701171875,3510.7173
pear,636.2616577148438,1101.0621
pea,830.259521484375,1444.9188
persimmon,603.4701538085938,1104.538
pineapple,9.328791618347168,17.280317
plum,875.2842407226562,1562.6216
popcorn,0.0,0.0
poppy,681.2431640625,1240.0629
potato,7732.61865234375,14982.746
pulsenes,100.21151733398438,176.6916
pumpkinetc,302.44873046875,559.37634
quince,80.57008361816406,143.50003
rootnes,37.90019989013672,69.00519
safflower,1.7791166305541992,3.2841763
sesame,29.56993865966797,55.889015
sorghumfor,0.0,0.0
sorghum,1573.3216552734375,2531.478
soybean,6.425973892211914,11.38558
spicenes,76.94308471679688,137.15799
spinach,79.54899597167969,137.58806
strawberry,267.6354064941406,475.4152
sugarbeet,4.003432273864746,7.381875
sugarcane,0.5061331987380981,0.5061332
sunflower,707.5072631835938,1472.0114
sweetpotato,465.5598449707031,2228.7583
tangetc,4362.70166015625,7768.243
taro,1.5303679704666138,2.2943032
tobacco,50.76665115356445,72.66885
tomato,2690.155029296875,4769.141
tropicalnes,1186.385009765625,2132.8506
turnipfor,0.0,0.0
vegetablenes,1476.92236328125,2672.2576
vegfor,29392.181640625,59456.28
vetch,334.305419921875,591.8374
walnut,33.051944732666016,42.5988
watermelon,2420.80126953125,4512.3677
wheat,32302.892578125,54922.57
