Crop,clipped_PA_surf,total_surf
alfalfa,0.7638659477233887,4.768937
almond,65678.453125,199360.25
aniseetc,8454.0029296875,25122.736
apple,16669.748046875,49684.82
apricot,3597.44189453125,10670.606
artichoke,965.0204467773438,2862.4272
asparagus,0.2799622416496277,1.0136187
avocado,2055.538330078125,6094.915
banana,3722.85546875,8404.474
barley,413684.6875,1282496.9
bean,0.2683153748512268,2.9302619
beetfor,0.027643701061606407,0.19209705
berrynes,75.50450897216797,225.6138
broadbean,33775.86328125,104877.266
cabbagefor,0.0,0.0
cabbage,751.94775390625,2231.937
carob,3479.99462890625,10313.424
carrotfor,0.0,0.0
carrot,7730.353515625,22926.684
castor,89.28345489501953,266.06818
cauliflower,821.04248046875,2436.5574
cerealnes,1210.59619140625,3587.1035
cherry,968.1466674804688,2874.224
chickpea,19143.8125,54398.88
chilleetc,1428.042236328125,4236.9697
citrusnes,646.6491088867188,1917.1458
clover,0.5306249856948853,3.3114376
cotton,66.6439208984375,104.412155
cucumberetc,428.1629638671875,1271.7555
date,19868.85546875,59574.008
eggplant,817.4651489257812,2424.9272
fig,20462.08203125,61486.47
fornes,33881.6796875,101905.61
fruitnes,2562.647216796875,7601.465
garlic,763.0736083984375,2267.6025
grapefruitetc,35.274925231933594,106.35204
grape,13123.9619140625,39584.44
greenbean,3065.162109375,9098.855
greenbroadbean,3284.0400390625,9745.242
greenonion,631.9265747070312,1873.4448
greenpea,4857.75390625,14409.124
groundnut,5895.35107421875,13662.359
legumenes,0.0,0.0
lemonlime,1040.0880126953125,3090.1519
lentil,15748.75,40666.64
lettuce,87.54061126708984,260.85953
lupin,26231.71875,77939.266
maizefor,0.677863359451294,4.2315164
maize,19727.79296875,68939.875
melonetc,5731.09814453125,17024.168
millet,944.2494506835938,2562.1292
oats,5690.978515625,15334.3125
oilseedfor,0.0,0.0
oilseednes,76.67540740966797,229.51982
olive,285732.0,930949.1
onion,10552.1533203125,31456.525
orange,19400.27734375,58581.723
peachetc,4440.4951171875,13191.309
pear,1245.960693359375,3701.3125
pea,12081.427734375,41385.504
peppermint,861.1741943359375,2551.9873
pimento,415.9858703613281,1235.1582
plum,5162.041015625,15315.488
popcorn,0.0,0.0
potato,16312.69921875,56869.25
pulsenes,9499.3759765625,28369.762
pumpkinetc,2400.8359375,7120.9014
quince,1136.3719482421875,3368.5938
rapeseed,266.20233154296875,1876.3336
rice,3841.587158203125,5787.2993
ryefor,12.10952377319336,75.666855
rye,1230.287109375,3646.6152
sesame,300.8810729980469,891.32886
sisal,1451.21923828125,4301.7188
sorghumfor,0.0,0.0
sorghum,838.14208984375,4649.1875
soybean,328.113037109375,743.9832
spicenes,1708.27978515625,5063.117
stonefruitnes,1.6878013610839844,10.562632
strawberry,1065.246826171875,3157.7373
stringbean,1989.2171630859375,5894.104
sugarbeet,19851.455078125,55900.383
sugarcane,7232.431640625,11764.146
sunflower,7303.3681640625,18812.453
sweetpotato,110.34387969970703,848.7634
tangetc,21755.48046875,64748.57
tobacco,260.998291015625,480.45657
tomato,5063.18603515625,15044.212
triticale,0.0,0.0
tropicalnes,21.50235366821289,67.565895
turnipfor,0.0,0.0
vegetablenes,7231.8876953125,21508.223
vegfor,3965.10888671875,10550.845
vetch,1324.154296875,3923.3718
walnut,2301.9375,6822.484
watermelon,5519.10888671875,16370.582
wheat,817644.5,2842808.2
