Crop,clipped_PA_surf,total_surf
aniseetc,10.189142227172852,26.887583
apple,1655.3807373046875,4587.0547
apricot,61.03125,163.75795
avocado,1209.0869140625,3352.614
banana,39343.88671875,67845.56
bean,33476.3515625,58162.996
cabbagefor,0.0,0.0
cabbage,298.5570373535156,832.7311
carrotfor,0.0,0.0
carrot,913.3038330078125,2535.457
cashewapple,9799.513671875,27088.844
cashew,5531.5390625,15318.363
cassava,164570.84375,330112.94
castor,2770.0029296875,7671.951
cauliflower,14.507877349853516,29.173927
cinnamon,721.4603271484375,2007.2976
clove,26917.703125,73125.07
cocoa,12502.7060546875,13564.466
coconut,16646.46484375,30789.207
coffee,45154.0390625,77093.28
cotton,5611.50048828125,13193.12
cowpea,13066.56640625,23294.113
cucumberetc,21.96422004699707,57.174446
eggplant,143.34327697753906,395.35193
fibrenes,3457.32861328125,9574.455
fruitnes,618.8394775390625,1721.2368
garlic,138.7736053466797,380.62958
grapefruitetc,548.7908935546875,1526.6162
grape,908.2392578125,2520.3435
greenbean,160.90475463867188,449.2293
greenonion,62.37902069091797,162.31004
greenpea,439.068115234375,1224.446
groundnut,32389.61328125,77317.984
jutelikefiber,261.877197265625,730.38293
legumenes,0.0,0.0
lemonlime,461.84381103515625,1284.2926
lentil,788.4610595703125,1246.1993
lettuce,59.16098403930664,158.50272
maizefor,0.0,0.0
maize,64455.30078125,128492.01
mango,17030.609375,47179.17
nutmeg,4.695714473724365,12.481612
oilpalm,1200.935546875,1775.4531
onion,642.54052734375,1789.9933
orange,4670.2333984375,12930.553
peachetc,1328.24072265625,3682.3857
pear,347.0425109863281,966.88586
pea,6617.68994140625,14484.733
pepper,4636.078125,7616.7686
pimento,1149.409423828125,3186.6694
pineapple,5295.2626953125,14663.699
pistachio,3934.64599609375,10929.59
plum,167.2401885986328,466.95178
popcorn,0.0,0.0
potato,24150.45703125,41164.41
pulsenes,4184.31103515625,11588.502
rice,876146.5,1643525.9
sisal,5022.91552734375,13907.492
sorghumfor,0.0,0.0
sorghum,1300.7066650390625,2378.7812
soybean,45.32786178588867,75.44882
spicenes,73.10292053222656,156.98097
sugarcane,58428.40234375,94936.34
sweetpotato,75513.2734375,131316.0
taro,13495.1005859375,37267.996
tea,1182.426025390625,1640.7668
tobacco,1121.62255859375,1538.4834
tomato,1621.192626953125,4495.2524
tropicalnes,20253.7734375,55824.168
tung,1482.475341796875,4108.9346
turnipfor,0.0,0.0
vanilla,25314.2890625,69992.04
vegetablenes,12145.6923828125,33366.957
vegfor,21343.24609375,36535.867
wheat,317.394287109375,451.4901
yam,16300.4072265625,33466.773
