Crop,clipped_PA_surf,total_surf
agave,5291.7958984375,15547.312
alfalfa,46370.74609375,142308.12
almond,9.76949691772461,33.732777
aniseetc,2950.07470703125,6588.3096
apple,16612.509765625,54794.92
apricot,69.16339874267578,204.37183
artichoke,145.65003967285156,265.1281
asparagus,15493.462890625,30486.09
avocado,80550.328125,208775.61
banana,34103.75390625,74328.22
barley,110358.0078125,274018.28
bean,435070.53125,1535233.9
beetfor,0.0,0.0
berrynes,4611.1533203125,8270.063
blueberry,1468.5462646484375,4552.3984
broadbean,9432.4873046875,23118.025
buckwheat,0.46837204694747925,1.0814381
cabbagefor,0.0,0.0
cabbage,2817.542236328125,7348.4653
canaryseed,0.5153450965881348,1.8506852
carob,12.01828384399414,84.45462
carrotfor,0.0,0.0
carrot,4593.490234375,12088.0205
cashew,280.7083435058594,1568.918
cassava,459.9635314941406,1965.8965
castor,396.82720947265625,986.4682
cauliflower,12982.4404296875,33830.523
cherry,23.380586624145508,48.179115
chickpea,28549.20703125,62775.367
chilleetc,57664.828125,153837.64
citrusnes,26659.43359375,65446.758
clover,37.23044967651367,44.66332
cocoa,10341.41015625,59581.31
coconut,76533.7109375,120900.22
coffee,382105.65625,633409.2
cotton,38645.8046875,145285.52
cowpea,10.830398559570312,70.92129
cranberry,0.09180710464715958,0.15053354
cucumberetc,7131.70849609375,15719.761
date,1646.84130859375,2961.7085
eggplant,746.028564453125,1712.4928
fig,747.0716552734375,1808.4271
fornes,8859.3564453125,21722.498
fruitnes,25170.9375,69787.445
garlic,1566.195068359375,6804.7915
grapefruitetc,6407.6494140625,19691.432
grape,10965.544921875,33754.047
grassnes,114749.7578125,288476.25
greenbean,3894.994384765625,10354.882
greenbroadbean,4364.36279296875,8284.992
greencorn,26950.501953125,67874.84
greenonion,3730.283935546875,9135.852
greenpea,5282.4892578125,12950.031
groundnut,23733.609375,57608.54
jutelikefiber,0.8913527727127075,1.5762564
legumenes,0.0,0.0
lemonlime,68230.40625,177680.83
lentil,3161.826416015625,9021.493
lettuce,10340.638671875,25650.148
linseed,6.752970218658447,7.785681
maizefor,37478.3671875,141926.86
maize,2532761.25,6081975.5
mango,85910.3359375,202280.03
melonetc,7031.240234375,18923.67
melonseed,19.66879653930664,24.52069
millet,9.193747520446777,23.52745
mixedgrass,1523.7655029296875,3863.784
nutmeg,122.57696533203125,213.51038
nutnes,26224.66796875,64317.14
oats,10525.9765625,29578.12
oilpalm,38908.33203125,100202.46
okra,410.1900329589844,4214.689
olive,2924.65380859375,8030.5654
onion,16929.48046875,48527.137
orange,99260.4921875,302299.22
papaya,6808.6552734375,18785.031
peachetc,8218.2451171875,26136.064
pear,1604.5230712890625,3676.293
pea,817.7152709960938,1812.0198
pepper,1494.08349609375,3676.3264
persimmon,10.919881820678711,13.981123
pimento,403.6300964355469,2823.851
pineapple,7294.79736328125,24430.486
pistachio,83.04198455810547,275.14774
plantain,110.74832916259766,231.85626
plum,5702.146484375,15985.013
popcorn,0.0,0.0
potato,36369.3984375,60159.883
pulsenes,125.84468078613281,227.77742
pumpkinetc,14143.0859375,33808.453
quince,158.5645751953125,677.44196
rapeseed,509.8033142089844,3062.2148
rasberry,2016.4539794921875,7731.123
rice,16386.72265625,46887.51
rootnes,3157.689453125,7746.4873
rubber,9166.5556640625,31312.361
ryefor,5284.5595703125,15952.744
rye,5.6471333503723145,34.09126
safflower,17272.763671875,46918.098
sesame,31594.109375,76492.05
sisal,3680.814697265625,9025.565
sorghumfor,31682.412109375,91757.836
sorghum,452531.1875,1488349.8
soybean,97330.8046875,152033.42
spicenes,210.52894592285156,553.058
spinach,1280.248779296875,3100.8428
strawberry,6737.947265625,12929.109
stringbean,4890.7861328125,11987.148
sugarbeet,148.85838317871094,190.32085
sugarcane,288353.34375,699336.06
sunflower,1863.63623046875,6078.5107
sweetpotato,1590.0108642578125,3742.47
tangetc,10344.39453125,34952.504
tea,2.014575242996216,2.4334424
tobacco,5485.1396484375,6462.9937
tomato,31822.236328125,81730.766
triticale,5831.39599609375,8603.3545
tropicalnes,10862.9091796875,42851.016
turnipfor,175.61480712890625,655.66284
vanilla,618.8726806640625,1051.2999
vegetablenes,19046.15625,46704.95
vegfor,41103.015625,102111.016
vetch,3648.35693359375,8941.661
walnut,38180.19140625,92518.86
watermelon,13784.3486328125,38642.29
wheat,279945.8125,551091.4
yam,2948.658203125,7684.694
yautia,166.26393127441406,525.03845
