Crop,clipped_PA_surf,total_surf
alfalfa,4182.82666015625,9516.952
almond,272.5035095214844,554.7979
aniseetc,15.49754524230957,468.2357
apple,5155.69189453125,11643.693
apricot,206.0453643798828,431.28705
artichoke,2.5849058628082275,3.700755
asparagus,82.18408966064453,162.2961
avocado,1.4855401515960693,2.1334808
banana,0.2117939293384552,0.2960775
barley,20125.984375,46296.242
bean,1848.1820068359375,5069.9844
beetfor,231.70114135742188,505.0016
berrynes,0.18093353509902954,0.31663486
broadbean,3643.450439453125,8391.943
cabbagefor,0.0,0.0
cabbage,2446.228515625,5428.7534
carob,19.341571807861328,27.889997
carrotfor,0.0,0.0
carrot,184.7943115234375,401.1388
cauliflower,23.872987747192383,37.13352
cerealnes,0.23742642998695374,10.302333
cherry,2817.60595703125,6179.924
chestnut,367.40771484375,789.5512
chickpea,566.0534057617188,875.34265
chicory,0.27161428332328796,0.32772475
chilleetc,3997.5693359375,9044.065
citrusnes,1.187900424003601,1.6736236
clover,1160.7314453125,2550.5688
cotton,471.8509521484375,529.4542
cowpea,1004.617919921875,2016.5034
cucumberetc,569.0062255859375,1240.6256
currant,0.0,2.7344337
eggplant,14.44820785522461,30.713509
fig,29.692140579223633,42.858986
flax,0.2714095711708069,0.3637966
fruitnes,37.0616340637207,200.16605
garlic,447.877197265625,983.8613
grapefruitetc,0.3483593165874481,0.4611196
grape,9924.22265625,22363.775
grassnes,208.96365356445312,328.74655
greenbean,6389.283203125,14806.107
greenbroadbean,1.9318279027938843,3.161247
greencorn,163.7386016845703,195.32033
greenonion,44.16191482543945,96.208725
greenpea,498.77392578125,1088.8796
groundnut,1.0787404775619507,1.1960707
hazelnut,1.4882789850234985,2.139774
hempseed,0.189250648021698,0.30836618
hemp,0.18967705965042114,0.30906087
hop,1.6882379055023193,2.6212158
kiwi,15.64985466003418,22.658983
legumenes,1844.3623046875,3907.5898
lemonlime,9.93685245513916,14.272138
lentil,39.03703689575195,71.95189
lettuce,9.00365161895752,14.425059
linseed,2.9497458934783936,2.9732373
lupin,120.57537841796875,120.593346
maizefor,1169.12890625,2572.4375
maize,12015.833984375,34254.477
melonetc,35.97320556640625,51.402523
melonseed,2.5710878372192383,3.690241
millet,18.829792022705078,25.700073
mixedgrain,1.776541829109192,2.560769
mustard,0.042121194303035736,2.2028005
nutnes,10.685544967651367,15.408846
oats,1557.0213623046875,3489.9553
oilseedfor,0.0,0.0
oilseednes,0.061869461089372635,2.6677036
olive,4597.20947265625,8090.8237
onion,1648.8955078125,3656.6355
orange,67.66768646240234,97.63315
peachetc,823.7682495117188,1732.9242
pear,2180.785888671875,4781.563
pea,487.03839111328125,965.04034
pimento,4.549831867218018,7.412156
pistachio,8.24872875213623,11.898584
plum,3649.4482421875,8031.403
popcorn,0.0,0.0
poppy,36.54212951660156,78.03943
potato,4812.8916015625,12804.485
pulsenes,157.8194122314453,249.21344
pumpkinetc,4.633491516113281,8.953878
quince,72.72235107421875,156.50827
rapeseed,51.71124267578125,81.69457
rasberry,48.3405647277832,74.22128
rice,2341.333251953125,3263.5662
ryefor,0.0,0.0
rye,1766.7347412109375,3936.4
sesame,18.47425079345703,40.518036
sorghumfor,1.0989328622817993,1.5765355
sorghum,35.615745544433594,44.442604
sourcherry,804.01123046875,1747.247
soybean,11.076343536376953,45.154335
spicenes,18.197040557861328,33.139038
spinach,12.919617652893066,19.96607
stonefruitnes,1.5490233898162842,2.2234793
strawberry,400.78594970703125,862.6088
sugarbeet,72.66947174072266,146.44464
sunflower,2581.5556640625,5193.827
sweetpotato,0.03332088887691498,0.03332089
tangetc,15.525320053100586,22.441862
tobacco,6669.6318359375,15816.83
tomato,2464.540771484375,5529.62
triticale,1407.1861572265625,1432.9038
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,220.2847137451172,459.64075
vegfor,838.7427368164062,1979.8923
vetch,997.094970703125,2170.1636
walnut,3866.42919921875,8490.403
watermelon,2372.411865234375,5360.0273
wheat,31802.837890625,72616.31
