Crop,clipped_PA_surf,total_surf
alfalfa,138.8603515625,299.2102
almond,0.9962600469589233,1.2822577
apple,174.82296752929688,386.66412
apricot,152.9606170654297,272.08884
barley,131.30099487304688,767.04047
bean,21.859615325927734,90.62665
beetfor,452.6651306152344,766.867
broadbean,0.36260223388671875,0.7072163
cabbagefor,0.0,0.0
cabbage,202.8994140625,375.3145
carrotfor,0.0,0.0
carrot,445.012939453125,740.93677
cherry,419.0753173828125,701.19275
chestnut,24.904556274414062,42.63234
chickpea,2.7184104919433594,3.5825014
chicory,24.244579315185547,40.377186
chilleetc,126.806640625,249.83347
clover,1585.7919921875,3337.369
cotton,0.34297820925712585,0.3429782
cowpea,0.8432303667068481,21.866295
cucumberetc,5.253561496734619,7.043403
fig,414.8575134277344,740.2649
fruitnes,83.13331604003906,107.45816
garlic,154.07968139648438,258.5081
grape,872.3336181640625,2076.6694
greenbean,220.59512329101562,393.7754
greenbroadbean,0.028991971164941788,0.04214001
greencorn,54.23876190185547,89.31712
greenpea,96.64985656738281,181.29729
hempseed,10.514690399169922,17.638323
hemp,10.538671493530273,17.678528
hop,31.591415405273438,52.612366
legumenes,287.33953857421875,491.1069
maizefor,1138.88916015625,2040.8263
maize,232.684814453125,1599.1389
millet,0.0,0.023162091
nutnes,7.3439249992370605,14.156802
oats,90.07769012451172,194.09705
olive,26.20262908935547,76.54372
onion,43.55217742919922,88.8584
orange,431.9676513671875,721.16284
peachetc,51.38592529296875,109.27763
pear,39.648292541503906,83.82441
pea,314.8026428222656,560.76447
pimento,243.9419403076172,404.65442
plum,166.6212615966797,500.8476
popcorn,0.0,0.0
poppy,48.49613571166992,83.31047
potato,775.5346069335938,1872.67
pulsenes,4.228410243988037,8.375947
quince,103.83052062988281,178.62817
rapeseed,2.096406936645508,8.500058
rasberry,124.64251708984375,288.11227
ryefor,0.0,0.0
rye,71.20209503173828,153.42477
sorghumfor,0.0,0.0
sorghum,0.01166701689362526,0.18056482
sourcherry,1096.2674560546875,1945.3823
soybean,7.712363243103027,9.977773
spicenes,1.2795037031173706,2.4666483
strawberry,441.9748840332031,750.8642
sugarbeet,13.734560012817383,163.04707
sunflower,0.874216616153717,142.41481
tea,68.84086608886719,113.405685
tobacco,62.27302551269531,102.851105
tomato,58.705413818359375,125.61018
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,180.8892364501953,272.24927
vegfor,650.2759399414062,1567.7534
vetch,419.33831787109375,726.9191
walnut,261.9462890625,442.8038
watermelon,259.3767395019531,456.57864
wheat,319.89971923828125,1105.8816
