Crop,clipped_PA_surf,total_surf
bambara,203.13763427734375,243.60667
banana,0.0,0.4382013
barley,77.49749755859375,484.99338
bean,2112.873046875,10816.933
beetfor,0.0,0.0
cashew,46.83951187133789,59.8683
cassava,4.610468864440918,4.610469
cerealnes,5.6312456130981445,7.218163
chilleetc,0.0,0.0
coconut,8.329111099243164,13.822772
cotton,30.124366760253906,456.02826
cowpea,4603.1923828125,22051.28
date,1467.708740234375,8703.186
fonio,42.15751647949219,45.85109
fruitnes,247.096435546875,922.62897
greenbean,2.8213233947753906,3.4859135
groundnut,273.118408203125,971.8127
jutelikefiber,0.7484888434410095,5.0847726
karite,12.240079879760742,83.31932
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,7972.07763671875,22584.54
mango,34.681087493896484,40.506187
melonseed,590.8330078125,4367.401
millet,1910.3304443359375,10893.493
nutnes,5.916499137878418,10.810598
onion,25.913108825683594,34.452385
orange,13.282577514648438,14.275536
pea,3647.761962890625,25489.852
pimento,11.37173843383789,25.467554
popcorn,0.0,0.0
potato,57.98640823364258,318.62943
pulsenes,5131.09912109375,31673.059
rice,59514.94921875,87959.414
sorghumfor,0.0,0.0
sorghum,48866.390625,202129.88
soybean,0.6680119037628174,7.5697036
sugarbeet,0.03336109220981598,0.63637286
sugarcane,691.83154296875,691.83154
sweetpotato,341.6339111328125,2554.1328
tea,0.0,0.0
tomato,1.2371680736541748,5.910818
tropicalnes,3.7156243324279785,3.867986
vegetablenes,82.2983169555664,602.093
vegfor,1718.2545166015625,2546.791
watermelon,796.5654907226562,4150.208
wheat,1730.850341796875,4138.131
yam,193.90753173828125,547.1357
