Crop,clipped_PA_surf,total_surf
alfalfa,2197.4296875,6908.786
aniseetc,38.91274642944336,134.28961
apple,1737.483642578125,5924.602
apricot,1.2189438343048096,2.4443817
asparagus,786.91064453125,2690.9155
barley,11154.953125,34246.11
bean,390.5926513671875,1371.5333
beetfor,247.52487182617188,808.78925
berrynes,72.63798522949219,250.01161
blueberry,254.94932556152344,879.015
broadbean,935.7572021484375,3183.8403
cabbagefor,0.0,0.0
cabbage,1746.6123046875,5999.577
carrotfor,0.0,0.0
carrot,2626.1630859375,9016.098
cauliflower,1310.1231689453125,4457.34
cherry,129.01707458496094,395.0537
chicory,58.5159912109375,121.8185
chilleetc,418.16973876953125,1437.7223
clover,171.67723083496094,354.96567
cucumberetc,167.5789794921875,573.3982
currant,139.8412322998047,464.19904
eggplant,35.334327697753906,122.14896
flax,522.5632934570312,1781.5089
fornes,183.09884643554688,379.54492
garlic,53.20228576660156,183.67474
gooseberry,10.37933349609375,21.462421
grape,43.4578742980957,156.09805
greenbean,1091.171630859375,3730.401
greenbroadbean,343.5072326660156,1184.1412
greenonion,152.0037384033203,524.15686
greenpea,918.9325561523438,3138.9753
hop,17.214866638183594,35.58078
legumenes,0.0,0.0
lettuce,2605.31689453125,8819.596
linseed,1145.443359375,3766.6548
maizefor,9578.8125,27902.387
maize,4530.4765625,16027.633
melonetc,10.163902282714844,37.41822
mixedgrain,38.90144348144531,80.465256
mixedgrass,9067.208984375,26989.723
mushroom,16.650665283203125,58.24524
mustard,2.83620023727417,5.8521366
oats,397.9170837402344,1375.6895
oilseedfor,516.490478515625,1369.2108
oilseednes,0.0,0.0
onion,9637.755859375,33034.473
peachetc,5.990882873535156,12.3887615
pear,2678.588134765625,9116.773
pea,481.32470703125,1481.2971
plum,62.40955352783203,183.38565
popcorn,0.0,0.0
poppy,215.4303436279297,738.5648
potato,43164.6328125,149799.25
pumpkinetc,355.6380615234375,1222.5743
quince,0.5188080668449402,1.0865263
rapeseed,427.88916015625,1246.9596
rasberry,47.98873519897461,146.15399
rice,0.21595892310142517,2.7504377
ryefor,0.0,0.0
rye,425.54412841796875,1146.6808
sourcherry,37.772987365722656,78.438705
soybean,16.024425506591797,63.551235
spinach,889.7144775390625,3039.0835
strawberry,421.8153076171875,1443.5599
sugarbeet,20082.52734375,74536.805
sunflower,145.8477783203125,627.1332
tobacco,0.1532280445098877,0.36143267
tomato,507.44451904296875,1740.2776
triticale,251.49978637695312,685.2375
turnipfor,0.0,0.0
vegetablenes,3364.33984375,11465.627
vegfor,470.0092468261719,1415.5642
walnut,4.539303779602051,9.389128
wheat,22084.61328125,94411.09
