Crop,clipped_PA_surf,total_surf
almond,4.7187299728393555,11.044823
aniseetc,45.3322639465332,183.54529
apple,2233.908447265625,5079.6914
apricot,21.969629287719727,90.33509
areca,428.1148376464844,794.5425
asparagus,0.32169023156166077,0.32169023
banana,3292.941162109375,6697.866
barley,12326.5810546875,23822.482
bean,7744.10546875,20575.326
broadbean,1075.0330810546875,1196.7473
buckwheat,1731.8858642578125,1928.1201
cabbagefor,0.0,0.0
cabbage,34.4088134765625,125.12195
carrotfor,0.0,0.0
carrot,4.036712646484375,14.289176
cashew,2.5898022651672363,6.9691315
cassava,277.802001953125,950.4759
castor,0.5471857786178589,0.61795235
cauliflower,10.579998016357422,42.438553
cerealnes,0.0,0.0
cherry,0.0842338353395462,0.38546082
chestnut,0.17964738607406616,0.20468992
chickpea,3809.439697265625,9682.708
chilleetc,4404.63134765625,10052.832
cinnamon,0.0,0.0
citrusnes,131.99166870117188,480.4425
coconut,121.64041137695312,314.6166
coffee,1112.7178955078125,2623.9058
cotton,57.305397033691406,133.07787
cucumberetc,3.3304529190063477,10.88616
eggplant,79.04270935058594,289.286
fig,0.18764394521713257,0.98315436
flax,0.14877046644687653,0.17234924
fornes,931.2582397460938,3407.4292
fruitnes,14020.3056640625,31249.273
garlic,3679.910888671875,8479.062
ginger,9407.2421875,21343.434
grapefruitetc,0.8060119152069092,3.4724236
grassnes,3522.5478515625,7915.658
greenbean,11.753533363342285,40.978043
greenpea,49.271026611328125,175.24883
groundnut,30.012088775634766,156.12491
jutelikefiber,16.64285659790039,166.94344
jute,2934.477783203125,7021.7207
legumenes,0.0,0.0
lemonlime,309.9970397949219,1491.728
lentil,92182.8671875,200486.66
lettuce,80.59347534179688,291.10736
linseed,4307.236328125,10003.146
maizefor,0.0,0.0
maize,402919.625,923701.94
mango,3551.8896484375,14128.336
melonetc,5.29809045791626,18.727882
melonseed,0.0,0.0
millet,104486.3046875,259813.66
mustard,84932.84375,176650.97
nutmeg,6967.333984375,15717.226
oats,6.401388645172119,7.1058645
oilpalm,0.011081709526479244,0.0110817095
oilseedfor,0.0,0.0
oilseednes,80.11297607421875,5983.2344
okra,67.76426696777344,278.73953
onion,19.62904930114746,81.3615
orange,1878.2012939453125,4240.003
papaya,107.87821960449219,380.95148
peachetc,134.07479858398438,543.4824
pear,185.33413696289062,750.1725
pea,239.7872772216797,802.89545
pigeonpea,8264.1904296875,16462.666
pimento,7028.21142578125,16039.655
pineapple,107.71583557128906,337.3586
plum,141.35470581054688,572.9827
popcorn,0.0,0.0
potato,82348.8984375,180464.48
pulsenes,29779.90625,67322.164
pumpkinetc,60.37431716918945,215.21326
ramie,0.16024291515350342,0.18399751
rapeseed,82499.890625,193489.16
rice,660070.3125,1383560.4
rootnes,13126.1455078125,29527.152
rubber,1.0146616697311401,1.154353
ryefor,0.0,0.0
rye,8.850847244262695,9.83598
safflower,0.0,0.0
sesame,15.067140579223633,102.687416
sorghumfor,0.0,0.0
sorghum,8.48402214050293,50.660267
soybean,14823.123046875,28972.322
spicenes,855.49267578125,2214.8555
spinach,0.1679874062538147,0.1679874
sugarcane,26968.962890625,60107.242
sunflower,25.25037956237793,139.78452
sweetpotato,11.623602867126465,33.407448
tangetc,2211.345458984375,2560.1042
taro,0.13086600601673126,0.14255029
tea,8708.333984375,26465.572
tobacco,333.9021911621094,833.77203
tomato,1.6944031715393066,5.920365
triticale,2.723141670227051,2.988678
tropicalnes,23.08640480041504,97.70433
tung,0.23711642622947693,0.26867354
turnipfor,0.0,0.0
vegetablenes,27756.833984375,58079.395
vegfor,114894.484375,243828.64
walnut,191.1455535888672,716.37067
watermelon,3.8846869468688965,12.265069
wheat,321381.625,661797.9
yam,9615.6328125,22088.807
