Crop,clipped_PA_surf,total_surf
agave,2521.609619140625,4106.4146
aniseetc,2.4227819442749023,3.392122
apple,2751.316162109375,3046.1362
avocado,1099.8333740234375,1794.979
banana,1180.1015625,1821.7244
barley,0.5018867254257202,0.5018867
bean,77869.703125,115348.3
beetfor,0.2751896381378174,1.1201267
broadbean,63.177249908447266,88.74707
cabbagefor,0.0,0.0
cabbage,62.38092041015625,111.321365
carrotfor,0.0,0.0
carrot,8.78299617767334,14.755964
cashew,1078.3271484375,1775.5164
cassava,751.7941284179688,1264.2427
cauliflower,16.164661407470703,23.406202
chilleetc,174.59393310546875,291.69757
citrusnes,24.483028411865234,37.925255
cocoa,539.93115234375,906.49207
coconut,1192.6614990234375,2758.6487
coffee,101826.890625,152674.11
cotton,42.359493255615234,87.32374
cucumberetc,179.51870727539062,294.53397
eggplant,1.4260114431381226,5.6127415
fruitnes,1127.108154296875,1850.2458
garlic,6.782816410064697,10.038608
grapefruitetc,4.189439296722412,16.471699
grape,6.422497749328613,9.086979
greenbroadbean,1.9864161014556885,2.7426057
groundnut,7.333621978759766,15.233504
jutelikefiber,2564.5,4197.0234
legumenes,0.0,0.0
lemonlime,948.525390625,1562.9316
lettuce,7.6071085929870605,11.531488
maizefor,0.0,0.0
maize,152122.34375,257979.6
mango,2426.52294921875,3928.0522
melonetc,233.77548217773438,400.38602
nutmeg,249.29013061523438,357.4488
nutnes,14.826096534729004,20.858799
oilpalm,0.0,2.4033046
okra,2.393845558166504,3.3994017
olive,3432.638427734375,5637.843
onion,114.71342468261719,187.88513
orange,1118.5833740234375,1886.6531
papaya,68.81746673583984,110.1627
pepper,5.500452041625977,13.972507
pineapple,88.57098388671875,149.1629
plantain,1234.025390625,1940.0688
popcorn,0.0,0.0
potato,225.62982177734375,282.63943
pulsenes,9.167367935180664,12.751827
pumpkinetc,221.90786743164062,866.04584
rice,2343.33447265625,3932.208
rootnes,1.702797532081604,6.705367
rubber,327.8100280761719,470.93033
sesame,1568.324951171875,2680.266
sorghumfor,0.0,0.0
sorghum,34644.6328125,58195.71
soybean,1871.8616943359375,2930.4
spicenes,1.4565531015396118,2.0322335
strawberry,1.638054609298706,2.3560483
sugarbeet,0.0,0.0
sugarcane,43219.3125,74393.04
sweetpotato,78.3509292602539,141.87779
tangetc,310.43646240234375,501.71988
tea,268.2563781738281,367.38852
tobacco,647.126220703125,987.8462
tomato,357.48846435546875,582.65125
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,936.6160888671875,1543.788
vegfor,1213.730712890625,1870.8413
watermelon,1098.1474609375,1790.8872
wheat,22.252649307250977,24.919226
yam,3784.908447265625,5864.6196
yautia,2905.12255859375,4700.3965
