Crop,clipped_PA_surf,total_surf
aniseetc,0.449156254529953,0.8579842
apple,0.42586809396743774,0.8134277
avocado,14.877739906311035,34.139248
bambara,0.011695846915245056,0.011695847
banana,38635.2109375,129656.25
barley,1.667493224143982,5.817144
bean,107733.390625,401733.56
berrynes,0.4154541790485382,0.7935029
broadbean,19.07141876220703,44.04546
cabbagefor,0.0,0.0
cabbage,119.26238250732422,225.99731
carrotfor,0.0,0.0
carrot,12.518468856811523,23.182775
cashew,30.62720489501953,68.82068
cassava,244834.421875,1215800.4
castor,941.2835083007812,2868.4448
cauliflower,0.04257705807685852,0.12414653
cerealnes,5.5834574699401855,13.036772
chickpea,3712.75927734375,8378.998
chilleetc,2.1972079277038574,4.1176076
citrusnes,50.37925720214844,94.32634
clove,6.962737560272217,14.69386
cocoa,21168.638671875,70380.3
coconut,0.0,0.0
coffee,122257.8046875,520470.62
cotton,23864.482421875,93653.45
cowpea,8545.5185546875,37396.95
cucumberetc,2.3741888999938965,5.496681
date,11.952756881713867,27.209808
eggplant,4.097886562347412,9.471439
fornes,49.406009674072266,115.971436
fruitnes,2480.79248046875,7494.613
garlic,1.0418864488601685,2.1314147
ginger,12.925544738769531,43.795338
grapefruitetc,6.851932525634766,14.03864
grape,0.7663903832435608,1.8005338
greenbean,19.142314910888672,35.66162
greenbroadbean,0.03698129206895828,0.072467044
greencorn,2.1242446899414062,4.9606295
greenpea,21.43092155456543,39.788742
groundnut,97722.03125,330044.78
jutelikefiber,2.6249003410339355,12.422445
legumenes,0.0,0.0
lemonlime,2.004930257797241,5.018952
lentil,7.856671333312988,14.541853
lettuce,0.29446184635162354,1.0344012
linseed,2.2846591472625732,4.2281094
maizefor,0.0,0.0
maize,286829.0,969643.75
mango,60.90249252319336,129.12527
melonetc,0.33161747455596924,0.7934159
melonseed,27.23369026184082,127.69558
millet,42764.1796875,149304.66
nutmeg,0.9352759122848511,2.202644
nutnes,9.315170288085938,18.142958
oats,10.328462600708008,19.117699
oilpalm,110.0438461303711,3166.4531
oilseedfor,0.0,0.0
oilseednes,10795.80078125,20220.299
okra,2.2511918544769287,4.166136
onion,24000.22265625,76614.84
orange,18.732986450195312,47.121487
papaya,24.527843475341797,58.09626
peachetc,0.020908545702695847,0.054306023
pear,1.9945671558380127,3.6909254
pea,8329.78515625,26108.498
pepper,589.2943115234375,1827.4541
pigeonpea,2352.947021484375,44394.215
pimento,1303.8311767578125,4023.309
pineapple,96.9006576538086,241.96541
plantain,560214.125,1719420.6
plum,2.0361688137054443,3.7679625
popcorn,0.0,0.0
potato,21634.03515625,47671.54
pulsenes,243.87677001953125,488.0468
pumpkinetc,227.13580322265625,318.5833
pyrethrum,52.403228759765625,90.61888
rice,15812.7041015625,64422.18
rootnes,10.83407974243164,27.554203
rubber,10.022717475891113,47.16381
safflower,3.9904255867004395,9.317558
sesame,45569.7109375,194510.62
sisal,0.35084110498428345,1.0658861
sorghumfor,0.0,0.0
sorghum,94308.765625,301406.5
soybean,5225.7373046875,51520.742
spicenes,5.802750110626221,10.420344
spinach,5.050384521484375,9.3551445
strawberry,0.04046744480729103,0.10796038
sugarcane,15794.43359375,79365.72
sunflower,65444.6640625,272141.66
sweetpotato,93682.4765625,363339.06
tangetc,0.03516733646392822,0.05307311
taro,78.00241088867188,112.72144
tea,8338.27734375,28582.61
tobacco,5802.59228515625,22050.713
tomato,1859.8209228515625,5539.648
tropicalnes,25.757272720336914,48.076366
turnipfor,0.0,0.0
vanilla,109.68292236328125,340.6585
vegetablenes,14485.89453125,47125.83
vegfor,41455.8125,146850.7
watermelon,2.8678836822509766,6.202116
wheat,6476.80908203125,15875.131
yam,35.51906967163086,98.9031
