Crop,clipped_PA_surf,total_surf
alfalfa,641.5443725585938,816.2781
almond,25.525964736938477,34.317112
banana,2.0403969287872314,2.0915277
barley,3.1481471061706543,4.583541
cabbagefor,0.0,0.0
cabbage,319.8315124511719,404.49298
carrotfor,0.0,0.0
carrot,14.827075958251953,17.592417
cauliflower,277.4410095214844,370.56464
cerealnes,20.25150489807129,20.251505
chilleetc,77.50691986083984,99.22734
citrusnes,177.88938903808594,233.78445
cucumberetc,347.4171447753906,472.67102
date,12756.07421875,19590.29
eggplant,349.4146728515625,474.5139
fig,48.7099723815918,65.25752
fruitnes,148.23965454101562,189.57945
grape,10.719318389892578,13.584636
grassnes,787.3602905273438,1020.8595
greenbean,69.71176147460938,92.991295
greenonion,615.3740234375,809.14734
legumenes,0.0,0.0
lemonlime,199.20751953125,244.59204
lettuce,16.033260345458984,20.17824
maizefor,0.0,0.0
maize,348.08648681640625,481.3562
mango,183.098876953125,227.45985
melonetc,142.2012176513672,163.9364
onion,17.384490966796875,17.384491
papaya,2.6451785564422607,2.6451786
popcorn,0.0,0.0
potato,131.585205078125,158.6235
pumpkinetc,462.78704833984375,597.63873
sorghumfor,0.0,0.0
sorghum,361.1763000488281,882.1682
spinach,100.6219711303711,122.02159
sugarcane,0.1853673756122589,0.20871007
tobacco,17.362497329711914,19.439985
tomato,525.3572998046875,660.58716
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,675.4096069335938,861.22644
vegfor,503.49444580078125,676.5537
watermelon,73.79927825927734,88.710724
wheat,0.686103105545044,0.6861031
