Crop,clipped_PA_surf,total_surf
alfalfa,68563.7421875,748803.2
aniseetc,604.6585693359375,13053.486
apple,1061.21044921875,15072.177
apricot,7.7131428718566895,101.861374
asparagus,214.6011505126953,1966.0388
barley,219694.34375,2845901.0
bean,7737.44873046875,183525.77
beetfor,0.0,0.0
blueberry,3963.350830078125,39808.902
broadbean,402.47650146484375,4504.553
buckwheat,272.33465576171875,9390.373
cabbagefor,0.0,0.0
cabbage,382.61492919921875,5495.8916
canaryseed,1948.8175048828125,108374.555
carrotfor,0.0,0.0
carrot,474.188720703125,7485.2363
cauliflower,282.164306640625,5642.2363
cherry,232.14669799804688,2040.3549
chickpea,4453.8134765625,118236.81
chilleetc,225.633056640625,2179.081
cranberry,1330.6121826171875,6826.4775
cucumberetc,232.9287872314453,2274.2444
eggplant,16.104902267456055,213.38542
fibrenes,2154.799072265625,24206.4
garlic,52.72725296020508,556.6572
grape,3233.3857421875,11958.521
greenbean,523.1339111328125,7622.9873
greencorn,821.13720703125,15969.435
greenpea,668.8516845703125,11480.868
hemp,270.0014343261719,14605.091
hop,9.614068984985352,42.892265
legumenes,0.0,0.0
lentil,56839.55859375,1713365.4
lettuce,98.23237609863281,3208.4546
linseed,8040.72119140625,365126.9
maizefor,5217.5439453125,119104.85
maize,63327.39453125,1444947.8
melonetc,30.1973934173584,404.07544
millet,81.77882385253906,4210.3384
mixedgrain,3762.286865234375,96232.805
mixedgrass,70526.890625,765229.44
mustard,2734.31591796875,101709.48
nutnes,6.205506801605225,42.567883
oats,42988.08984375,1317929.2
oilseedfor,0.0,0.0
oilseednes,5413.50537109375,59006.406
onion,360.9614562988281,5477.433
peachetc,290.6325988769531,2428.813
pear,77.35853576660156,715.2408
pea,72344.46875,1679606.0
plum,58.513484954833984,499.3583
popcorn,0.0,0.0
potato,10436.84375,143315.84
pumpkinetc,436.1692810058594,6055.775
quinoa,3.443077802658081,1261.528
rapeseed,374251.46875,8206518.0
rasberry,130.24803161621094,1697.5
rice,0.0,0.17007181
ryefor,14.909662246704102,365.13522
rye,5186.71240234375,148873.94
safflower,218.13803100585938,2429.5857
sorghumfor,17.802215576171875,75.63123
sorghum,371.7335205078125,3099.557
sourcherry,87.00968933105469,701.8996
soybean,65249.20703125,2042822.9
spinach,38.05466079711914,446.66098
strawberry,180.928955078125,2938.6152
stringbean,4.014548301696777,7.110877
sugarbeet,866.6406860351562,15389.628
sunflower,1140.3621826171875,44871.973
tangetc,1.241215467453003,10.325022
tobacco,1.210096001625061,9442.86
tomato,603.0083618164062,6050.214
triticale,1759.2254638671875,18802.775
turnipfor,0.0,10.705149
vegetablenes,466.493896484375,4696.602
vegfor,550.5001220703125,6442.44
vetch,103.08991241455078,1387.2716
watermelon,85.2905502319336,656.9637
wheat,509399.75,9985152.0
