Crop,clipped_PA_surf,total_surf
abaca,14.783415794372559,17.236065
agave,10441.623046875,17771.07
alfalfa,6.145037651062012,7.352265
apple,404.2579650878906,583.5713
artichoke,0.14566171169281006,0.14566171
asparagus,418.9557189941406,917.2907
avocado,35260.484375,74652.06
banana,51341.40234375,95697.19
barley,2426.476318359375,3020.7063
bean,58107.95703125,92852.53
beetfor,0.0,0.0
berrynes,1.9090545177459717,2.2447076
brazil,0.4947282075881958,0.56143284
broadbean,781.998291015625,1206.3685
buckwheat,0.0,0.0
cabbagefor,0.0,0.0
cabbage,1310.991455078125,2276.8616
carrotfor,0.0,0.0
carrot,5433.7158203125,8844.235
cashewapple,0.0,0.0
cashew,515.3772583007812,2324.3196
cassava,54535.65625,108112.05
castor,1.876384973526001,2.298118
cauliflower,1502.739990234375,2896.3503
cerealnes,57.721778869628906,180.86697
chestnut,0.0,0.0
chickpea,53.685997009277344,76.87555
chilleetc,3548.123046875,9978.641
citrusnes,12896.8828125,16177.514
cocoa,88972.9921875,183768.38
coconut,13947.353515625,22213.756
coffee,569388.375,843067.5
cotton,4905.9111328125,9492.087
cucumberetc,1582.2169189453125,3099.5938
date,3.7507071495056152,6.0542216
eggplant,285.822021484375,796.8639
fig,47.308189392089844,101.32768
fruitnes,34978.0859375,62194.66
garlic,433.3721008300781,775.4497
grapefruitetc,15.583279609680176,21.982786
grape,2612.703125,4006.2205
greenbean,3201.215087890625,5598.584
greenbroadbean,57.12150955200195,57.81472
greencorn,47.60314178466797,48.04037
greenonion,5689.6865234375,11194.975
greenpea,13490.6171875,23821.576
groundnut,799.5291137695312,2683.9424
legumenes,0.0,0.0
lemonlime,11826.1767578125,22611.523
lentil,3801.134765625,4257.9473
lettuce,4800.36474609375,7998.006
linseed,0.0921270102262497,0.09212701
lupin,2.818739175796509,3.3515325
maizefor,0.0,0.0
maize,162205.78125,337738.4
mango,15043.9765625,33241.168
melonetc,2671.883544921875,7230.022
nutnes,0.03619647026062012,15.64611
oats,1646.6416015625,2448.4265
oilpalm,205628.984375,551230.3
olive,0.9972076416015625,1.1358957
onion,14973.263671875,25551.121
orange,10590.728515625,20384.324
papaya,2938.62744140625,7290.9077
peachetc,1062.4014892578125,2515.7432
pear,1266.360595703125,1795.9563
pea,17051.240234375,29418.973
pepper,1.018259048461914,1.1942261
pigeonpea,184.06027221679688,543.35785
pimento,1710.4822998046875,3401.0015
pineapple,12743.5849609375,22662.2
plantain,144637.703125,290606.56
plum,750.3213500976562,1205.0854
popcorn,0.0,0.0
potato,91927.8828125,124847.13
pulsenes,0.26283353567123413,0.30170995
pumpkinetc,7147.2958984375,16711.656
pyrethrum,0.0792894959449768,0.079289496
quince,0.031057659536600113,0.03105766
quinoa,542.1739501953125,762.26794
rapeseed,2.5844850540161133,5.046639
rice,228506.109375,510486.28
rootnes,7597.455078125,13505.272
rubber,3130.751220703125,3928.964
sesame,1366.84130859375,4384.1973
sisal,1.9483201503753662,4.261261
sorghumfor,0.0,0.0
sorghum,670.3355712890625,1604.9298
soybean,21667.53515625,45349.582
spicenes,1267.49951171875,1616.2212
spinach,883.7116088867188,1492.1433
strawberry,1061.094970703125,1851.0233
stringbean,0.5536532998085022,0.7418794
sugarbeet,916.661376953125,1218.8147
sugarcane,268719.40625,370718.84
sunflower,0.8192189931869507,1.7124776
sweetpotato,1.3387434482574463,2.2495484
tangetc,9586.39453125,17281.701
tea,59.974021911621094,64.134346
tobacco,2501.73779296875,3898.6904
tomato,4851.3779296875,9143.211
tropicalnes,32788.33203125,58528.473
turnipfor,0.0,0.0
vegetablenes,1949.6827392578125,3466.1536
vegfor,9959.7587890625,16934.53
watermelon,7083.5712890625,12596.717
wheat,1563.9219970703125,2785.3164
yam,18797.244140625,34740.184
yautia,5.83073616027832,13.263166
