Crop,clipped_PA_surf,total_surf
abaca,554.08154296875,1079.6655
agave,5.270635604858398,6.234153
avocado,1801.8223876953125,3556.7139
banana,32009.72265625,48878.25
bean,6987.36962890625,10372.793
berrynes,26.90995979309082,54.49483
cabbagefor,0.0,0.0
cabbage,259.01593017578125,505.73407
carrotfor,0.0,0.0
carrot,349.9967041015625,350.1047
cassava,6050.599609375,9845.069
chilleetc,82.99308776855469,83.02626
cocoa,5767.048828125,7172.317
coconut,1721.551025390625,1965.3768
coffee,55750.67578125,66733.3
cotton,466.2083435058594,797.2986
cucumberetc,83.14077758789062,83.21886
fruitnes,30440.810546875,53275.227
ginger,145.24024963378906,280.02673
grapefruitetc,1290.932861328125,2529.646
groundnut,196.19984436035156,257.9299
legumenes,0.0,0.0
lemonlime,732.8179321289062,1441.8223
lettuce,87.52107238769531,87.587
maizefor,0.0,0.0
maize,5641.1240234375,8261.515
mango,2594.640380859375,5068.4673
melonetc,1510.829345703125,2953.8604
nutnes,123.44816589355469,210.65901
oilpalm,39163.765625,66621.055
onion,1463.31103515625,1711.723
orange,5878.40625,10058.555
papaya,447.94384765625,874.21967
pepper,122.65420532226562,240.7446
pigeonpea,15.13941478729248,17.12976
pineapple,18527.798828125,34748.793
plantain,8376.5830078125,9986.268
popcorn,0.0,0.0
potato,2726.365234375,2766.5554
pulsenes,2.052004814147949,2.9392028
rice,21158.62890625,39406.22
rootnes,659.4428100585938,1264.5739
sesame,140.31378173828125,266.10712
sorghumfor,0.0,0.0
sorghum,25.552764892578125,29.563896
soybean,2.3538365364074707,2.619875
strawberry,76.42068481445312,151.26399
sugarcane,22599.111328125,56071.32
sweetpotato,120.46940612792969,219.78043
tea,0.9081220626831055,0.90812206
tobacco,18.67327308654785,19.530842
tomato,539.0596923828125,1023.20013
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1280.9971923828125,2509.8176
vegfor,1766.102783203125,3221.9849
watermelon,1002.462158203125,1958.7288
yam,753.8001708984375,1021.6161
yautia,284.4043884277344,284.52722
