Crop,clipped_PA_surf,total_surf
alfalfa,1043.7493896484375,3937.637
almond,9389.4228515625,34788.414
aniseetc,64.67301940917969,90.36435
apple,8570.521484375,32202.227
apricot,7690.25244140625,29185.252
artichoke,1520.5927734375,5702.3647
asparagus,0.078509621322155,0.07850962
avocado,2.7410097122192383,3.1206226
banana,3.5967421531677246,10.074347
barley,231612.328125,985488.75
bean,456.58203125,1932.0446
beetfor,47.77167892456055,180.32335
berrynes,0.16006243228912354,0.16006243
broadbean,10651.6845703125,40165.895
cabbagefor,0.0,0.0
cabbage,1062.61279296875,3980.1335
carob,206.9141845703125,758.2467
carrotfor,0.0,0.0
carrot,3337.00830078125,16637.59
castor,0.15254804491996765,0.15254804
cauliflower,2243.6201171875,8467.524
cerealnes,104.68964385986328,152.23743
cherry,1237.0008544921875,3872.9512
chickpea,10989.640625,35898.305
chilleetc,5767.9208984375,21786.047
citrusnes,271.47418212890625,400.80573
clover,724.4177856445312,2732.9626
cotton,72.72196960449219,297.95062
cucumberetc,1169.234130859375,4380.154
date,22969.4609375,114239.484
eggplant,1583.269775390625,5976.671
fig,8433.8671875,37078.72
fornes,20160.990234375,84385.54
fruitnes,3366.916748046875,12561.422
garlic,3050.507568359375,11498.748
grapefruitetc,31.14003562927246,88.81386
grape,13942.8095703125,66172.74
greenbean,3266.8359375,12300.225
greenbroadbean,5411.0625,20436.512
greenonion,40.8114128112793,60.05629
greenpea,10071.6953125,37998.45
groundnut,715.8416137695312,4467.2007
legumenes,0.0,0.0
lemonlime,1068.7314453125,3960.2688
lentil,1741.7734375,13946.313
lettuce,8.066544532775879,11.720437
linseed,5.431055545806885,8.16156
lupin,36.14590072631836,41.054737
maizefor,926.0070190429688,3493.4536
maize,208.82455444335938,489.5022
melonetc,28.10425567626953,37.355206
millet,0.3424144387245178,0.50047714
mixedgrass,246.36480712890625,395.9653
oats,13743.962890625,60488.75
oilseedfor,0.0,0.0
oilseednes,0.12617842853069305,0.12617843
olive,94399.734375,424808.16
onion,11326.060546875,47866.406
orange,14636.5390625,44935.81
peachetc,4450.6728515625,16574.152
pear,5197.6572265625,19618.22
pea,2523.247314453125,9446.408
peppermint,1.7498878240585327,1.9437647
pimento,963.1097412109375,3609.6355
pistachio,6.312467098236084,135.60413
plum,3322.86572265625,12450.506
popcorn,0.0,0.0
potato,40293.42578125,143284.23
pulsenes,131.71713256835938,222.78497
pumpkinetc,3973.332275390625,14992.929
quince,419.2607727050781,1574.222
rapeseed,2652.15625,11731.618
rice,47.13051223754883,169.9404
ryefor,13508.126953125,55364.4
rye,2.0806446075439453,2.3340123
sesame,0.9058218002319336,0.9918801
sisal,2.373615026473999,2.6670616
sorghumfor,0.0,0.0
sorghum,10.19021224975586,76.02477
soybean,0.31510478258132935,0.33370924
spicenes,12.993541717529297,18.157007
spinach,2.8788397312164307,4.316517
stonefruitnes,601.7713623046875,2223.1968
strawberry,3.112428665161133,4.0097437
stringbean,4.461996078491211,4.932843
sugarbeet,29.20874786376953,48.228107
sugarcane,3.815342903137207,3.9452126
sunflower,49.50774383544922,218.0636
sweetpotato,0.18129907548427582,0.1920801
tangetc,3845.419921875,14219.227
tobacco,985.7382202148438,5194.3955
tomato,8225.814453125,26531.254
triticale,97.44572448730469,254.1224
tropicalnes,39.95170974731445,59.438404
turnipfor,0.0,0.0
vegetablenes,7089.4501953125,27052.22
vegfor,14604.7431640625,58372.797
vetch,81.22857666015625,205.37473
walnut,4.243502616882324,4.7356286
watermelon,16608.798828125,57564.645
wheat,448726.9375,1849165.6
