Crop,clipped_PA_surf,total_surf
avocado,0.11607518792152405,0.5724456
bambara,94.26255798339844,202.58342
banana,17882.54296875,43540.676
bean,30.90081024169922,69.71586
beetfor,0.0,0.0
broadbean,9.622485160827637,19.284582
cashew,4245.0625,11525.418
cassava,136516.1875,279729.62
cerealnes,93.09198760986328,187.4891
chilleetc,10.246971130371094,17.075346
citrusnes,21443.880859375,43160.863
cocoa,9313.7314453125,33492.242
coconut,2299.172607421875,14031.248
coffee,35728.0546875,90244.78
cotton,19237.26953125,44607.594
cowpea,35.882572174072266,380.6211
eggplant,119.33283233642578,127.25616
fonio,288963.53125,558961.06
fruitnes,124.64830017089844,358.51685
greencorn,59170.3984375,124470.77
greenonion,37.84474563598633,38.91267
groundnut,418015.0,966891.06
jutelikefiber,0.8641569018363953,1.3765388
karite,36.71800231933594,79.12088
kolanut,358.9459533691406,857.2193
legumenes,0.0,0.0
lemonlime,1.7060716152191162,5.1265817
maizefor,0.0,0.0
maize,321554.40625,657066.56
mango,43629.90234375,87231.45
melonetc,1094.5645751953125,1562.8083
melonseed,2.5871787071228027,4.5925436
millet,70925.0234375,174044.72
nutnes,7.686244964599609,32.776367
oilpalm,111953.40625,318043.03
oilseedfor,0.0,0.0
oilseednes,0.9610509276390076,3.9738805
onion,2.0720396041870117,3.957529
orange,349.18701171875,378.97473
papaya,46.887569427490234,48.415382
pea,22.951282501220703,45.850063
pepper,0.0,0.17256218
pimento,16.281631469726562,45.33152
pineapple,15049.3359375,29828.947
plantain,38226.171875,93320.69
popcorn,0.0,0.0
potato,5616.63623046875,12097.011
pulsenes,31591.7578125,61176.594
rice,935384.875,1991437.2
rootnes,35.919376373291016,168.21915
rubber,5276.3291015625,11595.049
sesame,3216.412109375,8213.06
sisal,955.5987548828125,1977.0984
sorghumfor,0.0,0.0
sorghum,21799.43359375,46967.535
soybean,28.377092361450195,127.28943
spicenes,3.9025046825408936,9.644282
sugarbeet,0.3041560649871826,0.7174079
sugarcane,2565.73583984375,6467.824
sweetpotato,26803.1328125,57162.04
taro,12787.658203125,24584.656
tea,0.0,0.055154815
tobacco,1026.2850341796875,1964.8138
tomato,32.40370559692383,79.79109
tropicalnes,4223.806640625,8356.377
vegetablenes,12654.193359375,27247.682
vegfor,30175.609375,73707.21
wheat,9.850183486938477,13.428595
yam,9101.623046875,20436.87
