Crop,clipped_PA_surf,total_surf
banana,0.0,18.100712
cashew,940.3916015625,1702.0504
cassava,2666.21728515625,4554.2827
cerealnes,1506.0721435546875,2719.0728
coconut,2.9423110485076904,12.2640705
cotton,616.0643310546875,2057.5234
cowpea,368.3846435546875,576.79803
fruitnes,1717.037353515625,2590.6667
greenbean,10.275492668151855,18.55692
groundnut,63192.66015625,139479.38
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,17492.375,46339.914
mango,263.8511047363281,437.6853
melonseed,81.14083099365234,146.73811
millet,59195.5546875,120266.27
nutnes,19.837169647216797,35.88794
oilpalm,1677.892333984375,4020.3896
onion,78.79402160644531,142.17795
orange,32.24727249145508,54.90666
pimento,38.79171371459961,70.211655
popcorn,0.0,0.0
potato,1.7486355304718018,3.0895438
pulsenes,5080.291015625,11377.7295
rice,37516.77734375,87867.97
sesame,1441.32763671875,2566.4634
sorghumfor,0.0,0.0
sorghum,4568.2119140625,39782.188
sugarcane,17.14070701599121,31.359058
sweetpotato,11.123847961425781,12.979838
tomato,5.98946475982666,10.768258
tropicalnes,9.490998268127441,16.053648
vegetablenes,792.4058837890625,1377.0109
vegfor,1087.194091796875,2659.9663
