Crop,clipped_PA_surf,total_surf
alfalfa,284.880126953125,537.89746
almond,10946.6875,23963.527
aniseetc,220.29693603515625,458.01944
apple,6661.529296875,13959.976
apricot,5462.3916015625,11284.257
artichoke,509.6444396972656,1055.9015
asparagus,949.4450073242188,1993.7655
avocado,494.8835754394531,1029.5718
banana,47.750465393066406,98.60785
barley,60594.8203125,133023.84
bean,4215.61083984375,9041.051
beetfor,2.9618048667907715,5.1186776
berrynes,19.6807804107666,43.269905
broadbean,968.7205200195312,2433.5789
cabbagefor,0.0,0.0
cabbage,1433.7093505859375,2981.88
carob,5022.5595703125,10477.109
carrotfor,0.0,0.0
carrot,460.6873779296875,952.2926
cauliflower,1282.9295654296875,2659.6294
cerealnes,42.78448486328125,71.326256
cherry,9149.0,18978.66
chestnut,4730.40625,9805.636
chickpea,1056.25,2504.8843
chilleetc,1608.032470703125,3315.7852
citrusnes,411.8357238769531,851.3733
clover,7.480185031890869,10.602116
cotton,93299.5625,250185.4
cowpea,7.183114528656006,11.335385
cucumberetc,924.4502563476562,1911.1614
currant,16.400245666503906,28.798704
date,0.3618312180042267,1.2540262
eggplant,744.7940063476562,1542.1338
fig,2191.75341796875,4599.923
flax,78.1228256225586,162.46469
fruitnes,1999.015869140625,4169.9805
garlic,466.6463928222656,962.44586
grapefruitetc,79.65972900390625,165.80846
grape,44085.234375,95085.19
grassnes,24770.095703125,53860.71
greenbean,1904.8839111328125,3937.0354
greenbroadbean,504.99627685546875,1043.8036
greencorn,17805.52734375,40067.15
greenonion,474.47705078125,981.21136
greenpea,638.3400268554688,1318.4137
groundnut,175.11508178710938,719.9469
hazelnut,386.37091064453125,883.5746
hempseed,0.0,0.024628358
hemp,0.0,0.0
hop,5.525368690490723,7.3591595
kiwi,4920.9912109375,10158.847
legumenes,24517.544921875,53387.85
lemonlime,2000.1251220703125,4195.7783
lentil,1372.328369140625,3211.3828
lettuce,1790.6473388671875,3702.9502
linseed,11.477500915527344,27.025867
lupin,3374.80712890625,12824.877
maizefor,2907.916015625,5968.906
maize,51021.328125,108029.19
melonetc,1731.5244140625,3607.688
melonseed,687.3587646484375,1419.8539
millet,18.893138885498047,40.169254
mixedgrain,543.4892578125,1124.4346
mustard,1.82145357131958,3.0497656
nutnes,1059.30810546875,1406.6794
oats,12545.681640625,38929.688
oilseedfor,0.0,0.0
oilseednes,173.6025848388672,289.41046
okra,0.8339723944664001,2.7715278
olive,330104.3125,728328.9
onion,2329.28759765625,4829.492
orange,13773.134765625,30075.506
peachetc,20022.24609375,43832.15
pear,2624.0927734375,5454.111
pea,4560.564453125,12378.986
pimento,29.431968688964844,63.531303
pistachio,2313.47802734375,4851.21
plum,948.98876953125,1878.0032
popcorn,0.0,0.0
poppy,4.702521324157715,15.351983
potato,8217.2470703125,10766.37
pulsenes,38228.2109375,78319.88
pumpkinetc,1132.354736328125,2364.8193
quince,364.9181213378906,752.796
rapeseed,2296.048095703125,5814.556
rasberry,0.6203487515449524,1.0289304
rice,9382.2197265625,36535.527
ryefor,0.0,0.0
rye,3223.41162109375,4859.001
sesame,61.868812561035156,133.26675
sorghumfor,297.46380615234375,614.8269
sorghum,710.599609375,1689.074
sourcherry,74.131103515625,150.20227
soybean,163.7817840576172,335.22266
spicenes,11.473791122436523,25.617538
spinach,3108.203125,6418.67
stonefruitnes,408.42340087890625,843.5468
strawberry,742.417724609375,1530.8433
stringbean,1.0211567878723145,3.2931585
sugarbeet,898.1361083984375,1409.0938
sunflower,29855.23828125,97269.26
sweetpotato,78.28986358642578,155.2763
tangetc,4570.74609375,9465.396
tea,0.0,3.929241
tobacco,5852.5322265625,12285.674
tomato,7395.505859375,16181.713
triticale,638.4401245117188,638.4401
tropicalnes,0.8904048204421997,3.0536494
turnipfor,0.0,0.0
vegetablenes,1462.10791015625,2980.3525
vegfor,550.453857421875,1150.7545
vetch,2324.396484375,4762.95
walnut,9261.5595703125,19449.947
watermelon,4196.74072265625,8860.787
wheat,152491.6875,355420.28
