Crop,clipped_PA_surf,total_surf
alfalfa,704.625244140625,4732.9424
almond,326.853271484375,836.32837
aniseetc,11.37506103515625,14.767505
apple,1897.3834228515625,4688.179
apricot,151.0723419189453,350.26657
asparagus,48.90989303588867,102.78926
barley,18227.6484375,67595.13
bean,522.9411010742188,1610.6852
beetfor,2328.875,5926.9434
berrynes,674.71435546875,1560.376
broadbean,53.382896423339844,1028.8074
buckwheat,26.2799129486084,48.161453
cabbagefor,0.0,0.0
cabbage,776.711669921875,1954.8782
canaryseed,55.18909454345703,71.63474
carob,210.3050537109375,538.1854
carrotfor,8.597434043884277,13.2304125
carrot,176.0347442626953,404.0321
cauliflower,52.22869873046875,138.30325
cherry,415.0907287597656,1018.1786
chestnut,59.94458770751953,152.97758
chickpea,14.970247268676758,45.247204
chicory,52.124000549316406,133.47296
chilleetc,368.2535400390625,893.95044
clover,8631.8134765625,24206.6
cowpea,47.625694274902344,93.69194
cucumberetc,271.9981994628906,736.2833
currant,5.064548015594482,7.119673
fig,268.59002685546875,676.7322
fruitnes,13.11478042602539,18.454475
garlic,168.7139892578125,388.31366
gooseberry,8.768651962280273,11.384584
grape,1959.8336181640625,19540.102
grassnes,679.2909545898438,1031.2655
greenbean,440.3288879394531,1124.989
greencorn,691.7294921875,4668.0137
greenonion,1.1924530267715454,1.5241044
greenpea,371.18060302734375,823.28253
hazelnut,2391.1357421875,6401.978
hempseed,2.481294631958008,3.3811772
hemp,1.697789192199707,2.3597226
hop,117.53072357177734,164.42517
legumenes,489.85223388671875,683.9596
lentil,7.8820953369140625,31.722351
lettuce,216.80148315429688,470.36874
linseed,0.3508177101612091,1.3105112
lupin,0.5053231716156006,1.1469618
maizefor,5122.265625,13039.17
maize,88461.78125,295528.53
melonetc,40.12739944458008,86.76834
millet,72.162841796875,200.11452
mixedgrain,929.9566040039062,2680.1797
mixedgrass,262.6334228515625,427.58215
oats,3541.382080078125,11376.614
oilseedfor,0.0,0.0
oilseednes,568.7659301757812,5496.541
olive,8610.6796875,16785.81
onion,374.7818908691406,879.44183
orange,44.97443389892578,97.84725
peachetc,347.750244140625,859.7821
pear,332.0904541015625,815.90643
pea,99.88838958740234,861.1884
pimento,74.81648254394531,143.34999
plum,1695.1627197265625,4528.2896
popcorn,0.0,0.0
poppy,34.57143783569336,73.62067
potato,2662.89208984375,9646.032
pulsenes,55.67186737060547,241.41084
pumpkinetc,119.10624694824219,253.887
quince,40.815555572509766,100.08566
rapeseed,11943.5888671875,46123.086
rasberry,92.92235565185547,209.92531
rice,0.0,0.104158804
ryefor,0.0,0.0
rye,578.8915405273438,993.851
safflower,1.6750136613845825,2.1544418
sorghumfor,0.0,0.0
sorghum,207.1227569580078,521.45306
sourcherry,922.4905395507812,2278.7888
soybean,24420.322265625,79303.08
spicenes,2.0944557189941406,2.7039642
spinach,2.4170217514038086,3.2547688
strawberry,155.10281372070312,370.20847
sugarbeet,4094.23779296875,11343.723
sunflower,14185.26953125,42832.508
tangetc,825.0990600585938,2105.7903
tea,0.0,0.0
tobacco,987.6234741210938,3628.7117
tomato,255.76132202148438,606.9979
triticale,2484.330810546875,6853.1455
tropicalnes,0.0,0.0
turnipfor,63.924705505371094,94.25118
vegetablenes,1245.822265625,3196.06
vegfor,401.831787109375,1240.0884
vetch,281.9837341308594,710.44244
walnut,2634.22705078125,6707.951
watermelon,271.9276428222656,658.8037
wheat,39019.1171875,161874.11
