Crop,clipped_PA_surf,total_surf
alfalfa,56020.078125,165484.97
almond,16143.6142578125,52841.37
apple,16858.021484375,54663.496
apricot,5544.68359375,17587.602
artichoke,11799.5888671875,38069.965
asparagus,2348.000244140625,7378.492
banana,7.832283020019531,12.947071
barley,91788.4921875,263269.56
bean,2327.83935546875,6385.1704
beetfor,83.41390991210938,241.89336
berrynes,45.11716842651367,76.24398
blueberry,352.9092712402344,1099.4666
broadbean,17147.751953125,66735.016
buckwheat,5.814535617828369,6.800018
cabbagefor,1.390010118484497,1.4469457
cabbage,6701.287109375,21319.764
carob,3781.486572265625,12004.799
carrotfor,2.8136372566223145,3.3499608
carrot,3377.690185546875,10713.977
cauliflower,4888.9140625,15583.817
cerealnes,10997.9375,33663.188
cherry,8994.4404296875,28688.254
chestnut,11223.986328125,35700.27
chickpea,2183.782958984375,6000.951
chicory,0.03998488932847977,0.03998489
chilleetc,3155.968994140625,10019.753
citrusnes,490.8074035644531,1562.3574
clover,4365.3095703125,13743.546
cucumberetc,657.755859375,2089.1294
currant,51.71269226074219,158.86597
eggplant,2993.592529296875,9495.792
fig,658.7996215820312,2105.0066
flax,74.57286071777344,521.869
fornes,44343.69921875,139500.64
fruitnes,3358.9970703125,10665.291
garlic,1036.3961181640625,3280.555
gooseberry,0.17705804109573364,0.26234284
grapefruitetc,86.26011657714844,293.47778
grape,214641.390625,671942.0
grassnes,43111.72265625,136527.62
greenbean,5618.77734375,17892.207
greenbroadbean,3310.316162109375,10508.311
greencorn,26032.37890625,91877.914
greenonion,0.20688503980636597,0.4507429
greenpea,5024.28271484375,15929.879
hazelnut,24453.693359375,79272.516
hempseed,0.21198518574237823,0.21198519
hemp,175.1758575439453,585.1376
hop,18.73530387878418,48.419155
kiwi,7713.0634765625,24480.605
legumenes,42233.40625,134417.72
lemonlime,7739.39013671875,24805.895
lentil,745.4575805664062,2042.0297
lettuce,10018.3857421875,32259.154
linseed,840.0765380859375,2664.7349
lupin,54.3742790222168,571.51184
maizefor,40985.4453125,131190.52
maize,161262.953125,572722.4
melonetc,7392.77783203125,23548.047
millet,1.1382794380187988,1.699799
mixedgrain,15.364585876464844,21.259325
mixedgrass,46677.04296875,144939.89
nutnes,1180.3446044921875,3745.0857
oats,39263.50390625,92337.86
oilseedfor,20.347518920898438,31.681717
oilseednes,18.062875747680664,61.81817
olive,343853.0625,1058616.9
onion,4120.89990234375,12923.826
orange,25347.009765625,83773.805
peachetc,17888.470703125,58803.215
pear,8289.2333984375,26706.494
pea,5458.2529296875,20728.469
persimmon,763.6920776367188,2427.5112
pimento,2.4170353412628174,2.8777752
pistachio,1022.7274169921875,3248.694
plum,3714.56103515625,11788.062
popcorn,0.0,0.0
poppy,1.166327953338623,1.6093812
potato,10264.9150390625,45875.855
pulsenes,5599.00146484375,5855.565
pumpkinetc,6443.24462890625,20161.723
quince,9.588608741760254,31.83907
rapeseed,4903.162109375,16868.615
rasberry,101.73050689697266,347.96207
rice,60907.984375,227583.31
ryefor,31.024932861328125,32.463207
rye,758.211181640625,3337.0247
sesame,5.4562177658081055,16.186098
sorghumfor,2017.62451171875,6404.112
sorghum,15747.248046875,52347.44
sourcherry,407.2557373046875,1297.0001
soybean,67115.65625,245314.83
spinach,1924.4031982421875,6107.724
stonefruitnes,137.2969970703125,447.08704
strawberry,1457.6690673828125,4628.1045
stringbean,1.4989969730377197,1.559938
sugarbeet,6132.34130859375,27092.17
sunflower,24512.939453125,122459.34
sweetpotato,138.9947052001953,433.48523
tangetc,10595.1025390625,33930.848
tobacco,4009.1572265625,13117.837
tomato,29840.9296875,99089.4
triticale,1254.930908203125,11080.097
tropicalnes,0.0,0.0
turnipfor,318.05743408203125,985.75085
vegetablenes,30486.21484375,101230.8
vegfor,52306.7734375,158141.17
vetch,1892.71484375,6008.989
walnut,1533.4974365234375,4849.565
watermelon,4211.6923828125,13378.776
wheat,648853.0625,1701837.6
