Crop,clipped_PA_surf,total_surf
aniseetc,209.83792114257812,779.8938
apple,17.898719787597656,59.549187
asparagus,9.377506256103516,36.947678
avocado,7199.2607421875,22695.69
banana,28506.509765625,75060.19
barley,7294.89208984375,11119.152
bean,353971.71875,1157475.5
berrynes,67.82007598876953,217.37172
broadbean,9.793188095092773,25.986542
cabbagefor,0.0,0.0
cabbage,10533.369140625,33357.17
carrotfor,0.0,0.0
carrot,1725.26513671875,5452.1636
cashew,7064.27880859375,21896.605
cassava,15758.248046875,66606.99
castor,4468.7509765625,14095.146
cauliflower,22.75555419921875,90.85813
cerealnes,31.537355422973633,111.47538
chickpea,1009.08349609375,4117.074
chilleetc,166.927734375,584.7508
citrusnes,4325.3251953125,13623.166
clove,664.1700439453125,2086.9553
cocoa,4.002295017242432,22.283056
coconut,43949.875,87253.14
coffee,46912.74609375,123069.34
cotton,3324.568115234375,14326.725
cowpea,44248.5703125,238919.39
cucumberetc,142.27906799316406,453.83575
date,142.13247680664062,464.4863
eggplant,2.1023800373077393,5.5765834
fibrenes,19.684486389160156,83.84769
fornes,20.642871856689453,61.401466
fruitnes,3258.109619140625,10426.216
garlic,77.93494415283203,249.07591
ginger,120.58026885986328,495.56174
grapefruitetc,70.07051086425781,235.65158
grape,1.4005444049835205,3.5796127
greenbean,1317.5308837890625,4192.214
greenbroadbean,0.038508832454681396,0.1837746
greencorn,9.211223602294922,26.775574
greenonion,0.1084655225276947,0.45669597
greenpea,2914.34326171875,9234.176
groundnut,3563.480224609375,16095.992
jutelikefiber,0.08666345477104187,0.31744823
legumenes,0.0,0.0
lemonlime,1145.1971435546875,3627.2544
lentil,107.58529663085938,2005.5277
lettuce,10.512065887451172,40.982094
linseed,242.38893127441406,814.5096
maizefor,0.0,0.0
maize,592008.1875,2207966.0
mango,19815.11328125,62127.656
melonetc,0.3212842345237732,0.7880378
millet,15371.8984375,119571.61
mustard,0.19155573844909668,0.7584622
nutmeg,28.070510864257812,92.713585
nutnes,1251.0072021484375,3957.7927
oats,1267.6600341796875,4008.9368
oilpalm,0.4805380403995514,1.6802509
oilseedfor,0.0,0.0
oilseednes,36638.13671875,116618.984
okra,543.544921875,1716.3949
onion,3462.962158203125,11038.18
orange,4843.79443359375,16064.573
papaya,2498.6298828125,7901.089
peachetc,3.6929469108581543,16.835617
pear,87.1514892578125,309.4635
pea,83.89188385009766,272.12735
pepper,157.3589324951172,544.3187
pigeonpea,21780.572265625,134217.89
pimento,1418.8753662109375,4521.2173
pineapple,3206.6875,10140.44
plantain,1053.193603515625,7791.444
plum,106.74617767333984,401.27136
popcorn,0.0,0.0
potato,110961.4296875,179353.8
pulsenes,62652.43359375,190755.39
pumpkinetc,0.9574069976806641,2.4816678
pyrethrum,917.276123046875,2935.7393
rapeseed,0.0,0.0
rice,5260.11474609375,28821.498
rootnes,791.0615844726562,2640.7544
safflower,22.76380157470703,74.21457
sesame,10110.69921875,32046.336
sisal,7991.439453125,24924.438
sorghumfor,0.0,0.0
sorghum,52279.3984375,222568.84
soybean,126.5425796508789,2477.1597
spicenes,296.275390625,944.5828
spinach,2887.2001953125,9099.497
strawberry,11.7302827835083,55.028713
sugarcane,5479.828125,90790.7
sunflower,1908.9656982421875,5725.6606
sweetpotato,20300.462890625,56489.816
tangetc,111.75819396972656,445.352
tea,90729.703125,268026.78
tobacco,667.7649536132812,15894.444
tomato,11106.4775390625,35121.164
tropicalnes,1257.18359375,3964.1091
turnipfor,0.0,0.0
vanilla,5.109050750732422,22.042265
vegetablenes,15853.8515625,48651.098
vegfor,25306.265625,89811.336
vetch,18.424795150756836,73.61375
watermelon,5093.4775390625,16436.943
wheat,73229.03125,132544.77
yam,278.9554443359375,1046.4056
