Crop,clipped_PA_surf,total_surf
aniseetc,7.315158367156982,30.682964
areca,11.390218734741211,22.349113
asparagus,0.6516710519790649,1.3703268
banana,4178.43798828125,31393.502
barley,0.5779861807823181,1.5313399
bean,8324.2333984375,69573.58
berrynes,14.903366088867188,61.490437
cabbagefor,0.0,0.0
cabbage,47.88914489746094,185.59744
canaryseed,42.62384796142578,82.2169
cashew,446.84326171875,1762.6045
cassava,58227.17578125,264368.56
castor,403.9591369628906,1544.4601
cauliflower,7.702953338623047,32.02117
cerealnes,43.47356033325195,83.78598
chilleetc,6.209967136383057,6.7912245
cinnamon,79.26978302001953,348.22232
citrusnes,3.8869128227233887,7.573127
coconut,2324.479248046875,15318.875
coffee,3461.897705078125,3980.3655
cotton,28.119678497314453,188.36429
cucumberetc,10.939992904663086,22.258177
eggplant,1.0317132472991943,2.569632
fibrenes,15.628684997558594,63.871696
fornes,16.600330352783203,33.21228
fruitnes,3493.4736328125,13299.017
garlic,7.230294227600098,14.920077
ginger,5.675031661987305,11.447376
grapefruitetc,174.42137145996094,775.5313
grape,2.268497943878174,4.451467
greenbean,73.08230590820312,140.23697
greencorn,19.620309829711914,38.967926
greenpea,0.2146802693605423,0.5824211
groundnut,3761.310791015625,18994.26
jutelikefiber,15.975605964660645,31.962204
jute,46.60402297973633,286.83875
kapokfiber,75.17367553710938,150.41803
kapokseed,22.847490310668945,50.848637
legumenes,0.0,0.0
lemonlime,88.08747863769531,321.78516
maizefor,0.0,0.0
maize,24092.181640625,184674.56
mango,1463.5618896484375,5397.4995
melonetc,5.097253322601318,5.175484
millet,15.618146896362305,33.90201
nutmeg,25.57683563232422,26.02142
nutnes,514.2638549804688,1957.5128
oilpalm,2612.880126953125,26653.137
onion,115.47702026367188,478.10956
orange,3130.4462890625,11947.778
papaya,2.8850531578063965,6.040167
pepper,194.4063720703125,817.59186
pimento,2491.03125,9586.378
pineapple,665.021240234375,2428.1084
popcorn,0.0,0.0
potato,9.62213134765625,37.808777
pulsenes,299.2229309082031,1053.9501
pumpkinetc,4.106914520263672,8.7869
ramie,1.821434497833252,1.8546216
rice,499257.90625,3020908.0
rootnes,8597.654296875,11039.694
rubber,74435.8046875,265888.16
sesame,6037.43310546875,36781.594
sorghumfor,0.0,0.0
sorghum,0.445351779460907,5.9256773
soybean,18503.23046875,97284.26
spicenes,0.9613566994667053,1.9498444
stonefruitnes,4.905519962310791,4.9928536
sugarcane,11824.4345703125,84023.39
sunflower,2.0134620666503906,5.2721887
sweetpotato,2539.139404296875,9200.539
tangetc,21.275047302246094,32.381138
taro,5.069603443145752,9.938116
tea,1.0368459224700928,1.2434134
tobacco,910.0074462890625,8117.8584
tomato,4.100949764251709,8.32979
tropicalnes,238.6746826171875,463.80862
vegetablenes,17691.517578125,66816.45
vegfor,29326.24609375,102362.914
watermelon,68.52937316894531,269.0803
wheat,0.013127164915204048,0.122225225
yam,628.7208251953125,3370.8838
