Crop,clipped_PA_surf,total_surf
bean,2639.66357421875,5905.867
cabbagefor,0.0,0.0
cabbage,2494.369873046875,4482.4497
carrotfor,0.0,0.0
carrot,5327.4619140625,9564.329
cashew,8134.09326171875,15671.265
cassava,10517.6123046875,20568.26
chilleetc,8984.390625,17141.438
cinnamon,17561.587890625,34014.14
clove,3269.71533203125,5914.5186
cocoa,1247.93505859375,1856.9275
coconut,193019.84375,492795.25
coffee,3819.883544921875,5953.2847
cowpea,5871.33203125,11372.619
cucumberetc,1637.20703125,2942.6353
eggplant,6016.455078125,10949.979
fruitnes,5867.22314453125,10714.486
ginger,2434.22607421875,4370.9697
greenbean,9670.2998046875,17399.68
groundnut,8589.2626953125,18986.342
legumenes,0.0,0.0
lemonlime,5689.55810546875,10267.084
maizefor,0.0,0.0
maize,37890.7265625,72863.91
mango,15834.537109375,30765.01
millet,75.8647232055664,133.20992
mustard,43.330841064453125,78.31804
nutmeg,1817.47802734375,3271.4312
oilpalm,574.4677124023438,2424.2456
onion,3848.974853515625,6971.9814
orange,3703.28564453125,6652.65
pepper,23481.46875,45673.375
pineapple,2044.089599609375,3675.2205
plantain,25795.396484375,49891.586
popcorn,0.0,0.0
potato,3589.7431640625,3602.9707
pumpkinetc,8076.029296875,14665.119
rapeseed,180.88372802734375,316.1468
rice,512901.8125,1054023.8
rubber,60924.79296875,118789.81
sesame,6283.7744140625,11385.008
sorghumfor,0.0,0.0
sorghum,106.6135482788086,190.29477
soybean,1874.812255859375,3489.4404
spicenes,335.9762878417969,604.1509
sugarcane,5023.21435546875,13640.377
sweetpotato,2345.006103515625,4131.976
tea,228748.984375,261264.69
tobacco,533.8226318359375,1137.0769
tomato,3595.42724609375,6463.1836
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,3233.074462890625,5815.75
vegfor,3657.57666015625,7050.662
yam,16202.2060546875,31721.758
