Crop,clipped_PA_surf,total_surf
aniseetc,0.35229963064193726,2.3770323
apple,2755.90673828125,21116.926
apricot,0.19257742166519165,0.99387133
barley,15212.90625,130456.45
bean,308.96246337890625,2532.3267
beetfor,0.0,0.0
berrynes,4.078586101531982,55.543743
blueberry,138.72994995117188,996.11646
broadbean,256.03173828125,1755.252
buckwheat,1746.709716796875,13449.387
cabbagefor,0.0,0.0
cabbage,559.0868530273438,4310.8555
carrotfor,0.0,0.0
carrot,406.9162292480469,3133.634
cauliflower,37.55710983276367,282.40274
cerealnes,40.995819091796875,771.01074
cherry,2.8852317333221436,16.7807
chickpea,0.5467801690101624,9.021409
cranberry,5.439420700073242,55.162872
cucumberetc,164.82069396972656,1271.9219
currant,14.743446350097656,103.50582
eggplant,33.799102783203125,186.61874
flax,922.66552734375,8142.662
fornes,26.891624450683594,145.2832
fruitnes,464.7403564453125,3581.3267
garlic,40.7446174621582,269.13177
gooseberry,27.988981246948242,213.96437
grape,1.1770188808441162,5.9305553
grassnes,4438.568359375,34036.723
greenbean,0.32658636569976807,1.0373613
greenpea,58.462646484375,329.16605
hazelnut,0.39611080288887024,3.0093453
hemp,0.5920348167419434,2.6911354
hop,0.2316340208053589,0.6459472
jutelikefiber,0.21674109995365143,1.0807555
legumenes,70.4355239868164,203.79669
lentil,0.2549271881580353,2.26784
linseed,561.0653076171875,4153.376
lupin,368.44146728515625,2757.9602
maizefor,1273.630859375,9325.649
maize,2305.447265625,16208.23
millet,8.29415225982666,35.38392
mixedgrain,1605.39697265625,11604.504
mixedgrass,9278.794921875,55180.266
mustard,130.49298095703125,999.5786
nutnes,0.3075355291366577,2.6430454
oats,2306.7587890625,18425.744
oilseedfor,0.0,0.0
oilseednes,15.258601188659668,50.946865
onion,298.3681640625,2285.6125
peachetc,0.037311553955078125,0.42178106
pear,163.02792358398438,1254.0276
pea,4494.40478515625,34550.527
plum,132.15382385253906,1011.3445
popcorn,0.0,0.0
potato,1445.689697265625,10987.788
pulsenes,669.876953125,5097.628
quince,0.4304392337799072,3.5899324
rapeseed,17402.626953125,208968.4
rasberry,6.7299394607543945,23.161503
rice,0.055751457810401917,0.25347638
ryefor,0.0,0.0
rye,3232.859375,28539.748
sorghumfor,0.0,0.0
sorghum,0.03787342086434364,0.22298214
sourcherry,13.85464096069336,73.33087
soybean,60.973350524902344,455.4453
stonefruitnes,0.660683274269104,2.0273547
strawberry,106.08387756347656,789.1748
sugarbeet,1355.098388671875,17143.844
sunflower,1234.317626953125,6570.4497
tobacco,0.3283081650733948,2.9186993
tomato,104.93290710449219,800.50836
triticale,2416.6650390625,17656.945
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,937.0758056640625,7162.649
vegfor,1929.9976806640625,13179.584
vetch,1216.146728515625,9369.17
walnut,2.2032933235168457,15.603075
watermelon,2.1632862091064453,11.033202
wheat,23290.11328125,138265.78
