Crop,clipped_PA_surf,total_surf
abaca,0.0,0.028751902
areca,8.661293983459473,20.348022
asparagus,0.3449251651763916,0.6704722
avocado,15.282808303833008,22.350412
banana,8795.14453125,21865.969
barley,0.6916019320487976,0.91260254
bean,43.4044189453125,44.43243
cabbagefor,0.0,0.0
cabbage,1414.9754638671875,2949.3765
canaryseed,20.443374633789062,38.873886
carrotfor,0.0,0.0
carrot,7.185612678527832,10.700633
cashew,3475.640625,7293.9077
cassava,580.572265625,2647.6636
castor,7.523961544036865,12.370073
cauliflower,0.7273227572441101,1.1494896
cerealnes,20.780223846435547,39.583763
chilleetc,655.3622436523438,940.56024
cinnamon,28.455596923828125,41.8337
citrusnes,381.7080383300781,807.59515
clove,371.5181884765625,718.3336
cocoa,2380.085205078125,6272.1836
coconut,30223.51953125,74773.06
coffee,748.8624877929688,1883.871
cotton,0.7693659663200378,2.4413512
cucumberetc,2222.15771484375,4655.09
eggplant,15.803335189819336,23.03219
fibrenes,0.2066192924976349,0.38283658
fornes,9.178683280944824,16.25245
fruitnes,6510.904296875,13674.735
garlic,8.754547119140625,13.824336
ginger,406.8107604980469,857.0611
grapefruitetc,414.0577087402344,876.23267
grape,1.1528630256652832,2.1487823
greenbean,43.58277893066406,77.18312
greencorn,42.09568405151367,65.18456
greenpea,0.22206547856330872,0.30229166
groundnut,29.53879737854004,109.2947
jutelikefiber,10.752947807312012,18.54941
jute,0.2651192545890808,0.34037367
kapokfiber,137.96255493164062,214.03323
kapokseed,114.25984954833984,166.7832
legumenes,0.0,0.0
lemonlime,902.4536743164062,1896.7253
lettuce,1107.3372802734375,1422.3447
maizefor,0.0,0.0
maize,3341.788330078125,8465.798
mango,3083.683349609375,6447.5444
nutmeg,7.3158721923828125,22.729683
nutnes,37.77095031738281,57.463425
oilpalm,1416676.75,5193456.0
oilseedfor,0.0,0.0
oilseednes,76485.078125,153478.39
onion,33.92436599731445,50.428303
orange,554.6618041992188,1159.7603
papaya,1125.415283203125,2388.1016
pepper,3834.595703125,8119.49
pimento,780.0776977539062,1648.0652
pineapple,3663.32177734375,10290.656
popcorn,0.0,0.0
pulsenes,26.61739730834961,48.913937
pumpkinetc,742.4262084960938,1553.2036
rice,326689.40625,642653.06
rootnes,332.90869140625,715.0619
rubber,475714.9375,940106.5
sesame,15.024641036987305,25.91219
sorghumfor,0.0,0.0
sorghum,7.57587194442749,9.969321
soybean,3.4027581214904785,5.550289
spicenes,15.929203987121582,24.17073
spinach,1144.98681640625,1637.8691
sugarcane,1637.851318359375,2820.584
sugarnes,27.74622917175293,40.447598
sunflower,2.380452871322632,3.1325784
sweetpotato,600.34619140625,2889.06
tangetc,6.485385894775391,10.622608
taro,2.5754199028015137,4.752212
tea,1722.7362060546875,1882.6272
tobacco,565.5349731445312,1291.2289
tomato,882.7130126953125,1830.5663
tropicalnes,7983.279296875,16914.832
turnipfor,0.0,0.0
vanilla,2.9239494800567627,4.4647293
vegetablenes,8233.923828125,17288.62
vegfor,12664.7236328125,28432.441
watermelon,4171.0390625,12489.461
wheat,0.06358245015144348,0.09063346
yam,119.37239074707031,173.67691
