Crop,clipped_PA_surf,total_surf
alfalfa,10963.966796875,23971.8
apple,4697.921875,10508.572
apricot,255.084228515625,567.58795
asparagus,575.9306640625,1286.5421
avocado,1183.322998046875,2642.35
barley,14131.8310546875,31329.178
beetfor,8082.96044921875,17860.486
berrynes,100.6685562133789,224.64006
blueberry,173.92210388183594,387.32037
cabbagefor,7350.0986328125,16275.67
cabbage,419.47491455078125,933.3067
carrotfor,0.0,0.0
carrot,795.834228515625,1776.5548
cauliflower,752.4601440429688,1675.7527
cerealnes,1281.3812255859375,2872.621
cherry,268.4362487792969,597.3068
chilleetc,38.80402374267578,87.721886
citrusnes,358.0913391113281,796.7669
currant,342.31915283203125,761.70355
fibrenes,2626.5146484375,5909.421
fornes,11394.3916015625,24853.695
fruitnes,445.36767578125,990.87744
garlic,106.08362579345703,236.7563
grapefruitetc,25.59902000427246,58.00501
grape,6315.3876953125,14158.251
greenbean,373.7624816894531,831.63324
greenbroadbean,53.777828216552734,120.7282
greencorn,2248.19873046875,5058.007
greenonion,2437.768798828125,5485.4927
greenpea,3159.57373046875,7078.425
hop,152.730224609375,340.28714
kiwi,4873.2080078125,10922.407
legumenes,0.0,0.0
lemonlime,138.6172332763672,308.88095
lentil,664.9160766601562,943.19324
lettuce,614.07275390625,1367.6461
linseed,329.4408264160156,733.0658
maizefor,2297.61572265625,5169.191
maize,7952.87060546875,14221.592
melonetc,52.89530563354492,118.785126
mushroom,5.617476463317871,12.917865
oats,2700.48388671875,6068.7153
orange,284.35772705078125,632.7021
peachetc,461.7223815917969,1028.3446
pear,310.5752258300781,691.05505
pea,4446.86328125,9926.03
persimmon,110.54187774658203,246.64478
plum,159.0819854736328,354.39713
popcorn,0.0,0.0
potato,5753.16162109375,9414.676
pumpkinetc,2850.904052734375,6414.2295
quince,31.116535186767578,70.273994
rapeseed,594.6982421875,1367.7041
rasberry,76.517578125,171.02075
sorghumfor,50.6562385559082,113.71224
sorghum,0.0,0.0
spinach,177.85482788085938,395.98172
stonefruitnes,40.52399826049805,91.58778
strawberry,110.79901123046875,247.25052
sugarbeet,0.0,0.0
swedefor,7876.5419921875,17411.578
sweetpotato,416.1614074707031,798.95154
tangetc,332.64459228515625,740.2175
tomato,335.7400207519531,747.107
tropicalnes,232.98159790039062,518.3859
turnipfor,12112.3896484375,26313.02
vegetablenes,1967.7872314453125,4420.903
vegfor,3511.372802734375,8283.613
watermelon,102.49150848388672,228.71075
wheat,13736.119140625,30190.152
