Crop,clipped_PA_surf,total_surf
alfalfa,204.54507446289062,295.62863
almond,14237.373046875,52980.36
aniseetc,1.0736608505249023,1.5889373
apple,3726.62060546875,14856.802
apricot,147.43280029296875,549.95465
artichoke,12.714881896972656,18.304104
asparagus,114.21987915039062,156.7244
avocado,2444.488525390625,9618.296
banana,337.5904235839844,1142.9966
barley,5848.5625,20182.527
bean,907.2515869140625,3500.8906
beetfor,3.017854690551758,4.3233657
berrynes,91.38419342041016,124.524765
broadbean,1227.6334228515625,3568.0225
cabbagefor,5.314148902893066,7.7136316
cabbage,1937.0086669921875,7716.037
carob,2193.345703125,8681.853
carrotfor,0.028786342591047287,0.05488513
carrot,694.7720947265625,2749.7065
cauliflower,1216.588623046875,4845.504
cherry,1585.853515625,6362.1006
chestnut,13469.1171875,51487.992
chickpea,293.9127197265625,1117.236
chilleetc,306.55987548828125,1162.2795
citrusnes,0.7036966681480408,1.01314
clover,1.6354488134384155,2.362247
cotton,9.75206470489502,17.410019
cucumberetc,62.696983337402344,235.21625
date,0.3557218611240387,0.5040839
eggplant,27.4655704498291,101.52496
fig,1647.6658935546875,5160.591
flax,35.41297912597656,45.156105
fornes,13227.44921875,47664.09
fruitnes,408.69122314453125,1619.9854
garlic,180.3849334716797,659.4431
grapefruitetc,28.56660270690918,58.193573
grape,40763.71484375,155130.84
grassnes,276.568603515625,401.29956
greenbean,174.67108154296875,683.4537
greenbroadbean,712.5709228515625,2849.799
greenonion,35.711158752441406,140.76625
greenpea,568.8931274414062,2263.0527
groundnut,3.845804214477539,14.134112
hazelnut,94.88264465332031,352.7337
hemp,1.8092042207717896,2.4759903
hop,2.929901123046875,11.118097
kiwi,798.164794921875,3241.3025
legumenes,85.83767700195312,124.06023
lemonlime,437.7278137207031,1658.8715
lentil,25.00316619873047,39.223564
lettuce,680.5161743164062,2638.2527
linseed,2.908660650253296,3.9679995
lupin,1670.3612060546875,5468.0034
maizefor,11931.9140625,43546.5
maize,25801.1328125,72900.766
melonetc,562.286376953125,2238.9023
millet,0.24440646171569824,0.4019354
mixedgrain,36.113800048828125,52.32811
mixedgrass,12786.8046875,46088.32
mushroom,30.01837730407715,39.384407
nutnes,24442.26171875,95877.4
oats,21464.93359375,42318.242
olive,94923.328125,347791.75
onion,568.09228515625,2163.3042
orange,4553.90380859375,17828.986
peachetc,1093.6851806640625,4154.238
pear,2832.5166015625,11475.639
pea,157.2123260498047,164.115
pimento,2.6204285621643066,3.755877
pineapple,36.79454040527344,149.57962
plum,472.10906982421875,1875.1399
popcorn,0.0,0.0
potato,4556.1923828125,18538.186
pulsenes,4489.54248046875,14749.32
pumpkinetc,1265.013916015625,5136.948
quince,46.79062271118164,188.15149
rapeseed,278.35736083984375,1054.2329
rasberry,584.79638671875,800.56635
rice,7648.36767578125,26733.16
rootnes,1043.6082763671875,3057.608
ryefor,35.095802307128906,50.72272
rye,3813.44775390625,12092.283
sorghumfor,3898.991455078125,15666.014
sorghum,4.231886863708496,6.184754
sourcherry,87.85336303710938,203.0675
soybean,6.406705856323242,15.113031
spicenes,1.818668246269226,2.6127381
spinach,253.1706085205078,1001.1433
stonefruitnes,202.82601928710938,426.5304
strawberry,218.82101440429688,859.2817
sugarbeet,57.891326904296875,134.65106
sugarcane,34.291255950927734,59.46803
sunflower,2898.05322265625,7429.0156
sweetpotato,681.1207885742188,2896.4443
tangetc,765.6358642578125,2832.1516
tea,5.113421440124512,24.880194
tobacco,119.36601257324219,379.13715
tomato,3836.5888671875,15329.395
triticale,5553.05615234375,10421.697
tropicalnes,1826.79345703125,2493.0696
turnipfor,7.815160751342773,11.282734
vegetablenes,6922.62060546875,27213.354
vegfor,164.30690002441406,622.2043
vetch,159.58738708496094,230.65106
walnut,1345.5948486328125,5313.0
watermelon,178.17587280273438,670.4211
wheat,10584.00390625,33963.418
yam,32.71263122558594,57.248386
