Crop,clipped_PA_surf,total_surf
alfalfa,52209.203125,223571.12
almond,11727.42578125,48902.914
aniseetc,16683.96875,69171.08
apple,39349.125,165768.61
apricot,30372.23046875,128572.96
artichoke,695.9899291992188,2964.5056
asparagus,43.218955993652344,117.176926
avocado,253.81784057617188,1101.6213
banana,6328.60546875,10053.041
barley,660145.0625,3032463.0
bean,27269.005859375,102035.18
beetfor,660.0916748046875,2810.1003
berrynes,778.4571533203125,3298.1045
broadbean,853.8836059570312,3589.9407
buckwheat,0.03005317971110344,0.09577639
cabbagefor,0.0,0.0
cabbage,6415.7373046875,27026.863
canaryseed,964.6369018554688,4261.0264
carob,216.5749053955078,933.8969
carrotfor,0.0,0.0
carrot,2319.38134765625,9823.971
cauliflower,3140.24853515625,13280.692
cerealnes,74.78990173339844,103.49713
cherry,18648.37890625,78687.46
chestnut,3261.812255859375,13833.378
chickpea,138710.015625,504037.66
chilleetc,21270.037109375,90361.15
citrusnes,48.405067443847656,122.28203
clover,1.0975606441497803,2.2155123
cotton,114426.25,335690.7
cowpea,0.5089771151542664,0.7759516
cranberry,197.7815399169922,197.78154
cucumberetc,9038.87890625,38161.867
currant,0.09826228022575378,0.09826228
date,837.2786865234375,3392.4434
eggplant,5522.10107421875,23408.982
fig,12568.947265625,53288.39
flax,0.9475359916687012,3.1658735
fornes,539.1254272460938,969.6356
fruitnes,6412.20361328125,23896.012
garlic,753.4349975585938,3173.513
grapefruitetc,1160.0107421875,4947.224
grape,90328.328125,396352.94
grassnes,474.81182861328125,971.1444
greenbean,9274.53125,39365.848
greenbroadbean,1342.562255859375,5657.594
greenonion,1919.9432373046875,8130.36
greenpea,2541.2490234375,10760.563
groundnut,22716.861328125,52516.97
hazelnut,164147.984375,713320.25
hempseed,2.78737211227417,8.672885
hop,0.5455324053764343,0.7324855
kiwi,741.8798217773438,3168.9014
legumenes,49518.68359375,212283.9
lemonlime,10643.0986328125,45065.1
lentil,66950.875,240609.23
lettuce,5537.4345703125,23520.854
linseed,47.95662307739258,217.08527
lupin,0.37250399589538574,1.1504307
maizefor,6264.1875,26350.543
maize,192737.515625,652585.5
mango,0.4881340265274048,0.63698936
melonetc,17944.458984375,76216.22
melonseed,1.410981297492981,4.7593966
millet,406.408203125,1815.6447
mixedgrain,2115.1552734375,8998.69
mixedgrass,31.03458023071289,31.03458
mustard,4.04250431060791,4.544345
nutnes,232.15895080566406,879.8665
oats,26936.55859375,112169.25
oilseedfor,0.0,0.0
oilseednes,5.828783988952637,6.446553
okra,1819.881591796875,7684.7974
olive,240154.71875,837302.5
onion,16756.546875,70007.12
orange,10639.330078125,44824.21
peachetc,10717.1630859375,45079.18
pear,6145.33447265625,25939.975
pea,126.94974517822266,545.90875
persimmon,0.0,0.0
pimento,1651.8232421875,7027.2246
pistachio,83451.296875,353260.56
plum,5015.6611328125,21109.664
popcorn,0.0,0.0
poppy,8289.6376953125,35220.375
potato,32736.330078125,145383.64
pulsenes,820.1602172851562,3459.1887
pumpkinetc,26292.681640625,111231.64
quince,1822.1102294921875,7737.1606
rapeseed,15243.9013671875,32724.72
rasberry,1.6281225681304932,1.8157551
rice,30097.94140625,118704.84
ryefor,0.0,0.0
rye,20218.623046875,104080.93
safflower,2895.6572265625,12836.517
sesame,6085.27734375,25750.145
sorghumfor,0.6087727546691895,2.065063
sorghum,0.2004084587097168,0.2613275
sourcherry,4776.064453125,20272.105
soybean,11049.9228515625,34325.844
spicenes,11305.3095703125,48043.68
spinach,4332.64794921875,18421.715
stonefruitnes,61.278343200683594,264.93326
strawberry,4128.826171875,17556.41
stringbean,2191.10302734375,9334.414
sugarbeet,68054.2109375,333789.72
sugarcane,12.389838218688965,17.76426
sunflower,134777.15625,700322.8
sweetpotato,0.08788499236106873,0.3127464
tangetc,13673.9765625,58091.953
tea,36969.0234375,81917.1
tobacco,15724.16015625,74454.35
tomato,42311.6875,180726.17
triticale,21301.875,24643.812
tropicalnes,1919.4609375,8156.5273
turnipfor,0.0,0.0
vegetablenes,3633.945556640625,14994.987
vegfor,7688.06103515625,31613.531
vetch,428.3205261230469,1621.7001
walnut,32345.822265625,137429.05
watermelon,18525.779296875,78585.6
wheat,1504261.25,6854157.5
