Crop,clipped_PA_surf,total_surf
almond,0.5830953121185303,1.5958538
aniseetc,2358.2841796875,6261.498
apple,24.394306182861328,103.26297
apricot,0.6849267482757568,1.5571759
areca,3.3602423667907715,9.300502
artichoke,0.2433488667011261,0.51411414
asparagus,44.48298645019531,118.680786
avocado,0.2744837701320648,0.5848563
banana,46531.015625,124350.49
barley,22.23246955871582,87.02324
bean,36338.4609375,129822.625
beetfor,0.0,0.0
berrynes,4394.96142578125,11794.434
broadbean,22.51835823059082,88.14307
buckwheat,20.37106704711914,79.73654
cabbagefor,0.0,0.0
cabbage,13118.73828125,34867.848
carrotfor,0.0,0.0
carrot,15.70050048828125,41.888298
cashew,96975.6015625,260512.34
cassava,176398.171875,511798.4
castor,2793.731201171875,7478.4014
cauliflower,2634.54541015625,6848.7197
cerealnes,0.014042467810213566,0.1451925
cherry,0.06223590672016144,0.07635673
chestnut,7.078642845153809,19.57565
chickpea,0.10835754871368408,0.25062236
chilleetc,36.95269012451172,92.45671
cinnamon,29785.00390625,77440.805
citrusnes,4.235888481140137,11.722496
coconut,28405.58203125,142129.1
coffee,224234.828125,627406.8
cotton,35.24490737915039,134.18896
cucumberetc,56.87998962402344,151.76581
date,0.19617652893066406,0.43277755
eggplant,35.98291015625,96.00325
fibrenes,4563.07373046875,12217.369
fig,0.0,0.0
flax,6.656050682067871,18.407068
fornes,322.82916259765625,798.8728
fruitnes,86118.9765625,231488.34
garlic,27.136722564697266,72.39368
ginger,1.2313287258148193,3.4208875
grapefruitetc,20677.830078125,53035.48
grape,78.87324523925781,326.0564
greenbean,7.512141227722168,20.056305
greenbroadbean,0.49815231561660767,1.3568484
greenonion,0.7391594648361206,1.9921699
greenpea,8.925880432128906,23.793865
groundnut,56366.34375,161444.83
hazelnut,0.37518802285194397,0.96413827
hempseed,0.6892839670181274,1.9445196
hemp,2.62147855758667,9.221241
hop,0.4422317445278168,1.1599354
jutelikefiber,0.19751207530498505,0.5842504
jute,46.1100959777832,165.26785
legumenes,0.0,0.0
lemonlime,11.013856887817383,26.118298
lentil,2.4054598808288574,9.517265
lettuce,16.446548461914062,43.876755
linseed,33.78886795043945,93.4961
maizefor,0.0,0.0
maize,312485.96875,905097.56
mango,37016.85546875,98399.266
melonetc,30.721332550048828,73.808334
melonseed,1.880264401435852,5.183933
millet,435.2077331542969,1212.5801
mushroom,0.3305978775024414,0.8386327
mustard,1.9993375539779663,5.493234
nutmeg,40.578147888183594,83.42227
nutnes,1186.1671142578125,3196.3882
oats,7.270730018615723,28.431929
oilpalm,762.0606689453125,23649.037
onion,33868.375,91757.164
orange,25931.654296875,70767.93
papaya,0.165522038936615,0.36490646
peachetc,25.11252784729004,57.750076
pear,34.88359451293945,112.38895
pea,16.80533790588379,65.765854
pepper,38918.3671875,101910.31
persimmon,22.956302642822266,52.79014
pimento,15660.6455078125,42585.18
pineapple,13749.5361328125,36993.227
pistachio,0.9029667377471924,2.5509622
plum,64.53424072265625,148.57172
popcorn,0.0,0.0
potato,2975.309326171875,18824.176
pulsenes,58474.2109375,157171.86
pumpkinetc,12.118000030517578,32.328426
quince,0.439622163772583,1.0097456
ramie,9.363998413085938,24.095882
rapeseed,41.305355072021484,108.52188
rice,2047188.125,6621824.5
rootnes,2.1245651245117188,14.914721
rubber,243203.34375,653626.0
ryefor,0.0,0.0
rye,10.052861213684082,39.309685
safflower,1.227824091911316,3.411155
sesame,11717.8955078125,31738.46
sisal,0.45741111040115356,1.19974
sorghumfor,0.0,0.0
sorghum,1.9963849782943726,4.7184677
soybean,12082.23828125,44683.098
spicenes,1.276036262512207,3.566088
spinach,24.924423217773438,66.48173
stonefruitnes,7.06765079498291,14.609388
strawberry,0.0,0.0
stringbean,0.03140115365386009,0.031401154
sugarbeet,0.0,0.0
sugarcane,55818.1484375,179389.33
sunflower,0.03804703429341316,0.10087846
sweetpotato,33912.2578125,106676.89
tangetc,79.35814666748047,208.5112
taro,5.844183444976807,16.142078
tea,47851.62890625,105326.43
tobacco,4535.09423828125,12029.501
tomato,42.79405975341797,114.174866
triticale,3.115804672241211,12.356986
tropicalnes,24.812944412231445,57.06012
tung,8.959442138671875,24.787567
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,53331.55078125,146111.72
vegfor,283231.625,759725.06
walnut,11.41820240020752,31.601002
watermelon,20912.24609375,54879.395
wheat,36.74343490600586,131.93422
yam,5.012872695922852,23.949883
