Country Code (ISO3),Crop,Item Code (CPC),clipped_PA_surf,total_surf,yield,price
AFG,alfalfa,01912,101.86643981933594,174.08534,,
AFG,almond,01371,2112.4970703125,6001.171,1742.0,
AFG,aniseetc,01654,722.5402221679688,1172.7765,704.0,
AFG,apple,01341,3091.745361328125,9298.334,10556.0,
AFG,apricot,01343,1946.2154541015625,5826.899,6378.7,
AFG,artichoke,01216,0.1543152630329132,0.23620692,,
AFG,asparagus,01211,0.1368868798017501,0.21006258,,
AFG,banana,01312,16.479389190673828,17.712723,12687.326315789474,600.6999999999999
AFG,barley,0115,14771.3369140625,96544.5,1528.4,862.4
AFG,bean,01701,66.5241928100586,325.16797,1562.73,1180.675
AFG,beetfor,01801,2.518562793731689,4.4703245,16839.7,965.1
AFG,berrynes,01355.90,416.127685546875,828.3183,4099.7,
AFG,broadbean,01702,0.3723826706409454,3.6360507,2022.3166666666664,1088.1
AFG,buckwheat,01192,0.8525003790855408,1.4306772,,
AFG,cabbagefor,01212,0.0,0.0,17572.441666666666,277.85
AFG,cabbage,01212,33.43888473510742,83.74726,17572.441666666666,277.85
AFG,carrotfor,01251,0.0,0.0,13045.65,722.1999999999999
AFG,carrot,01251,61.17055130004883,122.267815,13045.65,722.1999999999999
AFG,castor,01447,0.2521916925907135,0.50409776,,
AFG,cauliflower,01213,2.465792417526245,7.919676,,
AFG,cerealnes,01199.01,0.3794841766357422,3.7664943,,
AFG,cherry,01344.02,6.100617408752441,14.866257,,
AFG,chickpea,01703,11.098790168762209,44.082577,,
AFG,chilleetc,01231,1.0250498056411743,2.0471659,6726.175,1242.1
AFG,citrusnes,01329,24.29041862487793,42.17724,9147.5,
AFG,cotton,01921.01,14784.3359375,70721.81,1320.6,408.8
AFG,cucumberetc,01232,56.98408126831055,113.18953,14003.34,778.5
AFG,date,01314,40.15164566040039,69.43313,6005.742857142858,1103.2
AFG,eggplant,01233,4.036611557006836,9.852764,13908.78888888889,551.7
AFG,fig,01315,180.60630798339844,366.3661,5929.9,
AFG,fornes,01919.96,354.9848022460937,617.05707,,
AFG,fruitnes,01319,1294.180419921875,3265.7988,,
AFG,garlic,01252,4.37577486038208,11.621388,9704.7,545.1
AFG,grapefruitetc,01321,0.62583988904953,1.0840821,,
AFG,grape,01330,8843.439453125,28846.172,9825.0,1715.4
AFG,grassnes,01919.91,224.9091796875,398.69583,,
AFG,greenbean,01241.90,18.949432373046875,34.060677,6485.990909090909,1372.85
AFG,greenbroadbean,01243,0.1484028249979019,0.30553976,,
AFG,greenpea,01242,5.809325695037842,20.96961,4026.9666666666662,827.2
AFG,groundnut,0142,51.64494705200195,120.65146,1034.35,765.4375
AFG,hazelnut,01374,8.7717924118042,16.834112,,
AFG,jutelikefiber,01922.02,0.5301752090454102,1.6728994,,
AFG,jute,01922.01,0.1699281334877014,1.604837,,
AFG,kiwi,01352,1.0760810375213623,2.1277158,,
AFG,legumenes,01290.90,0.0,0.0,8995.0,205.2
AFG,lemonlime,01322,12.523518562316896,24.849228,7351.771428571429,1410.2
AFG,lentil,01704,37.558712005615234,91.38467,,
AFG,lettuce,01214,1.7131701707839966,3.3364172,14676.0,354.95
AFG,linseed,01441,3357.445068359375,8397.591,904.3,
AFG,maizefor,0112,155.7384033203125,488.28308,2237.4,488.3
AFG,maize,0112,20831.60546875,143388.0,2237.4,488.3
AFG,mango,01316,6.693015575408936,14.784206,9477.3,849.6833333333334
AFG,melonetc,01229,6300.62939453125,14374.831,10754.8,865.7
AFG,millet,0118,948.2655639648438,3112.7178,1577.1,516.9125
AFG,mixedgrass,01919.93,162.83302307128906,959.82526,,
AFG,nutnes,01379.90,191.3037872314453,552.1099,838.7,
AFG,oats,0117,0.8497089147567749,1.5589007,,
AFG,oilseedfor,01449.90,0.0,0.0,1045.23,267.7
AFG,oilseednes,01449.90,0.0631140619516372,0.33563802,1045.23,267.7
AFG,okra,01239.01,4.814043998718262,17.45304,6426.614285714286,1075.9499999999998
AFG,olive,01450,306.8478698730469,2190.9854,3503.0,
AFG,onion,01253.02,2659.861083984375,7601.439,17755.2,997.525
AFG,orange,01323,164.9131622314453,380.91556,5814.4,1111.3
AFG,papaya,01317,0.258433997631073,0.90679085,15320.35,934.6
AFG,peachetc,01345,842.3065185546875,2480.3652,10085.4,
AFG,pear,01342.01,160.97718811035156,459.91068,8000.0,
AFG,pea,01705,556.8802490234375,2942.671,1331.925,3178.1
AFG,pepper,01651,5.077121734619141,9.011294,,
AFG,pimento,01652,15.27964973449707,52.368107,2326.735714285714,3890.7
AFG,pistachio,01375,94.01722717285156,317.62036,1297.2,
AFG,plum,01346,452.0835266113281,1292.3502,8653.9,
AFG,popcorn,0112,0.0,0.0,2237.4,488.3
AFG,potato,01510,5610.5947265625,51687.855,15875.0,758.8285714285714
AFG,pulsenes,01709.90,9656.529296875,57149.54,585.1,237.3
AFG,pumpkinetc,01235,12.524916648864746,30.543783,13497.536363636364,406.65
