Crop,clipped_PA_surf,total_surf
almond,0.1040060818195343,0.1553872
aniseetc,0.548335611820221,8.604249
apple,5254.75439453125,51122.203
apricot,1.2577883005142212,4.0565805
barley,50545.08203125,399111.47
bean,7481.62109375,84945.31
beetfor,6.624697685241699,13.304359
berrynes,9.794078826904297,15.867863
blueberry,5.260445594787598,10.043405
broadbean,223.53530883789062,267.23264
buckwheat,2782.051025390625,27168.547
cabbagefor,0.0,0.0
cabbage,1086.1563720703125,10189.291
carrotfor,0.0,0.0
carrot,948.2919921875,8982.474
castor,0.0,0.042506155
cauliflower,5.456356048583984,10.151175
cerealnes,7952.52197265625,24836.555
cherry,78.51760864257812,630.6055
chestnut,0.01689271070063114,1.0539063
chickpea,0.5740668773651123,10.188503
chilleetc,1.826315999031067,3.3816667
cranberry,75.36026763916016,360.06528
cucumberetc,622.5629272460938,5932.6978
currant,23.074321746826172,46.707943
eggplant,0.6436040997505188,1.3724525
flax,3117.527587890625,49363.19
fornes,1912.486328125,18554.027
fruitnes,4.227689266204834,16.346241
garlic,176.7451934814453,971.57733
gooseberry,2.7093687057495117,6.291613
grape,926.2478637695312,3918.191
grassnes,31.753795623779297,118.31802
greenpea,171.11766052246094,896.4054
hazelnut,1259.48046875,4259.599
hempseed,0.05777371674776077,0.6568086
hemp,0.5526648163795471,2.039825
hop,0.8490905165672302,1.5270559
jutelikefiber,0.19607017934322357,5.4287405
legumenes,262.76885986328125,480.15103
lentil,0.1542668342590332,3.012065
linseed,2346.63916015625,25470.074
lupin,337.2757873535156,1609.2687
maizefor,19408.69140625,158845.94
maize,25504.1015625,220507.84
millet,1079.6234130859375,10089.772
mixedgrain,668.077880859375,1214.6445
mixedgrass,21045.4140625,164804.45
mustard,6.262962818145752,45.66512
nutnes,88.95033264160156,895.3736
oats,18771.599609375,157831.12
oilseedfor,0.0,0.0
oilseednes,24.07518768310547,40.862316
onion,1127.437255859375,10933.079
peachetc,0.49862077832221985,1.7214684
pear,565.0855712890625,5571.1484
pea,3914.76708984375,36530.812
plum,782.9441528320312,7654.9854
popcorn,0.0,0.0
potato,22149.01953125,261823.06
pulsenes,52.82238006591797,97.84716
pumpkinetc,7.279507637023926,13.568892
quince,130.40060424804688,1059.3933
rapeseed,34394.65234375,356789.72
rasberry,9.490630149841309,18.961048
rice,0.06965906918048859,0.165241
ryefor,0.0,0.0
rye,41934.0703125,345670.44
safflower,0.6052570343017578,16.226717
sorghumfor,0.0,0.0
sorghum,8.07165813446045,22.094135
sourcherry,670.393798828125,6341.6636
soybean,147.35556030273438,659.36346
stonefruitnes,1.6480178833007812,2.8716
strawberry,976.1173706054688,9000.967
sugarbeet,5985.6953125,84539.01
sunflower,1476.0758056640625,4195.8545
tea,0.0,0.011242334
tobacco,1.704660177230835,10.655197
tomato,755.3784790039062,7138.164
triticale,46234.6015625,462336.25
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1983.464111328125,18885.15
vegfor,1858.8536376953125,16092.538
vetch,1144.7742919921875,8684.087
walnut,720.23486328125,5734.14
watermelon,6.067485809326172,23.089283
wheat,85646.28125,675940.75
