Crop,clipped_PA_surf,total_surf
alfalfa,118.1334457397461,925.8612
aniseetc,10.84737491607666,98.6169
apple,150.69088745117188,1375.0941
apricot,0.0,0.123509735
asparagus,1.109114646911621,84.81696
barley,64266.578125,638953.5
beetfor,2088.496337890625,18971.863
broadbean,1990.1220703125,18496.736
cabbagefor,0.0,0.0
cabbage,159.1555938720703,1449.0363
carrotfor,0.0,0.0
carrot,213.0933074951172,1951.1838
cauliflower,101.42133331298828,922.8143
cherry,19.410709381103516,181.23248
clover,4176.03515625,36343.324
cucumberetc,5.1047821044921875,48.53085
currant,77.83104705810547,710.5458
fornes,4171.859375,36294.707
gooseberry,0.283904492855072,2.8896205
grassnes,4127.30712890625,36056.832
greenbean,0.10295268148183823,1.031823
greenbroadbean,0.0,0.041939236
greenpea,345.061767578125,3124.1074
hop,0.0,1.3002174
legumenes,0.0,0.0
lettuce,70.65687561035156,645.50806
linseed,361.5783996582031,3314.8682
maizefor,4019.3896484375,35426.99
maize,754.5372924804688,5856.761
mixedgrain,0.23924142122268677,2137.1765
mushroom,31.475658416748047,127.469025
mustard,1.0529215335845947,10.920649
oats,12710.8173828125,61234.777
oilseedfor,17.504701614379883,157.20343
oilseednes,0.0,0.0
onion,147.0674591064453,1335.745
peachetc,0.0,0.48283803
pear,32.85283279418945,301.48056
pea,798.2974853515625,7337.7476
plum,9.110812187194824,88.590996
popcorn,0.0,0.0
poppy,0.08605972677469254,0.8752649
potato,8144.5927734375,58986.965
pulsenes,1114.5052490234375,4458.117
rapeseed,10390.2958984375,140355.84
rasberry,11.366003036499023,108.04523
rice,0.02854284457862377,0.50348365
ryefor,4133.91552734375,36092.113
rye,11587.6875,107060.234
sourcherry,51.605709075927734,467.36996
soybean,7.377451419830322,58.274193
spinach,0.10329534858465195,81.22675
strawberry,113.59165954589844,1039.8248
sugarbeet,2984.287841796875,31271.648
sunflower,333.69842529296875,3487.4543
tobacco,0.0,2.8399415
tomato,3.4273815155029297,31.47276
triticale,812.1004638671875,4003.147
turnipfor,0.0,0.0
vegetablenes,109.65046691894531,996.4954
vegfor,1251.921875,9258.315
walnut,0.0,0.33592492
wheat,39896.27734375,486718.56
