Crop,clipped_PA_surf,total_surf
aniseetc,1.0251370668411255,3.0604792
avocado,5.3470916748046875,18.81014
barley,14230.7236328125,45754.645
bean,479.2908935546875,1954.7876
broadbean,319.1845397949219,1124.093
cabbagefor,0.0,0.0
cabbage,7.990606307983398,28.518642
cassava,0.0,0.11644612
castor,1.3539016246795654,6.2105527
cerealnes,11566.3095703125,42411.87
chickpea,1789.207763671875,8944.727
citrusnes,0.040265947580337524,0.2026698
cotton,7.260660171508789,78.02296
cucumberetc,0.0,2.093653
date,0.0,4.7948923
eggplant,0.0,1.8055863
fibrenes,70.91608428955078,260.63037
fornes,0.0,14.796241
fruitnes,194.40521240234375,709.7385
garlic,2.8337957859039307,10.347897
ginger,0.6184735894203186,1.8537772
grapefruitetc,0.0,2.1975875
grape,0.4502403736114502,1.6662533
greenbean,0.30328571796417236,0.93286395
greenbroadbean,0.02194797247648239,0.14492585
greenonion,0.5754274725914001,2.0915208
groundnut,748.2252807617188,3140.8308
jutelikefiber,0.27453377842903137,1.0726508
legumenes,0.0,0.0
lemonlime,0.2663220763206482,4.0599785
lentil,126.24026489257812,575.27795
lettuce,0.2286495417356491,0.6782836
linseed,204.88551330566406,740.428
maizefor,0.0,0.0
maize,5870.3125,21280.469
mango,4.152581214904785,18.454271
millet,18200.380859375,76642.74
mustard,0.8162702322006226,2.9957724
nutnes,12.10778522491455,47.369987
oilseedfor,0.0,0.0
oilseednes,13579.8583984375,50285.477
onion,6.922124862670898,34.413696
orange,0.9330580234527588,5.253515
papaya,1.1585344076156616,4.825635
pea,535.1011962890625,1917.9603
pepper,1.1903825998306274,3.7101974
pimento,55.66830062866211,210.51636
pineapple,0.0,0.07314749
popcorn,0.0,0.0
potato,45.193946838378906,137.68234
pulsenes,9421.404296875,34356.047
pumpkinetc,0.0,0.27661252
rapeseed,0.0,0.1971874
rice,1.4096708297729492,16.121077
rootnes,4414.68212890625,16460.053
safflower,3.2449991703033447,17.986647
sesame,7367.9462890625,29224.291
sisal,0.18632648885250092,0.6760353
sorghumfor,0.0,0.0
sorghum,72210.3203125,276439.44
soybean,4.396615028381348,42.660187
spicenes,3973.938232421875,13053.551
sugarcane,0.0,14.845689
sunflower,0.0,0.56519806
sweetpotato,0.7151862978935242,5.9405856
tangetc,0.5648290514945984,2.0285802
tea,0.09241783618927002,0.65742576
tobacco,0.0,1.2976112
tomato,1.237282633781433,12.140911
tropicalnes,1.1654716730117798,4.733589
vegetablenes,2472.9912109375,9143.781
vegfor,4452.0,14864.453
vetch,1217.0,4376.9346
watermelon,0.0,2.6450722
wheat,8076.54931640625,25600.016
yam,1706.7469482421875,6780.9414
