Crop,clipped_PA_surf,total_surf
abaca,1.5406854152679443,1.5406854
avocado,2.1245508193969727,10.535656
bambara,0.2775348722934723,0.27753487
banana,1000.69970703125,2154.2144
bean,5.467526435852051,10.369735
cabbagefor,0.0,0.0
cabbage,0.25150784850120544,1.2154062
carrotfor,0.0,0.0
carrot,0.0937032699584961,0.6119095
cassava,21385.953125,57865.105
chilleetc,0.11309202015399933,0.11309202
citrusnes,97.61529541015625,203.82314
cocoa,2308.196533203125,3987.2979
coconut,55.13432693481445,56.684914
coffee,145.37107849121094,303.75787
cotton,5.600124359130859,25.415308
cucumberetc,2.906200885772705,2.906201
eggplant,6.99433708190918,17.10668
fruitnes,3046.08740234375,5255.839
grapefruitetc,0.697624921798706,3.5846496
greenbean,1.3085449934005737,5.521575
groundnut,9031.248046875,21072.646
kolanut,2.755998134613037,2.7559981
legumenes,0.0,0.0
lemonlime,0.9799274206161499,5.060502
lettuce,0.012522905133664608,0.1377175
maizefor,0.0,0.0
maize,10390.6123046875,26486.086
mango,7.2295074462890625,35.677666
melonetc,0.10974627733230591,0.10974628
melonseed,23.006988525390625,96.93726
millet,1.5241081714630127,1.5241082
oilpalm,2308.74462890625,5799.108
onion,0.18127349019050598,0.18127349
orange,1.874253511428833,9.402697
pea,18.466854095458984,86.94043
pimento,0.12002786993980408,0.12002787
pineapple,42.91288757324219,97.98829
plantain,29541.7578125,51299.938
popcorn,0.0,0.0
potato,1.9347587823867798,7.1388016
pulsenes,132.58245849609375,275.91284
pumpkinetc,2.706576347351074,2.7065763
rice,156.7406463623047,571.2863
rootnes,17.64609718322754,69.88821
rubber,4606.09033203125,7501.3594
sesame,2.267045497894287,9.06943
sorghumfor,0.0,0.0
sorghum,11.29836368560791,11.298364
soybean,1417.77587890625,4247.2134
sugarcane,1494.7291259765625,4348.9673
sweetpotato,1095.6614990234375,1953.1543
tangetc,1.5400397777557373,7.759058
taro,4136.5478515625,6832.1895
tea,0.09317553043365479,0.9489012
tobacco,0.8068444132804871,1.6309808
tomato,11.157049179077148,30.783482
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1902.8453369140625,3436.3848
vegfor,3882.7783203125,10076.591
watermelon,0.011727385222911835,0.011727385
yam,15099.30078125,36532.062
