Crop,clipped_PA_surf,total_surf
agave,44.97895812988281,105.714745
aniseetc,1.254387378692627,2.7841792
apple,23.999713897705078,66.59533
avocado,77.7022933959961,222.53442
banana,4626.59814453125,10719.965
barley,0.0,0.07842402
bean,40692.0703125,155421.52
beetfor,36.832679748535156,111.76489
broadbean,27.22060775756836,59.9404
cabbagefor,0.0,0.0
cabbage,809.016845703125,2411.4277
carrotfor,0.0,0.0
carrot,287.5315856933594,789.7991
cashew,455.09759521484375,1352.8094
cassava,918.4088745117188,3155.451
cauliflower,35.970458984375,102.76752
chilleetc,491.9139404296875,1395.4557
citrusnes,146.04632568359375,419.90393
cocoa,1131.4776611328125,3972.6929
coconut,464.0301208496094,1720.6594
coffee,92205.546875,317671.25
cotton,672.78369140625,1796.9424
cucumberetc,196.982421875,588.36725
eggplant,213.35357666015625,641.4338
fruitnes,1883.611083984375,5627.037
garlic,14.232728958129883,40.584015
grapefruitetc,499.9635314941406,1495.2368
grape,8.880699157714844,23.593004
greenbroadbean,1.2197096347808838,2.7069383
groundnut,101.17472839355469,299.79315
jutelikefiber,35.800533294677734,94.60728
legumenes,0.0,0.0
lemonlime,269.15869140625,788.0431
lettuce,40.344383239746094,119.700645
maizefor,0.0,0.0
maize,102183.3125,354717.12
mango,494.57940673828125,1464.6443
melonetc,1883.827392578125,5647.7017
nutmeg,377.345458984375,1053.6794
nutnes,7.262920379638672,16.023407
oilpalm,33973.875,201851.66
okra,1.0283992290496826,2.2808142
olive,39.20714569091797,104.985985
onion,198.29190063476562,586.65765
orange,3037.7763671875,9138.63
papaya,4.015993595123291,11.553623
pepper,417.64459228515625,1251.3146
pineapple,641.7554321289062,1899.5817
plantain,3322.53369140625,7800.5386
popcorn,0.0,0.0
potato,781.1712646484375,1801.7378
pulsenes,5.222043037414551,11.51725
pumpkinetc,371.556396484375,1117.6434
rice,6526.19873046875,16343.647
rootnes,270.02410888671875,805.56067
rubber,43.767852783203125,89.98173
sesame,408.04925537109375,1154.1044
sorghumfor,0.0,0.0
sorghum,5493.75537109375,18229.531
soybean,188.964599609375,594.3326
spicenes,0.7809290289878845,1.765772
strawberry,0.49214357137680054,1.1641214
sugarbeet,0.0,0.0
sugarcane,17550.12109375,59866.094
sweetpotato,1225.499755859375,3217.5918
tangetc,2.6422762870788574,6.9874296
tea,4.6282196044921875,9.900875
tobacco,941.5291748046875,3456.1582
tomato,480.13311767578125,1401.905
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1936.108154296875,5779.341
vegfor,1654.5859375,4564.573
watermelon,376.20684814453125,1115.399
wheat,868.1778564453125,2236.2417
yam,0.11776852607727051,0.13014616
yautia,23.083492279052734,61.04492
