Crop,clipped_PA_surf,total_surf
abaca,206.1075897216797,667.7775
areca,59023.3359375,134714.19
avocado,19859.439453125,45674.508
banana,91863.171875,151999.61
bean,81836.1796875,191757.7
cabbagefor,0.0,0.0
cabbage,28098.509765625,65373.613
carrotfor,0.0,0.0
carrot,17510.39453125,39661.797
cashew,222516.515625,507820.94
cassava,246509.125,668337.9
castor,1430.5377197265625,3456.6262
chilleetc,135066.515625,306366.6
cinnamon,47388.10546875,108262.06
citrusnes,2.24257230758667,3.1101327
clove,233678.65625,537033.25
cocoa,735579.5,1536138.5
coconut,1113066.125,2648919.8
coffee,449093.15625,1250157.6
cotton,1434.6922607421875,2991.8386
cucumberetc,17627.125,40873.375
eggplant,20145.400390625,46267.344
fruitnes,43882.609375,99708.95
garlic,5482.7646484375,12622.336
ginger,3184.426025390625,7541.3413
grapefruitetc,2.941986083984375,4.1144605
greenbean,45464.08984375,119845.96
greencorn,47334.796875,108250.24
groundnut,165467.890625,336608.97
jutelikefiber,2352.114013671875,5440.1904
kapokfiber,100150.4296875,233586.17
kapokseed,68320.2578125,161558.08
legumenes,0.0,0.0
lemonlime,4.7251482009887695,6.306897
maizefor,0.0,0.0
maize,1660884.875,3846340.2
mango,117611.3046875,267638.47
nutmeg,101034.1484375,225156.3
nutnes,94458.0,213287.78
oilpalm,1427022.875,14429778.0
oilseedfor,0.0,0.0
oilseednes,611.0264282226562,791.86035
onion,79671.390625,180384.94
orange,30566.01171875,70958.37
papaya,4885.748046875,11319.862
pepper,84438.2109375,190881.98
pimento,5.2834954261779785,7.104182
pineapple,8181.45703125,19695.633
popcorn,0.0,0.0
potato,35016.84765625,64450.348
pulsenes,1056.8790283203125,2404.8765
pumpkinetc,3509.350341796875,8054.5337
pyrethrum,10.014450073242188,11.734426
rice,3743660.0,10131600.0
rootnes,33811.359375,77469.28
rubber,1573533.0,3435144.8
sisal,63.841495513916016,285.66196
sorghumfor,0.0,0.0
sorghum,1.835813283920288,2.1198046
soybean,246231.09375,668688.2
spicenes,3317.754638671875,7409.13
spinach,19709.65625,43191.977
sugarcane,134963.46875,405347.9
sugarnes,31751.552734375,73303.375
sweetpotato,37685.98046875,71556.41
taro,220.1916961669922,255.66566
tea,64396.07421875,108067.15
tobacco,88293.4765625,208536.27
tomato,24601.052734375,56338.93
tropicalnes,71159.2734375,164546.75
turnipfor,0.0,0.0
vanilla,6575.87109375,14292.091
vegetablenes,21479.84765625,49531.63
vegfor,29257.318359375,63799.25
watermelon,14466.09765625,21534.678
yam,137.75804138183594,187.72427
