Crop,clipped_PA_surf,total_surf
apple,5763.15869140625,30507.707
barley,10273.1611328125,32847.0
bean,1352.470458984375,4536.786
buckwheat,433.6435852050781,1520.8611
cabbagefor,0.0,0.0
cabbage,13515.34375,32592.688
carrotfor,0.0,0.0
carrot,900.4601440429688,2927.213
cerealnes,2810.75244140625,9107.105
chestnut,9828.92578125,31568.305
chilleetc,6966.8447265625,32420.465
citrusnes,56.24280548095703,182.86682
cotton,7.041077613830566,37.008465
cucumberetc,1595.810791015625,4388.1636
eggplant,83.44096374511719,272.14206
fornes,10587.6005859375,33964.65
fruitnes,9182.138671875,29856.018
garlic,7744.50244140625,25003.611
ginger,878.0838623046875,2851.216
grape,4966.1005859375,12228.713
greenonion,4587.8681640625,15041.354
groundnut,840.5999145507812,3647.669
hemp,0.4702815115451813,2.1058652
hop,0.6451128721237183,3.2534585
kiwi,163.43658447265625,531.8249
legumenes,0.0,0.0
lettuce,1161.9263916015625,3538.0266
maizefor,0.0,0.0
maize,4530.73974609375,13072.974
melonetc,587.2342529296875,3186.8079
millet,320.08074951171875,747.58276
mushroom,50.044281005859375,162.76263
nutnes,2675.817138671875,8680.107
oats,1.6400065422058105,8.280576
oilseedfor,0.0,0.0
oilseednes,10750.69921875,35145.04
onion,4400.8115234375,14338.855
peachetc,8232.0048828125,19216.184
pear,3232.04931640625,8395.347
persimmon,5699.94580078125,20485.17
pineapple,9.400592803955078,31.113228
plum,2226.614990234375,6809.462
popcorn,0.0,0.0
potato,6750.63671875,22417.686
pulsenes,1708.338134765625,5548.748
pumpkinetc,3030.292236328125,8863.147
rapeseed,344.97894287109375,962.1575
rice,200174.21875,650674.25
ryefor,0.0,0.0
rye,0.0,0.07358351
sesame,7339.4091796875,21346.715
sorghumfor,0.0,0.0
sorghum,475.3905029296875,1480.0842
soybean,16653.796875,52700.062
spinach,2202.627197265625,4260.5005
strawberry,1082.71435546875,5397.3267
sweetpotato,7785.1669921875,20901.516
tangetc,4721.99755859375,18355.525
tea,812.15283203125,1956.3964
tobacco,3678.4970703125,10941.888
tomato,1636.463134765625,5197.21
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,16259.7900390625,51364.094
vegfor,20113.109375,66162.266
walnut,171.22564697265625,555.55725
watermelon,3076.994140625,10966.957
wheat,1855.734130859375,5069.2812
