Crop,clipped_PA_surf,total_surf
almond,0.04869202524423599,0.20948729
aniseetc,2.797750949859619,5.811673
apple,5.4247331619262695,24.748005
apricot,0.011703995987772942,0.09256175
areca,8.087359428405762,90.43745
artichoke,0.0,0.0
asparagus,2.4004669189453125,10.328505
avocado,0.0,0.011051801
banana,5920.9169921875,24266.244
barley,16.900405883789062,301.6105
bean,874.1600952148438,3156.3604
beetfor,0.0,0.0
berrynes,5.695359230041504,10.3746805
broadbean,1.4337682723999023,5.3151035
buckwheat,1.2970322370529175,4.7791724
cabbagefor,0.0,0.0
cabbage,25.061969757080078,68.931335
canaryseed,26.613744735717773,135.88953
carrotfor,0.0,0.0
carrot,0.6933930516242981,2.7797444
cashew,194.61138916015625,384.44812
cassava,25780.490234375,84341.945
castor,11.75067138671875,43.023804
cauliflower,3.9103786945343018,11.645947
cerealnes,27.009578704833984,156.89743
cherry,0.0,0.0
chestnut,0.6873915195465088,3.2222898
chickpea,0.019061176106333733,21.29027
chilleetc,2856.137939453125,7716.9907
cinnamon,34.198211669921875,66.4484
citrusnes,2.588226795196533,13.920086
cocoa,0.0,0.07513973
coconut,3.0764496326446533,9.928574
coffee,18160.44921875,80979.055
cotton,394.61590576171875,1754.5754
cowpea,0.01396776083856821,17.692795
cucumberetc,11.631305694580078,52.633316
date,0.0,0.0
eggplant,3.234492778778076,13.122631
fibrenes,6.076192378997803,12.130091
flax,0.6464493274688721,3.0302026
fornes,33.58237075805664,142.8411
fruitnes,3069.359130859375,8880.198
garlic,7.58617639541626,55.09706
ginger,4.532703876495361,21.762602
grapefruitetc,891.2504272460938,2200.917
grape,1.8066847324371338,9.1355915
grassnes,0.13989436626434326,125.58957
greenbean,44.5452995300293,229.47467
greenbroadbean,0.01076851598918438,0.046587825
greencorn,14.457025527954102,70.02166
greenonion,0.014656919054687023,0.07546968
greenpea,0.7409811019897461,3.1182346
groundnut,5154.59619140625,18600.484
hazelnut,0.017779640853405,0.13376738
hempseed,0.05652545019984245,0.27669024
hemp,2.320875644683838,10.931185
hop,0.01939878985285759,0.14596537
jutelikefiber,12.229143142700195,58.55562
jute,1.2869212627410889,12.411019
kapokfiber,57.58332443237305,275.60522
kapokseed,27.553203582763672,117.27805
legumenes,0.0,0.0
lemonlime,370.8250427246094,1063.6285
lentil,0.284878671169281,0.7611984
lettuce,0.7263268828392029,2.9118423
linseed,3.3351171016693115,15.487982
maizefor,0.0,0.0
maize,33012.70703125,212348.81
mango,246.54708862304688,868.9825
melonetc,562.7337036132812,1609.3302
melonseed,0.16230818629264832,0.8257406
millet,13.217080116271973,261.26617
mushroom,0.0,0.0
mustard,0.18711619079113007,35.643723
nutmeg,2994.05322265625,8481.567
nutnes,8.161222457885742,31.082668
oats,0.45406049489974976,1.6527201
oilpalm,346.14251708984375,1523.236
onion,49.62351989746094,154.04573
orange,1815.7813720703125,5112.401
papaya,187.45346069335938,713.7389
peachetc,1.5818911790847778,7.258236
pear,4.846254825592041,22.10812
pea,1.0781421661376953,41.21141
pepper,45.830631256103516,88.305626
persimmon,1.4462467432022095,6.635577
pigeonpea,0.04367963597178459,38.474854
pimento,766.5910034179688,2207.302
pineapple,1544.4833984375,4398.502
pistachio,0.07010684907436371,0.34338862
plantain,0.0,10.3341875
plum,4.099861145019531,18.702015
popcorn,0.0,0.0
potato,52.7860221862793,261.1163
pulsenes,1795.891357421875,5259.052
pumpkinetc,4.712780952453613,20.807028
quince,0.0,0.03914752
ramie,226.35379028320312,640.4831
rapeseed,0.41632091999053955,56.244736
rice,225719.3125,863902.7
rootnes,5405.6513671875,10946.992
rubber,3567.537841796875,16316.524
ryefor,0.0,0.0
rye,0.6270773410797119,2.3161597
safflower,0.10275982320308685,0.48889166
sesame,2261.7255859375,8987.564
sisal,0.030691862106323242,0.16159639
sorghumfor,0.0,0.0
sorghum,1.3559093475341797,106.22029
soybean,1403.5106201171875,8051.03
spicenes,0.7894190549850464,4.0594807
spinach,1.0990365743637085,4.420223
stonefruitnes,598.7294921875,1681.998
sugarbeet,0.0,0.02325679
sugarcane,7207.56591796875,30564.209
sugarnes,0.0,24.208992
sunflower,2.066619396209717,693.48553
sweetpotato,1839.5107421875,6737.3765
tangetc,1383.9715576171875,3920.4546
taro,305.6803894042969,1270.7693
tea,1096.9207763671875,4412.075
tobacco,1623.1064453125,6536.965
tomato,5.188887596130371,23.308973
triticale,0.19855526089668274,0.71734136
tropicalnes,157.3927459716797,791.08203
tung,0.869610071182251,4.090143
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,16048.8046875,46609.824
vegfor,47823.5390625,151526.14
walnut,1.1194475889205933,5.222854
watermelon,2127.801025390625,6046.3047
wheat,1.7207145690917969,11.068871
yam,11.471833229064941,97.61482
