Crop,clipped_PA_surf,total_surf
almond,0.5022221803665161,9.152004
avocado,0.02934366837143898,0.272159
bambara,12045.9375,52130.832
banana,9.287598609924316,5828.788
barley,0.0,30.973942
bean,367.1690979003906,8945.867
beetfor,0.0,0.0
cabbagefor,0.0,0.0
cabbage,540.683837890625,1762.051
carrotfor,0.0,0.0
carrot,111.41881561279297,361.9437
cashew,1359.6787109375,11286.34
cassava,732.1912841796875,9092.087
cerealnes,21.236820220947266,332.5489
chickpea,0.0,0.014985393
chilleetc,1238.1075439453125,6984.8364
citrusnes,52.112709045410156,83.031136
cocoa,56.63541793823242,417.92822
coconut,0.0,0.3551013
coffee,4.8264970779418945,52.90735
cotton,3332.654541015625,169959.14
cowpea,22239.43359375,391070.06
date,0.27771684527397156,150.72209
eggplant,269.80364990234375,1767.0614
fonio,6180.197265625,61292.215
fruitnes,36.066375732421875,212.62291
garlic,122.25886535644531,398.19775
grapefruitetc,0.0,6.1831574
greenbean,67.8456039428711,372.6328
greenbroadbean,0.05241584777832031,0.32641166
greencorn,95.7099609375,222.00475
greenonion,395.49505615234375,6021.781
groundnut,17303.1796875,456398.5
jutelikefiber,329.2644348144531,1787.7668
karite,11575.12890625,63282.523
kolanut,10.372418403625488,72.83358
legumenes,0.0,0.0
lemonlime,17.58102798461914,587.74414
lettuce,759.5930786132812,2471.447
maizefor,0.0,0.0
maize,43483.32421875,1148384.6
mango,7810.62109375,35284.176
melonetc,468.4386291503906,802.91046
melonseed,631.404296875,3507.4968
millet,342857.125,2111015.8
nutnes,346.63494873046875,1883.514
oilpalm,0.35351043939590454,0.72664446
oilseedfor,0.0,0.0
oilseednes,0.18038271367549896,1.4004562
okra,661.6708984375,12044.385
onion,726.5185546875,3942.9407
orange,816.275390625,6236.537
papaya,106.68019104003906,681.5803
pea,0.0919990986585617,574.87695
pepper,0.15922948718070984,0.99326336
pimento,871.5007934570312,4729.1313
pineapple,26.087051391601562,43.38138
plantain,4.545136451721191,53.558643
popcorn,0.0,0.0
potato,558.640625,9727.6455
pulsenes,66.19184875488281,866.83276
rice,177134.484375,879072.7
rootnes,0.14471134543418884,0.9576067
rubber,12.72028923034668,74.19629
sesame,253.27967834472656,40199.555
sisal,1.3528754711151123,2.1852403
sorghumfor,0.0,0.0
sorghum,115879.1328125,1802299.9
soybean,883.1605224609375,21880.402
spicenes,0.8869615793228149,13.554626
sugarbeet,46.18603515625,532.91235
sugarcane,794.0755615234375,4805.6343
sweetpotato,2106.466796875,39287.727
tangetc,21.85175323486328,776.728
taro,31.652667999267578,169.82915
tea,10.969226837158203,88.79057
tobacco,24.697250366210938,437.7969
tomato,2144.517822265625,11629.0
tropicalnes,9.302379608154297,19.87873
turnipfor,0.0,0.0
vegetablenes,7168.09326171875,39236.68
vegfor,5721.4150390625,60797.227
wheat,5139.90625,6908.753
yam,631.8106689453125,5446.0107
