Crop,clipped_PA_surf,total_surf
alfalfa,563.0848388671875,2190.2017
aniseetc,0.0,0.21109712
apple,17.660167694091797,73.391075
apricot,0.0,0.11372496
artichoke,0.0,0.29928443
avocado,604.0562744140625,2378.8147
banana,1843.30712890625,8352.634
barley,0.08952274918556213,0.08952275
bean,18364.26953125,69922.87
broadbean,5046.5048828125,19098.016
buckwheat,0.0817086324095726,3.8492217
cabbagefor,0.0,0.0
cabbage,1.201514482498169,1.2015145
carrotfor,0.0,0.0
carrot,451.1639709472656,1159.6327
cashewapple,2.6548311710357666,52.257015
cassava,47414.4921875,178953.39
castor,1256.8736572265625,5259.421
cauliflower,0.2206803411245346,0.22068034
cerealnes,1.6061773300170898,3.4754643
cherry,0.16654038429260254,0.16654038
chestnut,26.7511043548584,26.787394
chickpea,0.2836379110813141,0.2836379
chilleetc,237.80186462402344,947.4331
clover,3.143476963043213,15.625136
cocoa,0.0,0.0
coconut,0.0,0.014018963
coffee,42.83307647705078,284.66965
cotton,3112.457763671875,10895.965
cucumberetc,0.3795458972454071,0.3795459
fibrenes,0.0,0.03580224
fig,0.4289994239807129,0.42899942
flax,0.0,0.1220123
fornes,34653.3515625,127572.28
fruitnes,512.7417602539062,1920.3994
garlic,42.47352981567383,192.65948
grapefruitetc,262.25421142578125,1049.162
grape,87.96090698242188,392.6323
grassnes,253.8199462890625,500.22293
greenbroadbean,0.0,0.0
greencorn,20.522905349731445,20.55121
greenonion,267.876953125,1127.4757
greenpea,14.005463600158691,15.162855
groundnut,5599.13427734375,24612.703
legumenes,0.0,0.0
lemonlime,127.56916809082031,607.61993
lentil,0.0,0.26734397
lettuce,1.4720985889434814,1.4720986
linseed,1.5495738983154297,7.7244887
maizefor,2.885798454284668,9.10378
maize,234973.78125,1013713.4
mango,1048.931640625,4153.763
mate,6282.685546875,25515.328
melonetc,1985.344970703125,7881.563
millet,0.6251640319824219,3.2799206
nutnes,0.0,0.090393335
oats,12.645285606384277,47.6451
oilpalm,430.1224670410156,15873.39
olive,0.7347401976585388,3.7285137
onion,1339.580078125,5289.6436
orange,1914.085693359375,7860.956
papaya,269.4844665527344,1058.2279
peachetc,48.20234298706055,181.04443
pear,6.7963151931762695,26.98106
pea,1445.64990234375,5547.411
pimento,0.0,0.17986515
pineapple,1672.7191162109375,6401.6367
plantain,0.6030030250549316,0.603003
plum,71.65522766113281,287.0751
popcorn,0.0,0.0
potato,54.38080596923828,239.30197
pumpkinetc,508.37872314453125,1950.7542
quince,0.4249269366264343,0.4493969
quinoa,36.96928787231445,37.018677
rapeseed,9043.197265625,47523.258
rice,36527.00390625,154339.19
rootnes,27.398605346679688,27.435726
ryefor,0.0,0.0
rye,1.7962660789489746,8.472052
sesame,12374.5908203125,46188.703
sorghumfor,7.845707893371582,11.463975
sorghum,7809.9208984375,30071.016
soybean,781843.6875,3221565.5
spicenes,0.0,0.036747042
strawberry,96.54814147949219,381.1077
stringbean,0.011123965494334698,0.42728063
sugarcane,19567.634765625,102724.1
sunflower,6891.470703125,30974.844
sweetpotato,1050.8233642578125,5051.097
tangetc,502.1225891113281,2110.7385
tea,9.066177368164062,130.2602
tobacco,1294.62158203125,3348.167
tomato,478.3128967285156,1324.7189
tropicalnes,634.2940673828125,2519.7642
tung,2196.31591796875,8826.18
turnipfor,0.0,0.0
vegetablenes,639.3062133789062,2504.473
vegfor,904.010498046875,3630.0535
walnut,0.0,0.23045269
watermelon,5749.6796875,22751.445
wheat,90785.59375,469534.75
yam,0.0,0.7391666
