Crop,clipped_PA_surf,total_surf
almond,6.743600368499756,12.724829
aniseetc,5783.60546875,56354.49
apple,22975.359375,219479.11
apricot,1435.5814208984375,12126.124
areca,5.499040126800537,13.173269
artichoke,0.0,0.0
asparagus,8.778014183044434,21.01077
avocado,0.0,0.0
barley,682680.125,8189916.5
bean,374.9413146972656,3594.5999
beetfor,7.603323936462402,125.56081
berrynes,98.2763442993164,291.71503
blueberry,26.843643188476562,160.34856
broadbean,380.5760498046875,4129.632
buckwheat,80527.3359375,814363.5
cabbagefor,0.0,0.0
cabbage,8021.681640625,75760.45
carrotfor,0.0,0.0
carrot,4837.82080078125,45707.152
cashew,0.04418998956680298,0.2025662
cassava,26.904460906982422,61.841053
castor,23.82614517211914,197.10246
cauliflower,170.3583526611328,1938.3529
cerealnes,4131.15087890625,39504.477
cherry,1282.1171875,10799.474
chestnut,480.3388366699219,4869.3325
chickpea,31029.248046875,310640.2
chicory,0.0,0.55630386
chilleetc,13.544129371643066,64.18017
cinnamon,3.843078374862671,9.299615
citrusnes,7.533111095428467,18.457851
coconut,2.32175874710083,5.33076
coffee,0.6101667881011963,1.4199733
cotton,1.145673394203186,6.5528994
cranberry,3.3581130504608154,46.496502
cucumberetc,4534.1416015625,40826.06
currant,8354.7119140625,70084.086
date,0.0,0.0
eggplant,17.50766944885254,44.507893
flax,2183.375732421875,43954.848
fornes,141330.0625,1421301.8
fruitnes,192.30831909179688,1637.5204
garlic,2292.12109375,21085.871
ginger,1.8089611530303955,4.6997004
gooseberry,1705.9959716796875,14500.684
grapefruitetc,4.413976192474365,11.081896
grape,8617.8505859375,71885.8
grassnes,72.02593994140625,197.01312
greenbean,1.5073059797286987,3.8733275
greenbroadbean,0.4104572832584381,1.1509864
greenonion,0.630843997001648,0.6532724
greenpea,2784.709228515625,26436.232
groundnut,4.285635471343994,47.614452
hazelnut,194.81089782714844,883.8868
hempseed,605.496337890625,6536.283
hemp,341.50653076171875,3605.4404
hop,7.703539848327637,124.03721
jutelikefiber,2215.373779296875,21457.81
legumenes,0.0,149.40393
lemonlime,4.112079620361328,10.62504
lentil,12050.5615234375,119271.92
lettuce,2.9396770000457764,7.019178
linseed,93151.3984375,880651.8
lupin,5100.65771484375,51014.918
maizefor,212089.28125,1976645.0
maize,274541.59375,2703257.8
mango,1.1207722425460815,2.300676
melonetc,7.427227973937988,20.116539
melonseed,2.8984014987945557,6.92819
millet,30783.00390625,359961.9
mixedgrain,14.124958992004395,265.9832
mixedgrass,243705.40625,2098645.0
mushroom,10545.3984375,24703.318
mustard,17317.935546875,166022.98
nutnes,577.34423828125,6116.9233
oats,250243.6875,2305382.8
oilpalm,4.826533794403076,11.266227
oilseedfor,0.0,0.0
oilseednes,3573.813232421875,34867.312
olive,1.5462117195129395,1.9119911
onion,6634.00537109375,61373.39
orange,4.324652671813965,11.2094145
papaya,0.0,0.0
peachetc,751.6485595703125,6134.12
pear,1064.869873046875,8996.188
pea,125687.25,1251303.6
pepper,0.9775921106338501,2.4120908
persimmon,21.362632751464844,22.966768
pimento,3.5637736320495605,8.57762
pineapple,0.08111463487148285,0.1710108
pistachio,1.2133445739746094,3.039592
plum,5010.34716796875,42121.305
popcorn,0.0,0.0
potato,110395.1484375,1206426.2
pulsenes,242.78004455566406,3189.3025
pumpkinetc,3386.559326171875,28722.443
quince,75.23292541503906,651.3023
ramie,11.245864868164062,26.174847
rapeseed,116770.0703125,1421151.1
rasberry,2871.059326171875,24138.113
rice,57647.6796875,192064.16
rubber,48.30583953857422,117.084595
ryefor,0.0,0.0
rye,97755.78125,976383.3
safflower,14307.3955078125,129168.44
sesame,1.2436695098876953,1.6976036
sisal,0.5183255672454834,1.1960617
sorghumfor,0.0,0.0
sorghum,4557.40625,48389.395
sourcherry,4811.744140625,40463.875
soybean,244796.515625,2614821.8
spicenes,10.663555145263672,16.204218
spinach,4.7048444747924805,11.316232
stonefruitnes,0.0,0.808061
strawberry,3716.423828125,31741.967
sugarbeet,76826.8359375,920009.75
sunflower,725543.8125,8327686.5
swedefor,0.0,42.06283
sweetpotato,12.652872085571289,45.398552
tangetc,111.29165649414062,272.3842
taro,9.856613159179688,23.55548
tea,289.5061950683594,487.30508
tobacco,10.636357307434082,35.449657
tomato,9057.630859375,82733.766
triticale,3071.144287109375,35161.03
tropicalnes,1.448961615562439,3.2401102
tung,15.272890090942383,36.46366
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,19625.5859375,186474.56
vegfor,12679.892578125,103947.28
vetch,9946.6552734375,98142.5
walnut,1484.6795654296875,14121.116
watermelon,11340.7080078125,100466.02
wheat,2447257.0,28485592.0
