Crop,clipped_PA_surf,total_surf
areca,0.0,0.12347658
banana,0.0,4.275653
cabbagefor,0.0,0.0
cabbage,0.0,0.42273632
cashew,0.0,0.5513912
cassava,0.0,2.0166297
citrusnes,0.0,0.06557204
clove,0.0,0.054578293
cocoa,0.0,1.2507672
coconut,1.8178168535232544,9.33715
coffee,0.0,2.6382372
cucumberetc,0.0,0.15652516
fruitnes,0.5458231568336487,1.4833086
ginger,0.0,0.09067401
grapefruitetc,0.0,0.11097464
legumenes,0.0,0.0
lemonlime,0.0,0.061080545
maizefor,0.0,0.0
maize,0.0,0.10095004
mango,0.0,0.38566303
nutmeg,0.0,0.102801114
oilpalm,0.0,0.0
oilseedfor,0.0,0.0
oilseednes,0.0,9.687645
orange,0.0,0.15198016
papaya,0.0,0.48030913
pepper,0.0,0.9951007
pimento,0.0,0.13539332
pineapple,0.0,0.66221726
popcorn,0.0,0.0
pumpkinetc,0.0,0.029566133
rice,231.33128356933594,434.87805
rootnes,0.11183593422174454,0.571334
rubber,0.0,22.05628
sugarcane,0.0,1.6309701
sweetpotato,0.0,0.060607146
tea,0.0,0.2407151
tobacco,0.0,0.121058784
tomato,0.0,0.1069364
tropicalnes,0.0,2.4918578
vegetablenes,51.832305908203125,122.730286
vegfor,0.0,17.766144
watermelon,0.0,0.53223443
