Crop,clipped_PA_surf,total_surf
abaca,0.0,0.0
areca,2.8942716121673584,7.0391264
avocado,68.70086669921875,111.61931
banana,119.97686767578125,223.17517
bean,4331.91943359375,7130.133
cabbagefor,0.0,0.0
cabbage,206.21299743652344,331.5163
carrotfor,0.0,0.0
carrot,0.6155215501785278,1.5090256
cashew,8.069915771484375,19.627823
cassava,1825.40966796875,3150.5522
castor,0.28354042768478394,0.7051759
chilleetc,5.282628059387207,12.848314
cinnamon,2.4618289470672607,5.987298
clove,11.080452919006348,26.950338
cocoa,961.926513671875,1475.052
coconut,7215.6689453125,12484.967
coffee,32915.40625,45612.598
cotton,0.6826076507568359,1.6735511
cucumberetc,70.82600402832031,114.611206
eggplant,1.2793078422546387,3.1110578
fruitnes,2.602679967880249,6.3298903
garlic,190.00234985351562,303.964
ginger,0.4656048119068146,1.1333085
greenbean,382.7930908203125,615.96924
greencorn,2.729172706604004,6.637558
groundnut,1509.102783203125,2545.121
jutelikefiber,0.15674613416194916,0.41031566
kapokfiber,8.353084564208984,20.31657
kapokseed,8.353084564208984,20.31657
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,23717.76171875,41189.64
mango,164.5958251953125,269.33548
nutmeg,1.2733231782913208,3.0965014
nutnes,2.9097888469696045,7.0768695
onion,2.7617406845092773,6.716773
orange,43.97090148925781,73.65578
papaya,22.274234771728516,36.130936
pepper,2.718599319458008,6.6118402
pineapple,7.710675239562988,13.174029
popcorn,0.0,0.0
potato,557.4429931640625,811.9026
pulsenes,0.012820210307836533,0.07879199
pumpkinetc,0.20069001615047455,0.536293
rice,3499.255859375,6155.949
rootnes,3194.8466796875,5245.5054
rubber,66.6174545288086,152.08008
soybean,477.5985107421875,772.9513
spicenes,154.2106170654297,246.54953
spinach,1.0793899297714233,2.6247985
sugarcane,36.886253356933594,52.3088
sugarnes,2.4003336429595947,5.8377237
sweetpotato,1683.22802734375,2963.7861
tea,3.6775147914886475,8.944205
tobacco,1.3511829376220703,1.7892013
tomato,66.19552612304688,106.99783
tropicalnes,106.80055236816406,175.0332
turnipfor,0.0,0.0
vanilla,0.2335858792066574,0.62424
vegetablenes,2272.92138671875,3710.9429
vegfor,2099.35302734375,3367.1392
yam,1345.949462890625,2303.1323
