Crop,clipped_PA_surf,total_surf
agave,3.06876540184021,10.915221
alfalfa,1466776.875,8447945.0
almond,172381.9375,513451.88
aniseetc,38.62367248535156,87.13668
apple,27030.4140625,121671.56
apricot,954.900146484375,3164.7207
artichoke,584.0022583007812,2132.022
asparagus,3217.178955078125,7181.5845
avocado,11679.603515625,21415.936
banana,203.0189666748047,325.191
barley,129637.671875,866431.75
bean,86666.21875,673587.0
beetfor,0.0,0.0
berrynes,480.9533996582031,3356.131
blueberry,7029.64306640625,38194.777
broadbean,3.4072604179382324,18.587727
buckwheat,24456.732421875,72749.92
cabbagefor,0.0,0.0
cabbage,6155.021484375,22588.828
canaryseed,0.0635727196931839,16.232231
carrotfor,0.0,0.0
carrot,10867.333984375,27780.34
cashew,1.0693581104278564,3.8198047
castor,0.6413346529006958,2.3452895
cauliflower,23127.052734375,52877.164
cherry,9764.8828125,35884.004
chickpea,2492.29541015625,108251.14
chilleetc,3785.2294921875,19074.164
citrusnes,90.59648132324219,336.13947
clover,18688.4921875,65840.11
coffee,1563.99169921875,2685.2913
cotton,367266.15625,3570191.8
cowpea,1901.591064453125,7736.6763
cranberry,6352.134765625,13581.357
cucumberetc,5617.84619140625,36521.06
date,2876.895751953125,5616.238
eggplant,519.0009765625,2403.7395
fibrenes,12.623845100402832,112.06277
fig,688.786865234375,2031.697
fornes,7.259581089019775,25.971132
garlic,6687.3408203125,10044.998
grapefruitetc,1036.084228515625,17181.783
grape,123283.0,374375.97
grassnes,112.78779602050781,402.21085
greenbean,3582.077392578125,9983.33
greencorn,34677.6796875,154450.56
greenonion,53.997901916503906,438.46707
greenpea,9639.7001953125,53677.684
groundnut,94035.8125,654107.9
hazelnut,6245.982421875,24002.998
hop,10363.75,23950.924
kiwi,753.3826904296875,1689.6879
legumenes,0.0,0.0
lemonlime,7478.92431640625,20046.97
lentil,4496.146484375,211356.44
lettuce,68276.09375,93213.06
linseed,4874.59228515625,119947.91
maizefor,61617.1015625,458385.53
maize,3170227.75,33542168.0
mango,7.907325744628906,43.105946
melonetc,10244.6748046875,18705.754
millet,36807.34765625,192789.14
mixedgrain,43.553871154785156,383.4972
mixedgrass,566264.0,3125882.2
mustard,1900.76806640625,36876.99
nutnes,25508.61328125,166369.33
oats,65008.31640625,413998.78
oilseedfor,0.0,0.0
oilseednes,0.0,0.0
okra,356.03216552734375,1279.6523
olive,2224.24609375,14911.661
onion,17575.150390625,53693.117
orange,56211.8046875,206627.58
papaya,0.15017512440681458,226.27907
peachetc,5881.98779296875,29499.637
pear,6051.19873046875,17723.705
pea,25810.525390625,395749.9
peppermint,4774.27734375,24799.553
pepper,0.48013246059417725,1.741052
persimmon,59.92280578613281,202.60214
pimento,0.5191771984100342,3.6765013
pistachio,68242.140625,153345.28
plum,7094.62060546875,21801.168
popcorn,3645.166748046875,76310.02
potato,87231.59375,370312.66
pumpkinetc,9509.7294921875,43421.8
quince,4.223086833953857,9.703113
rapeseed,30988.345703125,732436.25
rasberry,1036.59228515625,6460.914
rice,333752.34375,1202831.1
rootnes,0.9201541543006897,3.293819
rubber,4.037798881530762,14.408564
ryefor,16281.490234375,173946.36
rye,15786.5498046875,137405.38
safflower,7146.31201171875,51990.94
sisal,15.78800106048584,56.383953
sorghumfor,28051.4609375,274515.3
sorghum,257315.9375,2030554.0
sourcherry,2520.031494140625,12435.957
soybean,3401131.5,33396038.0
spicenes,0.014479040168225765,0.12963429
spinach,4580.92041015625,21463.188
strawberry,4782.19482421875,15581.43
stringbean,7865.87744140625,49839.414
sugarbeet,54227.609375,462455.38
sugarcane,86655.84375,385489.66
sunflower,75544.5546875,663155.56
sweetpotato,1386.2098388671875,62973.438
tangetc,2941.780029296875,20889.885
tobacco,3128.642822265625,78526.5
tomato,59476.83203125,110411.805
triticale,55685.39453125,329714.4
turnipfor,15.337077140808105,330.6013
vegetablenes,2580.436279296875,16943.516
vegfor,2632.5283203125,13564.117
vetch,559.8327026367188,2059.9553
walnut,51426.125,155572.8
watermelon,9380.1875,37553.38
wheat,1585041.25,14988982.0
yam,1.5240862369537354,2.9516206
