Crop,clipped_PA_surf,total_surf
agave,9.103336334228516,48.03791
apple,0.11339734494686127,0.24859308
asparagus,0.16153496503829956,0.43383294
avocado,6109.1513671875,10834.3545
banana,35868.265625,48818.984
barley,0.0,0.021185344
bean,44817.26953125,85061.3
beetfor,0.0,0.0
broadbean,0.24734248220920563,0.24734248
cabbagefor,0.0,0.0
cabbage,1541.697998046875,3791.2793
carrotfor,0.0,0.0
carrot,3693.1181640625,9075.409
cashewapple,0.05301336944103241,0.05301337
cassava,15205.369140625,35702.133
cauliflower,425.4588317871094,1054.0051
cherry,0.01184883527457714,0.011848835
chilleetc,4022.510009765625,9895.807
citrusnes,0.153667613863945,0.15366761
cocoa,38951.76171875,50159.133
coconut,9635.6455078125,15411.597
coffee,117027.4296875,161684.42
cotton,864.2434692382812,2079.8782
cowpea,0.5374308824539185,0.5374309
cucumberetc,403.1717224121094,993.32263
eggplant,548.48583984375,1356.6984
fruitnes,2212.884765625,5440.5156
garlic,540.1488037109375,1331.358
grapefruitetc,399.54522705078125,984.4288
grape,465.1516418457031,1111.7313
greenbean,0.33885657787323,0.33885658
greenonion,426.2536315917969,426.25363
greenpea,12.926241874694824,30.134535
groundnut,581.1348876953125,935.555
legumenes,0.0,0.0
lemonlime,2729.864990234375,6712.061
lentil,1.6835641860961914,3.9899988
lettuce,1118.7254638671875,2756.4534
maizefor,0.0,0.0
maize,174938.046875,405709.6
mango,2757.7802734375,6782.418
melonetc,3260.011474609375,8016.4697
oats,0.9684768915176392,2.309961
oilpalm,22175.0390625,41584.625
okra,0.2952781021595001,0.2952781
onion,3536.36962890625,8687.977
orange,17282.73828125,27818.139
papaya,1676.0284423828125,4123.0874
peachetc,470.6999206542969,1160.7393
pear,0.21770256757736206,0.5959348
pea,42.20393753051758,109.60817
pigeonpea,1253.5025634765625,2597.9973
pineapple,9120.2578125,21846.152
plantain,40476.76171875,59919.824
plum,0.38056138157844543,1.0189736
popcorn,0.0,0.0
potato,24026.33984375,25141.713
pumpkinetc,975.2945556640625,1998.8434
rice,43173.2109375,112446.305
rootnes,1768.236328125,4345.6724
sesame,16149.1279296875,39508.137
sisal,303.8489990234375,750.55817
sorghumfor,0.0,0.0
sorghum,5074.529296875,15574.189
soybean,4472.42529296875,7340.5625
spinach,20.24835777282715,48.694283
strawberry,264.2032470703125,547.0609
stringbean,59.33506774902344,150.5823
sugarbeet,369.5332336425781,1163.195
sugarcane,21862.73046875,49911.727
sunflower,1887.7982177734375,4237.2627
sweetpotato,1229.14111328125,1960.6316
tangetc,3655.841796875,8981.508
taro,0.2733181416988373,0.27331814
tobacco,747.0638427734375,1812.208
tomato,3751.83642578125,9217.522
tropicalnes,1942.7432861328125,4771.996
turnipfor,0.0,0.0
vegetablenes,3033.694091796875,7453.593
vegfor,3272.06689453125,6830.7954
watermelon,3002.07275390625,7375.112
wheat,94.70326232910156,237.92276
yam,2199.585205078125,5156.8604
yautia,3014.98583984375,7410.4365
