Crop,clipped_PA_surf,total_surf
alfalfa,11577.681640625,50328.5
almond,24.366666793823242,37.098797
aniseetc,0.10713838785886765,0.16682321
apple,8936.80859375,24136.938
apricot,832.342529296875,2641.2563
asparagus,0.053770966827869415,0.06598104
avocado,8179.98193359375,18860.715
banana,2070.609619140625,6523.13
barley,73389.6328125,138163.1
bean,10053.8955078125,48856.5
berrynes,62.01767349243164,252.93466
buckwheat,183.79795837402344,591.03723
cabbagefor,0.0,0.0
cabbage,958.65673828125,2948.166
carrotfor,0.0,0.0
carrot,1504.4888916015625,7456.603
cashew,27.139768600463867,29.776402
cassava,40.02313232421875,43.63411
castor,2776.056396484375,8858.663
cauliflower,235.29513549804688,812.9504
cerealnes,6124.552734375,26350.36
cherry,55.72274398803711,209.55824
chickpea,0.14803269505500793,0.21057671
chicory,541.8893432617188,1722.3607
citrusnes,80.83709716796875,276.05344
coconut,0.7275381684303284,0.8226942
coffee,0.02250514179468155,0.022505142
cotton,12561.0537109375,41169.64
cowpea,2821.255126953125,11196.361
cucumberetc,528.984130859375,1676.942
date,2.1371028423309326,3.2232354
fibrenes,949.7557983398438,3023.3005
fig,184.11279296875,593.8731
fruitnes,1764.00537109375,5962.195
grapefruitetc,4277.810546875,13436.566
grape,25129.716796875,109972.06
greenbean,1373.381103515625,4006.1956
greencorn,11415.36328125,36452.586
greenpea,649.3059692382812,1865.1887
groundnut,4884.48291015625,37848.55
hop,112.31867218017578,378.9052
jutelikefiber,326.6883544921875,1033.308
jute,4.424744129180908,5.6580424
legumenes,0.0,0.0
lemonlime,8850.009765625,28260.328
lettuce,670.2744750976562,2122.4934
lupin,3134.375244140625,10000.009
maizefor,0.0,0.0
maize,420593.1875,2589117.0
mango,2184.2060546875,4857.0083
melonetc,558.3566284179688,1766.7449
millet,5096.60107421875,12877.87
mixedgrass,106323.9921875,353824.62
nutnes,4682.39501953125,14935.098
oats,8946.9091796875,26844.676
oilseedfor,0.0,0.0
oilseednes,2386.920654296875,5630.9873
onion,9087.9111328125,29025.787
orange,15619.474609375,37512.945
papaya,412.2869567871094,1309.3398
peachetc,2659.71533203125,9832.126
pear,4796.89990234375,11931.708
pea,172.41705322265625,645.5874
pepper,1.5859163999557495,2.2866006
pimento,2232.453369140625,7103.461
pineapple,2850.788818359375,9065.984
plum,2158.550537109375,6848.1074
popcorn,0.0,0.0
potato,16562.478515625,67519.05
pulsenes,249.59979248046875,759.27496
pumpkinetc,9705.53515625,31007.904
rapeseed,46961.48828125,73904.64
rice,318.06817626953125,1101.5762
rootnes,225.17010498046875,536.2464
ryefor,0.0,0.0
rye,663.3732299804688,2089.1677
sesame,3.37688946723938,3.7062435
sisal,611.972900390625,1943.8502
sorghumfor,0.0,0.0
sorghum,8705.798828125,40597.89
soybean,151874.671875,699718.0
spicenes,0.6287267208099365,0.9012946
strawberry,263.45068359375,847.7449
sugarcane,116306.640625,282300.78
sunflower,62501.01171875,502443.84
sweetpotato,9109.078125,30007.432
tangetc,1904.708251953125,6067.4985
tea,564.7730712890625,1056.2563
tobacco,1964.486083984375,4904.7334
tomato,4093.8525390625,8629.167
tropicalnes,1.1440868377685547,1.2750632
turnipfor,0.0,0.0
vegetablenes,5878.11376953125,18670.95
vegfor,4230.89453125,14763.8955
watermelon,1533.6649169921875,4890.3604
wheat,168589.90625,506802.94
yam,191.13058471679688,629.6864
