Crop,clipped_PA_surf,total_surf
aniseetc,0.6226232051849365,0.88645196
apple,0.23709240555763245,0.34482586
avocado,5.872757911682129,16.700144
bambara,3.85329532623291,11.0384445
banana,71.21237182617188,95.48972
barley,167.72897338867188,1248.1688
bean,1474.0101318359375,4390.9336
cabbagefor,0.0,0.0
cabbage,25.360734939575195,39.45852
cashew,28.636032104492188,130.94524
cassava,33569.74609375,133925.39
castor,6.11052131652832,12.578056
cerealnes,3.5350801944732666,16.666256
chickpea,95.36788940429688,176.0483
citrusnes,9.210053443908691,17.658741
clove,2.3615121841430664,10.227827
cocoa,5.7603631019592285,26.853378
coconut,70.24398803710938,346.30072
coffee,1688.1036376953125,6615.165
cotton,21301.580078125,70129.63
cowpea,398.8620300292969,1337.5912
date,0.0,0.0
fruitnes,1741.8896484375,4973.6055
garlic,0.055523212999105453,0.19307713
grapefruitetc,1.0270990133285522,3.5848808
grape,0.7407117486000061,2.4946344
greenbean,0.08796218037605286,0.30717266
greenbroadbean,0.025064121931791306,0.08735946
greencorn,1.952964186668396,6.7933426
greenonion,4.695986747741699,6.9226255
greenpea,0.1828872561454773,0.73269653
groundnut,49446.70703125,187934.78
jutelikefiber,8.164916038513184,26.125937
jute,1.6098361015319824,2.637439
legumenes,0.0,0.0
lemonlime,1.309313178062439,3.0518153
lentil,3.8695106506347656,6.759797
lettuce,0.18833357095718384,0.5706148
maizefor,0.0,0.0
maize,299360.625,1275428.6
mango,68.1422119140625,130.22102
melonseed,69.65548706054688,198.58725
millet,16856.595703125,61384.945
nutmeg,1.7609195709228516,3.9975235
nutnes,19.906530380249023,33.21707
oilpalm,0.05929058790206909,0.15483375
oilseedfor,0.0,0.0
oilseednes,38.80025100708008,160.20369
onion,778.8245849609375,2381.0122
orange,284.4541931152344,889.6846
papaya,12.158527374267578,36.405025
pea,108.61122131347656,202.19385
pepper,21.01922607421875,32.409164
pigeonpea,844.333251953125,1427.1122
pimento,175.1897430419922,513.8451
pineapple,9.883928298950195,30.208708
plantain,250.96841430664062,673.25653
popcorn,0.0,0.0
potato,687.7147827148438,2112.028
pulsenes,19108.888671875,59648.29
pumpkinetc,2.1615285873413086,6.3515167
pyrethrum,2.0585250854492188,8.916688
rice,10703.7490234375,23786.059
rootnes,11.740970611572266,37.847588
rubber,25.53546905517578,74.02546
safflower,2.52687931060791,10.943431
sesame,31.337299346923828,118.081726
sisal,13.274078369140625,47.107613
sorghumfor,0.0,0.0
sorghum,8965.4267578125,32458.229
soybean,44334.87109375,206300.08
spicenes,845.2647094726562,2621.9934
sugarcane,7184.41357421875,44692.13
sunflower,18104.951171875,92663.375
sweetpotato,10799.2724609375,51360.203
tangetc,0.6319811344146729,1.0294173
taro,12.440054893493652,34.534416
tea,188.8623809814453,442.95068
tobacco,2935.863037109375,15237.162
tomato,823.122802734375,2497.173
tropicalnes,5959.2685546875,18520.348
tung,28.349472045898438,42.48686
vanilla,0.6036927103996277,0.8595422
vegetablenes,10117.572265625,31233.227
vegfor,15490.3837890625,49448.45
watermelon,0.0,0.0
wheat,4249.7333984375,25850.65
yam,6.303138732910156,18.407192
