Crop,clipped_PA_surf,total_surf
aniseetc,162.98117065429688,771.9633
apricot,0.37382325530052185,2.0127907
areca,31997.759765625,330230.06
banana,11502.310546875,50924.582
barley,13.659805297851562,198.69661
bean,12017.3447265625,76185.23
berrynes,165.71929931640625,1752.601
cabbagefor,0.0,0.0
cabbage,2043.9725341796875,21932.209
carrotfor,0.0,0.0
carrot,10.84933853149414,82.36656
cashew,9.946179389953613,104.37805
cassava,89.35260009765625,368.30383
castor,77.42250061035156,491.90747
cauliflower,2619.17919921875,26505.914
cerealnes,5.723540306091309,12.573568
chickpea,2170.911376953125,5629.184
chilleetc,2.2572877407073975,17.818573
citrusnes,6.283440589904785,30.112062
coconut,10057.59765625,40498.94
coffee,27.873672485351562,31.20169
cotton,2491.732177734375,20522.617
cowpea,103.23443603515625,187.12056
cucumberetc,1240.5802001953125,13368.158
eggplant,219.93179321289062,1772.7188
fibrenes,165.4913787841797,1915.3394
fig,0.48337578773498535,2.534474
fornes,716.2933349609375,6366.879
fruitnes,6847.0458984375,71461.195
garlic,5932.140625,61446.094
ginger,1396.0196533203125,11038.936
grapefruitetc,1007.0396118164062,11095.51
grape,6.972817420959473,11.79534
grassnes,49.931175231933594,104.48466
greenbean,2610.663330078125,28113.21
greenpea,167.985107421875,1255.4812
groundnut,8494.66796875,32356.215
jutelikefiber,170.52944946289062,1255.2969
jute,84470.59375,575263.06
legumenes,0.0,0.0
lemonlime,4899.548828125,48814.32
lentil,21586.951171875,121004.97
lettuce,712.835693359375,7853.467
linseed,597.7774658203125,7022.518
maizefor,0.0,0.0
maize,60829.7890625,325560.5
mango,10184.765625,109832.36
melonetc,1360.1195068359375,15055.868
millet,6273.3974609375,13432.537
mustard,8.931763648986816,17.701712
nutmeg,12.646707534790039,69.09218
oilseedfor,0.0,0.0
oilseednes,217.24081420898438,2251.289
okra,81.654541015625,811.8291
onion,14950.25390625,154123.92
orange,339.0074157714844,1636.385
papaya,2886.990234375,29907.885
peachetc,4.199592113494873,21.849796
pear,4.74750280380249,24.931705
pea,1074.373779296875,11095.104
pigeonpea,164.1038818359375,603.8932
pimento,9214.2265625,91343.805
pineapple,1648.10009765625,15669.52
plantain,3576.4248046875,9653.286
plum,3.03733491897583,16.055119
popcorn,0.0,0.0
potato,19478.76953125,431950.28
pulsenes,22216.134765625,185979.44
pumpkinetc,5105.57275390625,55501.035
rapeseed,30180.978515625,286106.75
rice,1032126.25,10797466.0
rubber,18512.31640625,185297.16
sesame,4604.8095703125,44015.594
sorghumfor,0.0,0.0
sorghum,59.59111022949219,1471.781
soybean,54339.67578125,69862.13
spicenes,4729.07568359375,48214.844
spinach,482.6236572265625,5555.4434
sugarcane,7950.34130859375,85726.43
sugarnes,771.0460815429688,8935.696
sunflower,33.3642578125,175.69778
sweetpotato,6764.57861328125,24493.566
tangetc,298.3768005371094,3078.0564
tea,23631.205078125,69533.96
tobacco,5113.54638671875,38661.156
tomato,4470.48095703125,36898.21
tropicalnes,8748.3466796875,92364.89
turnipfor,0.0,0.0
vegetablenes,9109.154296875,91279.12
vegfor,34815.5,241138.17
walnut,3.506164789199829,19.570084
watermelon,27.986045837402344,197.462
wheat,28937.849609375,336428.06
yam,10.305845260620117,21.077885
