Crop,clipped_PA_surf,total_surf
aniseetc,75.63459777832031,130.22412
apple,1357.3697509765625,2225.851
apricot,0.15448112785816193,0.27111083
areca,222.38931274414062,283.38303
asparagus,0.6617522239685059,1.3353769
banana,53.06724166870117,68.195175
barley,382.9407653808594,710.34625
bean,709.7623291015625,1407.6807
broadbean,6.513959884643555,13.647615
buckwheat,1580.7733154296875,2882.96
cabbagefor,0.0,0.0
cabbage,75.6023941040039,142.14854
carrotfor,0.0,0.0
carrot,7.546012878417969,15.16682
cashew,2.6254379749298096,8.521383
cassava,40.61836624145508,85.17465
castor,0.24514265358448029,0.27977166
cauliflower,45.843502044677734,89.33867
cerealnes,869.885986328125,1430.5771
chickpea,18.851016998291016,23.967728
chilleetc,1068.92822265625,1793.7407
citrusnes,4.942203044891357,8.692506
coconut,51.444374084472656,69.10215
cotton,0.740488588809967,1.0676274
cucumberetc,3.4823336601257324,7.4543247
eggplant,96.45199584960938,201.96915
fig,0.15654434263706207,0.26234627
fornes,235.3413848876953,403.3011
fruitnes,259.6291198730469,437.53406
garlic,43.886714935302734,90.2478
ginger,403.98809814453125,670.6304
grapefruitetc,0.2199360877275467,0.53828645
greenbean,37.4744987487793,76.18457
greenpea,67.16075897216797,140.55235
groundnut,1.26833975315094,1.2683398
jutelikefiber,17.594467163085938,28.304855
jute,29.221166610717773,52.762188
legumenes,0.0,0.0
lemonlime,17.1899471282959,20.73683
lentil,587.3800048828125,728.32837
lettuce,20.7011775970459,43.208214
linseed,8.274230003356934,11.413263
maizefor,0.0,0.0
maize,9726.2421875,23041.693
mango,31.795129776000977,102.47867
melonetc,6.783578872680664,14.218383
millet,1261.6046142578125,2189.7505
mustard,1369.1187744140625,2412.974
nutmeg,3331.02001953125,5642.1626
oats,1.1086524724960327,2.3514445
oilseedfor,0.0,0.0
oilseednes,12.587244987487793,17.503893
okra,38.73236846923828,86.63866
onion,0.5876092314720154,1.2618036
orange,4197.2001953125,7031.2627
papaya,25.759647369384766,38.055107
peachetc,2.779737949371338,4.744561
pear,2.961207628250122,5.057712
pea,113.57902526855469,171.30402
pigeonpea,8.79658317565918,12.429846
pimento,904.9078979492188,1534.7268
pineapple,47.688629150390625,67.68898
plum,1.8369224071502686,3.1471121
popcorn,0.0,0.0
potato,3259.10498046875,6455.6016
pulsenes,1200.5770263671875,2034.1594
pumpkinetc,79.89434051513672,163.69365
rapeseed,1895.6622314453125,4387.25
rice,11340.9814453125,27977.26
rootnes,1819.443359375,2927.0781
rubber,1.282675862312317,3.902978
ryefor,0.0,0.0
rye,1.2466273307800293,2.6582193
sesame,4.76007604598999,6.4097447
sorghumfor,0.0,0.0
sorghum,91.56320190429688,253.27557
soybean,4049.9072265625,6809.2935
spicenes,321.6189880371094,545.3722
sugarcane,64.8944320678711,190.24864
sunflower,0.25550010800361633,0.29555467
sweetpotato,28.569232940673828,90.533585
tangetc,3.22445011138916,8.443897
tea,499.07916259765625,729.7305
tobacco,47.31747055053711,139.44202
tomato,27.208467483520508,55.212532
triticale,1.2793183326721191,2.6446595
tropicalnes,2.3940510749816895,7.770494
turnipfor,0.0,0.0
vegetablenes,453.4544982910156,793.6741
vegfor,1706.396728515625,3188.6792
walnut,2.555811643600464,4.718245
watermelon,13.398430824279785,29.023104
wheat,1054.641357421875,2322.7856
yam,418.55059814453125,848.0154
