Crop,clipped_PA_surf,total_surf
almond,2115.435791015625,12339.693
aniseetc,6810.03173828125,38616.56
apple,363012.0,1823277.5
apricot,2580.0615234375,17144.674
areca,8147.724609375,46584.44
artichoke,1686.26708984375,11669.538
asparagus,202823.90625,1339897.1
avocado,2679.179931640625,17106.479
banana,86768.3359375,335458.7
barley,59136.79296875,272489.4
bean,139617.921875,745035.5
beetfor,0.0,0.013750707
berrynes,757.8758544921875,4886.905
broadbean,148811.421875,826475.0
buckwheat,114390.1015625,633099.0
cabbagefor,0.0,0.0
cabbage,139540.015625,960579.0
carrotfor,0.0,0.0
carrot,56825.9609375,386117.3
cashew,750.1163330078125,1796.62
cassava,44679.6171875,300605.75
castor,5202.46728515625,22884.377
cauliflower,69296.15625,457908.1
cerealnes,3516.60302734375,17581.662
cherry,1246.0185546875,7866.8833
chestnut,52938.55859375,291699.8
chickpea,532.0365600585938,3109.8027
chilleetc,106008.6328125,708698.25
cinnamon,7118.78515625,40366.52
citrusnes,31052.865234375,171122.7
clove,89.1972427368164,884.4246
coconut,5045.10595703125,37314.742
coffee,12994.0107421875,37228.895
cotton,521417.6875,3043408.2
cowpea,10201.28125,10549.826
cucumberetc,185488.65625,1243855.4
currant,2.2262184619903564,3.9468312
date,1824.5277099609375,11800.33
eggplant,112945.609375,769494.06
fibrenes,22.76442527770996,50.02797
fig,349.6076354980469,2357.3577
flax,579.5330200195312,7197.4814
fornes,277499.96875,1362093.9
fruitnes,118951.8125,735431.94
garlic,119333.2421875,795550.0
ginger,10174.8125,56220.13
gooseberry,0.3904024362564087,0.6017979
grapefruitetc,15822.7373046875,86467.266
grape,132211.421875,727426.4
grassnes,497.2074890136719,1024.6996
greenbean,96755.6640625,619717.0
greenbroadbean,1446.61474609375,10442.719
greencorn,2841.8896484375,18937.037
greenonion,3192.808349609375,21961.861
greenpea,203867.15625,1287177.6
groundnut,673310.9375,4443375.0
hazelnut,2031.18017578125,11761.995
hempseed,1881.106201171875,11109.026
hemp,3071.83837890625,12042.777
hop,375.3392333984375,2761.506
jutelikefiber,2509.529296875,20932.3
jute,788.5215454101562,11027.526
kiwi,0.0,26983.463
legumenes,0.0,0.0
lemonlime,22651.07421875,124281.8
lentil,10686.7841796875,65675.3
lettuce,87666.671875,580440.8
linseed,50856.96875,316568.25
lupin,2.338336706161499,8.581473
maizefor,288.035888671875,906.2126
maize,5802026.0,40275256.0
mango,25450.953125,178949.7
melonetc,54805.296875,375965.6
melonseed,3329.273681640625,19965.15
millet,144583.3125,890478.4
mixedgrass,879.1201782226562,3730.2961
mushroom,42666.59375,179349.66
mustard,4219.2734375,23628.408
nutmeg,57.91000747680664,132.89676
nutnes,4273.79638671875,24018.14
oats,26970.130859375,161111.75
oilpalm,18777.779296875,49547.465
oilseedfor,0.0,0.0
oilseednes,35041.203125,105743.09
onion,157832.546875,1042024.6
orange,67078.734375,379599.7
papaya,808.0662841796875,5411.7524
peachetc,120647.875,745310.44
pear,145497.421875,845054.1
pea,164742.125,921253.75
pepper,3294.37646484375,18232.793
persimmon,145320.15625,885685.4
pigeonpea,0.8565620183944702,1.1596719
pimento,5638.697265625,31843.656
pineapple,13837.462890625,88028.76
pistachio,4650.27490234375,26328.045
plantain,84.14263916015625,94.77394
plum,305640.125,1854841.5
popcorn,0.0,0.0
potato,1012993.6875,4234137.5
pulsenes,10221.7412109375,56706.223
pumpkinetc,62301.9375,395501.5
quince,4857.52099609375,30594.535
ramie,4968.35009765625,32898.395
rapeseed,1031513.4375,6748300.0
rasberry,0.7466581463813782,2.1965864
rice,4691181.0,30102664.0
rootnes,550.901611328125,3036.4626
rubber,131955.109375,728485.1
ryefor,0.0,0.0
rye,28090.314453125,173485.83
safflower,4009.25830078125,22746.078
sesame,32319.822265625,285871.97
sisal,361.2477722167969,2701.2024
sorghumfor,0.0,0.0
sorghum,110002.0390625,722276.7
sourcherry,1.4475462436676025,2.5031626
soybean,1136973.0,9521142.0
spicenes,5615.1923828125,30993.115
spinach,104335.203125,698917.3
stonefruitnes,2639.412353515625,16965.906
strawberry,17711.646484375,106771.32
stringbean,150.50250244140625,1314.7727
sugarbeet,17576.490234375,191645.77
sugarcane,250677.796875,1318297.8
sugarnes,60.12958526611328,134.15834
sunflower,134611.15625,901419.5
sweetpotato,356893.90625,2251309.2
tangetc,383297.9375,2110956.8
taro,17634.951171875,98009.71
tea,871973.875,3270367.0
tobacco,183932.0,923664.75
tomato,160185.703125,1072958.9
triticale,34308.015625,191544.6
tropicalnes,167717.640625,1017919.94
tung,27880.84375,159305.95
turnipfor,0.0,0.0
vanilla,353.3096008300781,2441.9253
vegetablenes,370119.03125,2199403.0
vegfor,1826347.375,9737597.0
vetch,8.986865043640137,35.698643
walnut,49222.08984375,276402.47
watermelon,205566.296875,1372676.6
wheat,2125259.75,20714598.0
yam,5.185821533203125,30.864712
