Crop,clipped_PA_surf,total_surf
almond,340.8025817871094,661.88684
avocado,1112.7923583984375,4810.9136
bambara,29.422330856323242,93.87675
banana,3065.9111328125,13950.311
bean,7485.7353515625,49421.484
beetfor,0.0,0.0
cashew,378186.4375,1788408.2
cassava,254970.0625,1148400.2
cerealnes,0.0,5.438925
chilleetc,962.3665771484375,4108.495
citrusnes,802.5374755859375,3568.7202
cocoa,1428726.375,4740742.5
coconut,10125.673828125,42397.375
coffee,165622.953125,736854.44
cotton,49704.4921875,431374.25
cowpea,895.0702514648438,3315.2612
cucumberetc,72.28990936279297,1078.9863
eggplant,5173.34423828125,22378.273
fonio,2216.5546875,18315.783
fruitnes,900.4129638671875,3757.3306
ginger,71.3333969116211,245.36267
grapefruitetc,402.82293701171875,743.53217
greenbean,230.89437866210938,678.20984
greencorn,15623.080078125,73282.27
greenonion,383.8356628417969,1673.1836
groundnut,34367.87890625,157777.3
jutelikefiber,0.13792559504508972,1.7870703
karite,5424.6123046875,23580.941
kolanut,17989.76953125,85209.33
legumenes,0.0,0.0
lemonlime,5.225213050842285,15.768453
maizefor,0.0,0.0
maize,67206.53125,557734.5
mango,33727.046875,146457.47
melonetc,0.5979562997817993,3.374914
melonseed,0.27534669637680054,4.341461
millet,6635.33837890625,83809.62
nutnes,1894.452880859375,8236.241
oilpalm,70651.7734375,363867.78
oilseedfor,0.0,0.0
oilseednes,1859.1771240234375,8054.0527
okra,9518.1865234375,29059.445
onion,4.016727924346924,19.078632
orange,2486.97412109375,10589.49
papaya,1339.866943359375,6052.4653
pepper,30.121109008789062,134.92819
pimento,2510.25634765625,10921.357
pineapple,236.80345153808594,1072.2456
plantain,87767.34375,506918.12
popcorn,0.0,0.0
potato,0.586700975894928,23.61635
pulsenes,4683.3173828125,20769.68
rice,97997.453125,525085.1
rootnes,501.90032958984375,2178.7607
rubber,113378.734375,527929.9
sesame,3520.120849609375,14830.865
sisal,3.6526334285736084,20.396957
sorghumfor,0.0,0.0
sorghum,8607.9326171875,103741.82
soybean,51.06133270263672,358.77228
spicenes,261.0180969238281,1133.6107
sugarbeet,0.034429002553224564,1.8444316
sugarcane,4963.36962890625,26185.25
sweetpotato,5427.9287109375,32409.41
taro,16276.560546875,76389.125
tea,0.0,0.17869258
tobacco,2317.2431640625,15777.046
tomato,1163.701171875,5119.5186
tropicalnes,8064.8955078125,34898.82
vegetablenes,2888.34521484375,12642.554
vegfor,3289.4189453125,20745.45
wheat,0.0,9.071846
yam,278745.1875,1201925.2
