Crop,clipped_PA_surf,total_surf
aniseetc,0.06364157795906067,0.65049994
apple,265.524658203125,915.2609
apricot,0.04108161851763725,0.04108162
barley,29858.73828125,129213.875
bean,41.72314453125,175.19725
beetfor,0.0,0.0
berrynes,287.4432067871094,1054.541
broadbean,1966.4083251953125,13373.171
buckwheat,66.67518615722656,223.42743
cabbagefor,0.0,0.0
cabbage,319.7178039550781,1167.0781
carrotfor,0.0,0.0
carrot,126.64010620117188,461.21667
cauliflower,26.160755157470703,66.79277
cerealnes,762.49462890625,1461.9387
cherry,169.72622680664062,613.4916
cranberry,2.5678462982177734,3.601077
cucumberetc,27.439512252807617,101.758575
currant,117.04374694824219,397.733
flax,33.29945373535156,122.394966
fornes,6.058876037597656,25.217827
fruitnes,0.109592504799366,0.13126042
garlic,19.896377563476562,71.99445
gooseberry,122.19596862792969,443.62515
grape,0.23844587802886963,0.29845735
greenpea,70.01860046386719,258.3914
hemp,0.0,0.05434669
jutelikefiber,0.066130630671978,0.3260735
legumenes,0.0,0.0
linseed,4.430696487426758,82.05575
maizefor,107.96812438964844,386.97333
maize,11942.9833984375,44147.977
mixedgrain,253.97962951660156,746.5256
mixedgrass,10314.2421875,30655.441
mustard,0.5151289701461792,2.465275
oats,8630.009765625,33542.24
oilseedfor,0.0,0.0
oilseednes,641.810546875,5251.0596
onion,9.786602020263672,38.056633
peachetc,0.011610296554863453,0.011610297
pear,0.20101797580718994,0.26695114
pea,8695.955078125,33635.266
plum,7.850405693054199,32.902355
popcorn,0.0,0.0
potato,855.2575073242188,3290.838
pulsenes,2.3748912811279297,60.070084
rapeseed,12501.884765625,67390.47
rasberry,104.85316467285156,211.02194
rice,0.0,0.026710283
ryefor,0.0,0.0
rye,4178.23193359375,14807.359
sorghumfor,0.0,0.0
sorghum,0.06664104759693146,0.15168616
sourcherry,0.18929120898246765,0.23324022
soybean,8.410957336425781,21.752628
strawberry,306.024658203125,856.4394
sugarbeet,46.34925079345703,184.35533
sunflower,602.7783813476562,1468.7593
tomato,2.985300302505493,12.4302635
triticale,590.45654296875,2614.08
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,646.1171875,2335.7114
vegfor,704.8432006835938,3217.4927
vetch,1.1571016311645508,1.5943834
walnut,0.029070384800434113,0.20005968
wheat,49641.890625,133525.38
