Crop,clipped_PA_surf,total_surf
banana,275.480224609375,602.61
cashew,72316.84375,229854.66
cassava,1832.1094970703125,5231.4497
cerealnes,1521.3179931640625,4718.0283
citrusnes,21.987306594848633,57.820366
cocoa,34.51747512817383,34.66362
coconut,7553.0849609375,10367.126
coffee,13.636505126953125,13.636505
cotton,1631.7850341796875,4873.417
cowpea,1514.34814453125,4575.1265
fonio,363.5506286621094,1047.3569
fruitnes,1294.76806640625,3268.3826
greenbean,1.355673909187317,4.558438
greencorn,69.86509704589844,164.20831
groundnut,12331.158203125,42571.496
legumenes,0.0,0.0
lemonlime,282.895263671875,685.2274
maizefor,0.0,0.0
maize,2770.388916015625,9316.055
mango,353.85955810546875,949.1653
melonetc,0.3303207755088806,0.9016737
melonseed,10.558455467224121,35.53754
millet,5699.9033203125,18454.125
nutnes,2.461226224899292,8.3166485
oilpalm,2789.638916015625,9685.537
onion,12.744677543640137,42.3672
orange,553.213134765625,1374.0048
papaya,121.38420867919922,294.1744
pimento,4.15103816986084,14.166733
pineapple,21.376941680908203,59.902874
plantain,6963.416015625,16299.833
popcorn,0.0,0.0
potato,6.734428405761719,10.908592
pulsenes,1688.03564453125,5194.0146
rice,31488.8359375,113728.516
rootnes,3896.08154296875,12357.5625
rubber,7.115230560302734,19.05293
sisal,1.4142777919769287,3.8010612
sorghumfor,0.0,0.0
sorghum,11240.12890625,20383.242
sugarcane,205.23956298828125,232.75818
sweetpotato,58.455970764160156,121.21304
taro,1.2904388904571533,3.8647006
tobacco,3.33744478225708,3.9062355
tomato,0.0,0.16663381
tropicalnes,7.341381072998047,24.092249
vegetablenes,1240.746826171875,3633.1985
vegfor,1637.3646240234375,6223.02
yam,14.015186309814453,26.239758
