Crop,clipped_PA_surf,total_surf
alfalfa,201.06915283203125,620.89795
almond,46.668540954589844,296.18988
aniseetc,20.97429847717285,306.44257
apple,1752.950439453125,6488.201
apricot,472.6258544921875,1659.652
artichoke,0.5687152147293091,1.9218662
asparagus,0.3427923321723938,0.78331697
banana,5.174017429351807,9.619936
barley,258458.78125,1104501.5
bean,135.8543701171875,752.09863
beetfor,0.19766166806221008,0.3569355
berrynes,12.019033432006836,31.267365
broadbean,24.005630493164062,193.18474
cabbagefor,0.0,0.0
cabbage,79.9885482788086,252.1112
carob,0.08843770623207092,0.15622737
carrotfor,0.0,0.0
carrot,33.56482696533203,91.834305
cauliflower,71.35041809082031,298.9629
cherry,19.911874771118164,120.996765
chestnut,1.9331638813018799,3.060915
chickpea,42.65518569946289,319.4741
chilleetc,630.246826171875,1459.1813
citrusnes,2.957490921020508,30.453506
clover,0.0,0.51643324
cotton,4723.595703125,17917.113
cowpea,9.517581939697266,49.969223
cucumberetc,1525.9720458984375,5466.0137
date,52693.5546875,145990.3
eggplant,906.0701904296875,3146.4834
fig,111.36730194091797,366.81543
fornes,123.39496612548828,351.57043
fruitnes,971.9150390625,3506.7651
garlic,50.89369201660156,173.2651
grapefruitetc,3.7369346618652344,10.375914
grape,1851.896728515625,6467.6943
grassnes,0.02373908832669258,109.873184
greenbean,112.74836730957031,256.31577
greenbroadbean,0.9233313202857971,14.490207
greenonion,573.618896484375,1425.226
greenpea,1.5039077997207642,8.217443
groundnut,323.04583740234375,1683.4697
hazelnut,72.57186889648438,128.63663
kiwi,0.8127858638763428,1.9462496
legumenes,21.966230392456055,61.802177
lemonlime,254.55648803710938,873.0737
lentil,24.092374801635742,431.97266
lettuce,286.27935791015625,945.15295
linseed,19.96059226989746,71.98129
maizefor,2.6151537895202637,13.777792
maize,22926.84375,101385.33
mango,0.7740395665168762,1.9234824
melonetc,993.1565551757812,3339.2568
millet,289.54437255859375,2268.7925
mixedgrain,0.8735263347625732,1.431829
nutnes,23.56507682800293,257.99536
oats,0.0,0.014741185
oilseedfor,0.0,0.0
oilseednes,0.0,0.0
okra,830.3700561523438,5698.602
olive,118.25700378417969,600.91736
onion,387.67822265625,1707.7916
orange,5832.41455078125,22408.572
peachetc,65.30621337890625,217.1738
pear,177.1077880859375,584.6336
pea,0.01247426588088274,10.797888
persimmon,0.0,0.0
pimento,1.454545497894287,3.0844483
pistachio,26.95598602294922,208.70053
plum,171.69757080078125,593.3159
popcorn,0.0,0.0
poppy,4.000837326049805,6.497679
potato,4987.5556640625,24273.95
pulsenes,596.5492553710938,2372.528
pumpkinetc,312.493408203125,1085.4882
quince,28.617650985717773,89.47977
rapeseed,20.68310546875,148.49255
rice,23802.63671875,97101.766
safflower,0.5228296518325806,1.6417499
sesame,413.0616455078125,1459.2991
sorghumfor,0.0,0.0
sorghum,1223.410400390625,4521.38
sourcherry,6.330048561096191,14.925535
soybean,6.331578254699707,66.67727
spicenes,4.446039199829102,26.665821
spinach,89.33457946777344,162.06851
stonefruitnes,19.37497329711914,55.072647
strawberry,3.024080991744995,6.537154
stringbean,2097.362548828125,2404.132
sugarbeet,820.6990966796875,4725.7954
sugarcane,10.479514122009277,594.464
sunflower,160.20191955566406,848.68835
tangetc,42.65364074707031,116.656265
tea,19.968463897705078,50.161476
tobacco,976.843994140625,2629.4995
tomato,2288.748046875,7772.221
tropicalnes,0.7828558683395386,1.2788541
turnipfor,0.0,0.0
vegetablenes,46.809425354003906,146.02902
vegfor,4693.8671875,19929.365
vetch,279.77545166015625,865.82697
walnut,117.33020782470703,332.88165
watermelon,1834.086669921875,4780.53
wheat,487165.90625,2053824.2
