Crop,clipped_PA_surf,total_surf
abaca,24.886579513549805,31.170288
agave,3.278179883956909,4.0218935
alfalfa,45483.4453125,82712.57
almond,0.7404934763908386,0.81107545
aniseetc,16.045249938964844,18.698381
apple,4373.81298828125,7948.6934
apricot,33.76258087158203,70.629
artichoke,1701.6602783203125,3166.1982
asparagus,17502.958984375,32077.137
avocado,24820.41015625,45520.395
banana,39707.81640625,99524.23
barley,69179.828125,116829.586
bean,44131.07421875,68066.45
beetfor,0.0,0.0
berrynes,3.896665573120117,4.8785367
brazil,5485.3486328125,10100.465
broadbean,28861.50390625,52655.777
buckwheat,0.34264686703681946,0.34264687
cabbagefor,0.06775737553834915,0.067757376
cabbage,1238.39453125,2278.4524
carrotfor,0.0,0.0
carrot,4431.5732421875,8128.678
cashewapple,4.545641899108887,4.545642
cashew,316.2914123535156,592.7583
cassava,77635.6796875,105926.06
castor,6.8501715660095215,8.693611
cauliflower,2512.257080078125,4623.8823
cerealnes,5098.99365234375,9357.461
cherry,0.3744039535522461,0.4277757
chestnut,61.971946716308594,120.09953
chickpea,222.052001953125,456.9026
chilleetc,5516.1357421875,8985.942
citrusnes,1835.29296875,3373.5945
clover,0.39518773555755615,0.43345934
cocoa,76483.4609375,155381.05
coconut,839.500732421875,2420.5505
coffee,241092.515625,395001.12
cotton,4501.71875,7823.095
cowpea,6289.25146484375,12255.858
cucumberetc,1319.987060546875,2437.6206
date,61.491600036621094,120.91725
eggplant,0.0,0.0
fig,255.87493896484375,477.7258
flax,0.26270586252212524,0.28013864
fornes,1.0633554458618164,1.1770375
fruitnes,7749.705078125,14185.48
garlic,4462.59521484375,7586.0474
grapefruitetc,413.7748107910156,775.6105
grape,17786.916015625,32597.188
grassnes,45.56373977661133,86.78393
greenbean,2332.337646484375,4277.701
greenbroadbean,7088.0849609375,12996.162
greencorn,23793.693359375,43375.477
greenonion,19.357040405273438,24.616486
greenpea,18735.26171875,34276.566
groundnut,1524.1241455078125,3006.2246
hempseed,0.12902316451072693,0.12902316
hemp,0.5467394590377808,0.59919184
jutelikefiber,1.2827262878417969,1.4194112
jute,83.99932098388672,152.77255
legumenes,0.0,0.0
lemonlime,10275.548828125,25822.715
lentil,1120.3131103515625,2816.101
lettuce,3148.2724609375,5785.5483
linseed,577.493408203125,1074.2524
lupin,6009.14697265625,11020.51
maizefor,2.5177197456359863,2.783905
maize,272588.71875,429988.97
mango,17153.55078125,31449.568
melonetc,626.9506225585938,1161.7319
mixedgrass,22.06854248046875,25.592812
nutnes,417.0689392089844,777.203
oats,8389.4658203125,15391.622
oilpalm,31688.814453125,69355.375
olive,10936.53515625,20071.59
onion,8244.64453125,15115.31
orange,18992.0,29035.107
papaya,6725.1533203125,12329.454
peachetc,2675.258544921875,4910.7295
pear,206.89414978027344,386.83203
pea,22872.814453125,41747.637
pepper,26.90229034423828,34.09132
pimento,1140.22412109375,2101.7354
pineapple,8031.96630859375,14722.741
plantain,82614.8359375,151619.72
plum,427.34552001953125,791.79315
popcorn,0.0,0.0
potato,234291.0,328004.44
pulsenes,641.4406127929688,1186.6674
pumpkinetc,4207.87255859375,7725.6636
pyrethrum,0.05173743516206741,0.06271047
quince,351.2427978515625,656.1559
quinoa,34892.58984375,63813.383
rapeseed,2.175909996032715,2.3893933
rice,254320.90625,411318.1
rootnes,22786.263671875,41480.2
rubber,6.507663726806641,8.065221
ryefor,0.0,0.0
rye,13.035419464111328,27.502663
sesame,217.50265502929688,346.89493
sorghumfor,0.0,0.0
sorghum,3.1242823600769043,14.0609255
soybean,332.8179931640625,612.44727
spicenes,482.24725341796875,899.91437
spinach,773.6533203125,1436.8491
strawberry,664.7271728515625,1229.492
stringbean,4909.7666015625,9011.42
sugarbeet,0.2890097498893738,0.49400666
sugarcane,38655.2109375,78101.15
sunflower,0.063374824821949,0.063374825
sweetpotato,6832.8447265625,14187.32
tangetc,9254.9462890625,16971.31
tea,1610.9970703125,2058.2734
tobacco,117.04872131347656,199.66042
tomato,2778.545654296875,4830.603
tropicalnes,13658.033203125,25022.408
turnipfor,0.0,0.0
vegetablenes,1407.30859375,2587.0464
vegfor,2151.221923828125,3849.7986
walnut,23.003822326660156,45.145348
watermelon,2238.561767578125,4103.359
wheat,65787.2890625,106585.91
yam,8.73050308227539,8.730503
yautia,163.38616943359375,306.36926
