Crop,clipped_PA_surf,total_surf
abaca,62148.6015625,135677.88
agave,1910.052490234375,4000.4485
asparagus,78.11048889160156,174.75136
avocado,2455.338134765625,5145.4424
banana,75921.3828125,190407.52
bean,15925.525390625,40549.35
cabbagefor,0.0,0.0
cabbage,3752.43017578125,7861.7935
cashew,13636.0859375,28467.346
cassava,97421.0625,212196.22
castor,18.9260196685791,52.28437
chilleetc,2450.6044921875,5129.743
cocoa,10545.380859375,29186.56
coconut,1364183.5,3473673.8
coffee,36484.07421875,112055.05
cotton,3.7332382202148438,7.472148
cowpea,85.4755859375,240.03424
cucumberetc,914.1192016601562,1913.1514
eggplant,10164.716796875,21285.098
fibrenes,435.1277770996094,912.34314
fornes,32533.73046875,70206.63
fruitnes,76929.0546875,159629.89
garlic,1200.801025390625,2536.978
ginger,1838.543212890625,3848.8525
grapefruitetc,2437.90185546875,5101.159
grape,170.81918334960938,360.83075
greenbean,1395.0555419921875,2924.102
greenpea,805.3193359375,1729.8307
groundnut,9590.421875,23146.676
legumenes,0.0,0.0
lemonlime,269.2088317871094,603.89417
maizefor,0.0,0.0
maize,1027824.5,2524434.8
mango,84742.2421875,186398.19
melonetc,475.1368103027344,997.0585
nutnes,1148.977783203125,2463.5671
oilpalm,34794.86328125,64149.324
oilseedfor,0.0,0.0
oilseednes,7762.7802734375,16294.077
onion,8454.1806640625,17649.701
orange,631.0724487304688,1342.1139
papaya,3628.374755859375,7595.6826
pigeonpea,158.704833984375,438.22552
pineapple,30670.416015625,64392.652
popcorn,0.0,0.0
potato,6637.1728515625,7244.0664
pulsenes,17027.416015625,35792.125
pumpkinetc,8994.681640625,18741.031
ramie,1092.258056640625,2290.1484
rice,1796754.0,4596485.5
rootnes,3139.261474609375,6645.5977
rubber,100931.6484375,216513.56
sorghumfor,0.0,0.0
sorghum,46.977943420410156,110.1109
soybean,152.54432678222656,390.37204
sugarcane,157462.09375,391498.06
sweetpotato,30315.291015625,81674.414
tangetc,4058.77734375,8533.562
taro,7076.64013671875,14861.745
tobacco,4260.39990234375,27087.385
tomato,7707.97021484375,16155.931
tropicalnes,152586.828125,351642.34
vegetablenes,58717.30078125,136890.9
vegfor,243979.265625,570487.25
watermelon,3970.5478515625,8285.265
yam,888.5397338867188,2412.33
